Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
FOXQ1_SPTAN1	BLCA	WithSecondM	1	12	1	26
FOXQ1_SPTAN1	BLCA	WOSecondM	5	90	6	162
FOXQ1_CDKN1A	BLCA	WithSecondM	1	7	1	21
FOXQ1_CDKN1A	BLCA	WOSecondM	5	95	6	167
FOXQ1_ATM	BLCA	WithSecondM	1	12	2	28
FOXQ1_ATM	BLCA	WOSecondM	5	90	5	160
FOXQ1_SF3B1	BLCA	WithSecondM	1	8	1	7
FOXQ1_SF3B1	BLCA	WOSecondM	5	94	6	181
FOXQ1_ERCC2	BLCA	WithSecondM	1	15	1	11
FOXQ1_ERCC2	BLCA	WOSecondM	5	87	6	177
FOXQ1_SF1	BLCA	WithSecondM	1	4	1	5
FOXQ1_SF1	BLCA	WOSecondM	5	98	6	183
FOXQ1_CTNNB1	BLCA	WithSecondM	1	3	1	10
FOXQ1_CTNNB1	BLCA	WOSecondM	5	99	6	178
FOXQ1_TXNIP	BLCA	WithSecondM	1	5	1	6
FOXQ1_TXNIP	BLCA	WOSecondM	5	97	6	182
FOXQ1_ELF3	BLCA	WithSecondM	1	19	2	22
FOXQ1_ELF3	BLCA	WOSecondM	5	83	5	166
FOXQ1_TSC1	BLCA	WithSecondM	2	11	2	15
FOXQ1_TSC1	BLCA	WOSecondM	4	91	5	173
FOXQ1_KANSL1	BLCA	WithSecondM	2	5	1	12
FOXQ1_KANSL1	BLCA	WOSecondM	4	97	6	176
FOXQ1_TP53	BLCA	WithSecondM	4	63	2	68
FOXQ1_TP53	BLCA	WOSecondM	2	39	5	120
FOXQ1_NFE2L2	BLCA	WithSecondM	1	3	2	17
FOXQ1_NFE2L2	BLCA	WOSecondM	5	99	5	171
FOXQ1_ASXL2	BLCA	WithSecondM	1	11	2	11
FOXQ1_ASXL2	BLCA	WOSecondM	5	91	5	177
FOXQ1_NRAS	BLCA	WithSecondM	1	2	2	6
FOXQ1_NRAS	BLCA	WOSecondM	5	100	5	182
FOXQ1_RB1	BLCA	WithSecondM	3	22	1	30
FOXQ1_RB1	BLCA	WOSecondM	3	80	6	158
FOXQ1_KLF5	BLCA	WithSecondM	1	4	1	15
FOXQ1_KLF5	BLCA	WOSecondM	5	98	6	173
FOXQ1_RBM10	BLCA	WithSecondM	1	4	2	4
FOXQ1_RBM10	BLCA	WOSecondM	5	98	5	184
FOXQ1_KDM6A	BLCA	WithSecondM	1	27	3	45
FOXQ1_KDM6A	BLCA	WOSecondM	5	75	4	143
FOXQ1_CUL1	BLCA	WithSecondM	1	5	2	8
FOXQ1_CUL1	BLCA	WOSecondM	5	97	5	180
FOXQ1_FBXW7	BLCA	WithSecondM	1	9	2	17
FOXQ1_FBXW7	BLCA	WOSecondM	5	93	5	171
FOXQ1_KMT2C	BLCA	WithSecondM	3	12	2	44
FOXQ1_KMT2C	BLCA	WOSecondM	3	90	5	144
FOXQ1_ERBB3	BLCA	WithSecondM	1	11	2	13
FOXQ1_ERBB3	BLCA	WOSecondM	5	91	5	175
FOXQ1_CDKN2A	BLCA	WithSecondM	1	7	1	9
FOXQ1_CDKN2A	BLCA	WOSecondM	5	95	6	179
FOXQ1_DIAPH2	BLCA	WithSecondM	1	8	2	6
FOXQ1_DIAPH2	BLCA	WOSecondM	5	94	5	182
FOXQ1_KMT2D	BLCA	WithSecondM	4	28	3	46
FOXQ1_KMT2D	BLCA	WOSecondM	2	74	4	142
FOXQ1_STAG2	BLCA	WithSecondM	1	10	2	29
FOXQ1_STAG2	BLCA	WOSecondM	5	92	5	159
FOXQ1_RXRA	BLCA	WithSecondM	2	4	1	9
FOXQ1_RXRA	BLCA	WOSecondM	4	98	6	179
FOXQ1_ZFP36L1	BLCA	WithSecondM	1	6	1	13
FOXQ1_ZFP36L1	BLCA	WOSecondM	5	96	6	175
FOXQ1_HRAS	BLCA	WithSecondM	1	3	1	12
FOXQ1_HRAS	BLCA	WOSecondM	5	99	6	176
FOXQ1_RHOB	BLCA	WithSecondM	1	8	1	12
FOXQ1_RHOB	BLCA	WOSecondM	5	94	6	176
FOXQ1_RHOA	BLCA	WithSecondM	2	4	1	9
FOXQ1_RHOA	BLCA	WOSecondM	4	98	6	179
FOXQ1_EP300	BLCA	WithSecondM	2	16	1	24
FOXQ1_EP300	BLCA	WOSecondM	4	86	6	164
FOXQ1_FGFR3	BLCA	WithSecondM	1	10	1	42
FOXQ1_FGFR3	BLCA	WOSecondM	5	92	6	146
FOXQ1_KRAS	BLCA	WithSecondM	1	7	2	9
FOXQ1_KRAS	BLCA	WOSecondM	5	95	5	179
FOXQ1_PSIP1	BLCA	WithSecondM	2	6	1	9
FOXQ1_PSIP1	BLCA	WOSecondM	4	96	6	179
FOXQ1_ERBB2	BLCA	WithSecondM	1	14	3	18
FOXQ1_ERBB2	BLCA	WOSecondM	5	88	4	170
FOXQ1_ARID1A	BLCA	WithSecondM	2	25	2	47
FOXQ1_ARID1A	BLCA	WOSecondM	4	77	5	141
FOXQ1_FOXA1	BLCA	WithSecondM	1	4	1	5
FOXQ1_FOXA1	BLCA	WOSecondM	5	98	6	183
FOXQ1_PTEN	BLCA	WithSecondM	1	7	1	5
FOXQ1_PTEN	BLCA	WOSecondM	5	95	6	183
FOXQ1_FAT1	BLCA	WithSecondM	2	9	2	22
FOXQ1_FAT1	BLCA	WOSecondM	4	93	5	166
FOXQ1_GNA13	BLCA	WithSecondM	1	2	1	6
FOXQ1_GNA13	BLCA	WOSecondM	5	100	6	182
FOXQ1_PIK3CA	BLCA	WithSecondM	1	18	2	44
FOXQ1_PIK3CA	BLCA	WOSecondM	5	84	5	144
FOXQ1_CREBBP	BLCA	WithSecondM	1	17	2	19
FOXQ1_CREBBP	BLCA	WOSecondM	5	85	5	169
SPTAN1_FOXQ1	BLCA	WithSecondM	1	2	1	6
SPTAN1_FOXQ1	BLCA	WOSecondM	6	51	16	148
SPTAN1_CDKN1A	BLCA	WithSecondM	1	4	2	10
SPTAN1_CDKN1A	BLCA	WOSecondM	6	49	15	144
SPTAN1_ATM	BLCA	WithSecondM	2	4	6	22
SPTAN1_ATM	BLCA	WOSecondM	5	49	11	132
SPTAN1_SF3B1	BLCA	WithSecondM	1	3	1	11
SPTAN1_SF3B1	BLCA	WOSecondM	6	50	16	143
SPTAN1_ERCC2	BLCA	WithSecondM	1	8	3	17
SPTAN1_ERCC2	BLCA	WOSecondM	6	45	14	137
SPTAN1_SF1	BLCA	WithSecondM	1	6	1	2
SPTAN1_SF1	BLCA	WOSecondM	6	47	16	152
SPTAN1_CTNNB1	BLCA	WithSecondM	1	2	1	9
SPTAN1_CTNNB1	BLCA	WOSecondM	6	51	16	145
SPTAN1_TXNIP	BLCA	WithSecondM	1	3	1	5
SPTAN1_TXNIP	BLCA	WOSecondM	6	50	16	149
SPTAN1_ELF3	BLCA	WithSecondM	1	7	2	13
SPTAN1_ELF3	BLCA	WOSecondM	6	46	15	141
SPTAN1_TSC1	BLCA	WithSecondM	1	1	4	7
SPTAN1_TSC1	BLCA	WOSecondM	6	52	13	147
SPTAN1_KANSL1	BLCA	WithSecondM	1	3	2	6
SPTAN1_KANSL1	BLCA	WOSecondM	6	50	15	148
SPTAN1_TP53	BLCA	WithSecondM	3	31	10	80
SPTAN1_TP53	BLCA	WOSecondM	4	22	7	74
SPTAN1_NFE2L2	BLCA	WithSecondM	1	4	2	13
SPTAN1_NFE2L2	BLCA	WOSecondM	6	49	15	141
SPTAN1_ASXL2	BLCA	WithSecondM	1	4	3	7
SPTAN1_ASXL2	BLCA	WOSecondM	6	49	14	147
SPTAN1_NRAS	BLCA	WithSecondM	1	2	1	6
SPTAN1_NRAS	BLCA	WOSecondM	6	51	16	148
SPTAN1_RB1	BLCA	WithSecondM	2	19	5	34
SPTAN1_RB1	BLCA	WOSecondM	5	34	12	120
SPTAN1_KLF5	BLCA	WithSecondM	1	4	3	10
SPTAN1_KLF5	BLCA	WOSecondM	6	49	14	144
SPTAN1_RBM10	BLCA	WithSecondM	2	3	1	5
SPTAN1_RBM10	BLCA	WOSecondM	5	50	16	149
SPTAN1_KDM6A	BLCA	WithSecondM	1	13	4	33
SPTAN1_KDM6A	BLCA	WOSecondM	6	40	13	121
SPTAN1_CUL1	BLCA	WithSecondM	1	6	2	4
SPTAN1_CUL1	BLCA	WOSecondM	6	47	15	150
SPTAN1_FBXW7	BLCA	WithSecondM	1	5	3	12
SPTAN1_FBXW7	BLCA	WOSecondM	6	48	14	142
SPTAN1_KMT2C	BLCA	WithSecondM	2	7	5	31
SPTAN1_KMT2C	BLCA	WOSecondM	5	46	12	123
SPTAN1_ERBB3	BLCA	WithSecondM	1	6	5	18
SPTAN1_ERBB3	BLCA	WOSecondM	6	47	12	136
SPTAN1_CDKN2A	BLCA	WithSecondM	1	7	2	9
SPTAN1_CDKN2A	BLCA	WOSecondM	6	46	15	145
SPTAN1_DIAPH2	BLCA	WithSecondM	1	4	1	11
SPTAN1_DIAPH2	BLCA	WOSecondM	6	49	16	143
SPTAN1_KMT2D	BLCA	WithSecondM	3	17	5	41
SPTAN1_KMT2D	BLCA	WOSecondM	4	36	12	113
SPTAN1_STAG2	BLCA	WithSecondM	2	8	1	22
SPTAN1_STAG2	BLCA	WOSecondM	5	45	16	132
SPTAN1_RXRA	BLCA	WithSecondM	1	3	2	8
SPTAN1_RXRA	BLCA	WOSecondM	6	50	15	146
SPTAN1_ZFP36L1	BLCA	WithSecondM	2	3	2	12
SPTAN1_ZFP36L1	BLCA	WOSecondM	5	50	15	142
SPTAN1_HRAS	BLCA	WithSecondM	1	2	1	13
SPTAN1_HRAS	BLCA	WOSecondM	6	51	16	141
SPTAN1_RHOB	BLCA	WithSecondM	1	4	3	9
SPTAN1_RHOB	BLCA	WOSecondM	6	49	14	145
SPTAN1_RHOA	BLCA	WithSecondM	2	5	2	4
SPTAN1_RHOA	BLCA	WOSecondM	5	48	15	150
SPTAN1_EP300	BLCA	WithSecondM	2	8	2	24
SPTAN1_EP300	BLCA	WOSecondM	5	45	15	130
SPTAN1_FGFR3	BLCA	WithSecondM	1	5	1	16
SPTAN1_FGFR3	BLCA	WOSecondM	6	48	16	138
SPTAN1_KRAS	BLCA	WithSecondM	1	2	1	11
SPTAN1_KRAS	BLCA	WOSecondM	6	51	16	143
SPTAN1_PSIP1	BLCA	WithSecondM	1	1	1	5
SPTAN1_PSIP1	BLCA	WOSecondM	6	52	16	149
SPTAN1_ERBB2	BLCA	WithSecondM	1	6	6	19
SPTAN1_ERBB2	BLCA	WOSecondM	6	47	11	135
SPTAN1_ARID1A	BLCA	WithSecondM	3	13	9	36
SPTAN1_ARID1A	BLCA	WOSecondM	4	40	8	118
SPTAN1_FOXA1	BLCA	WithSecondM	1	2	1	6
SPTAN1_FOXA1	BLCA	WOSecondM	6	51	16	148
SPTAN1_PTEN	BLCA	WithSecondM	1	4	1	9
SPTAN1_PTEN	BLCA	WOSecondM	6	49	16	145
SPTAN1_FAT1	BLCA	WithSecondM	2	8	2	18
SPTAN1_FAT1	BLCA	WOSecondM	5	45	15	136
SPTAN1_GNA13	BLCA	WithSecondM	1	1	2	5
SPTAN1_GNA13	BLCA	WOSecondM	6	52	15	149
SPTAN1_PIK3CA	BLCA	WithSecondM	2	15	8	25
SPTAN1_PIK3CA	BLCA	WOSecondM	5	38	9	129
SPTAN1_CREBBP	BLCA	WithSecondM	2	9	2	21
SPTAN1_CREBBP	BLCA	WOSecondM	5	44	15	133
CDKN1A_FOXQ1	BLCA	WithSecondM	1	3	1	8
CDKN1A_FOXQ1	BLCA	WOSecondM	6	85	21	182
CDKN1A_SPTAN1	BLCA	WithSecondM	1	9	6	23
CDKN1A_SPTAN1	BLCA	WOSecondM	6	79	16	167
CDKN1A_ATM	BLCA	WithSecondM	2	11	4	26
CDKN1A_ATM	BLCA	WOSecondM	5	77	18	164
CDKN1A_SF3B1	BLCA	WithSecondM	1	9	2	9
CDKN1A_SF3B1	BLCA	WOSecondM	6	79	20	181
CDKN1A_ERCC2	BLCA	WithSecondM	1	16	2	11
CDKN1A_ERCC2	BLCA	WOSecondM	6	72	20	179
CDKN1A_SF1	BLCA	WithSecondM	1	3	1	4
CDKN1A_SF1	BLCA	WOSecondM	6	85	21	186
CDKN1A_CTNNB1	BLCA	WithSecondM	1	3	1	8
CDKN1A_CTNNB1	BLCA	WOSecondM	6	85	21	182
CDKN1A_TXNIP	BLCA	WithSecondM	1	5	2	7
CDKN1A_TXNIP	BLCA	WOSecondM	6	83	20	183
CDKN1A_ELF3	BLCA	WithSecondM	1	14	4	23
CDKN1A_ELF3	BLCA	WOSecondM	6	74	18	167
