Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
FOXQ1_SPTAN1	BLCA	WithSecondM	1	5	1	26
FOXQ1_SPTAN1	BLCA	WOSecondM	4	77	6	162
FOXQ1_CDKN1A	BLCA	WithSecondM	1	11	1	21
FOXQ1_CDKN1A	BLCA	WOSecondM	4	71	6	167
FOXQ1_ATM	BLCA	WithSecondM	1	8	2	28
FOXQ1_ATM	BLCA	WOSecondM	4	74	5	160
FOXQ1_SF3B1	BLCA	WithSecondM	1	7	1	7
FOXQ1_SF3B1	BLCA	WOSecondM	4	75	6	181
FOXQ1_ERCC2	BLCA	WithSecondM	3	5	1	11
FOXQ1_ERCC2	BLCA	WOSecondM	2	77	6	177
FOXQ1_SF1	BLCA	WithSecondM	1	2	1	5
FOXQ1_SF1	BLCA	WOSecondM	4	80	6	183
FOXQ1_CTNNB1	BLCA	WithSecondM	1	2	1	10
FOXQ1_CTNNB1	BLCA	WOSecondM	4	80	6	178
FOXQ1_TXNIP	BLCA	WithSecondM	1	5	1	6
FOXQ1_TXNIP	BLCA	WOSecondM	4	77	6	182
FOXQ1_ELF3	BLCA	WithSecondM	2	8	2	22
FOXQ1_ELF3	BLCA	WOSecondM	3	74	5	166
FOXQ1_TSC1	BLCA	WithSecondM	1	5	2	15
FOXQ1_TSC1	BLCA	WOSecondM	4	77	5	173
FOXQ1_KANSL1	BLCA	WithSecondM	1	4	1	12
FOXQ1_KANSL1	BLCA	WOSecondM	4	78	6	176
FOXQ1_TP53	BLCA	WithSecondM	3	47	2	68
FOXQ1_TP53	BLCA	WOSecondM	2	35	5	120
FOXQ1_NFE2L2	BLCA	WithSecondM	1	6	2	17
FOXQ1_NFE2L2	BLCA	WOSecondM	4	76	5	171
FOXQ1_ASXL2	BLCA	WithSecondM	1	8	2	11
FOXQ1_ASXL2	BLCA	WOSecondM	4	74	5	177
FOXQ1_NRAS	BLCA	WithSecondM	1	2	2	6
FOXQ1_NRAS	BLCA	WOSecondM	4	80	5	182
FOXQ1_RB1	BLCA	WithSecondM	1	19	1	30
FOXQ1_RB1	BLCA	WOSecondM	4	63	6	158
FOXQ1_KLF5	BLCA	WithSecondM	1	3	1	15
FOXQ1_KLF5	BLCA	WOSecondM	4	79	6	173
FOXQ1_RBM10	BLCA	WithSecondM	1	6	2	4
FOXQ1_RBM10	BLCA	WOSecondM	4	76	5	184
FOXQ1_KDM6A	BLCA	WithSecondM	3	21	3	45
FOXQ1_KDM6A	BLCA	WOSecondM	2	61	4	143
FOXQ1_CUL1	BLCA	WithSecondM	1	2	2	8
FOXQ1_CUL1	BLCA	WOSecondM	4	80	5	180
FOXQ1_FBXW7	BLCA	WithSecondM	1	3	2	17
FOXQ1_FBXW7	BLCA	WOSecondM	4	79	5	171
FOXQ1_KMT2C	BLCA	WithSecondM	2	10	2	44
FOXQ1_KMT2C	BLCA	WOSecondM	3	72	5	144
FOXQ1_ERBB3	BLCA	WithSecondM	1	16	2	13
FOXQ1_ERBB3	BLCA	WOSecondM	4	66	5	175
FOXQ1_CDKN2A	BLCA	WithSecondM	1	7	1	9
FOXQ1_CDKN2A	BLCA	WOSecondM	4	75	6	179
FOXQ1_DIAPH2	BLCA	WithSecondM	1	8	2	6
FOXQ1_DIAPH2	BLCA	WOSecondM	4	74	5	182
FOXQ1_KMT2D	BLCA	WithSecondM	1	21	3	46
FOXQ1_KMT2D	BLCA	WOSecondM	4	61	4	142
FOXQ1_STAG2	BLCA	WithSecondM	2	15	2	29
FOXQ1_STAG2	BLCA	WOSecondM	3	67	5	159
FOXQ1_RXRA	BLCA	WithSecondM	1	10	1	9
FOXQ1_RXRA	BLCA	WOSecondM	4	72	6	179
FOXQ1_ZFP36L1	BLCA	WithSecondM	1	9	1	13
FOXQ1_ZFP36L1	BLCA	WOSecondM	4	73	6	175
FOXQ1_HRAS	BLCA	WithSecondM	2	3	1	12
FOXQ1_HRAS	BLCA	WOSecondM	3	79	6	176
FOXQ1_RHOB	BLCA	WithSecondM	2	5	1	12
FOXQ1_RHOB	BLCA	WOSecondM	3	77	6	176
FOXQ1_RHOA	BLCA	WithSecondM	1	7	1	9
FOXQ1_RHOA	BLCA	WOSecondM	4	75	6	179
FOXQ1_EP300	BLCA	WithSecondM	3	11	1	24
FOXQ1_EP300	BLCA	WOSecondM	2	71	6	164
FOXQ1_FGFR3	BLCA	WithSecondM	1	6	1	42
FOXQ1_FGFR3	BLCA	WOSecondM	4	76	6	146
FOXQ1_KRAS	BLCA	WithSecondM	1	1	2	9
FOXQ1_KRAS	BLCA	WOSecondM	4	81	5	179
FOXQ1_PSIP1	BLCA	WithSecondM	1	4	1	9
FOXQ1_PSIP1	BLCA	WOSecondM	4	78	6	179
FOXQ1_ERBB2	BLCA	WithSecondM	1	13	3	18
FOXQ1_ERBB2	BLCA	WOSecondM	4	69	4	170
FOXQ1_ARID1A	BLCA	WithSecondM	2	23	2	47
FOXQ1_ARID1A	BLCA	WOSecondM	3	59	5	141
FOXQ1_FOXA1	BLCA	WithSecondM	1	6	1	5
FOXQ1_FOXA1	BLCA	WOSecondM	4	76	6	183
FOXQ1_PTEN	BLCA	WithSecondM	1	3	1	5
FOXQ1_PTEN	BLCA	WOSecondM	4	79	6	183
FOXQ1_FAT1	BLCA	WithSecondM	1	11	2	22
FOXQ1_FAT1	BLCA	WOSecondM	4	71	5	166
FOXQ1_GNA13	BLCA	WithSecondM	1	4	1	6
FOXQ1_GNA13	BLCA	WOSecondM	4	78	6	182
FOXQ1_PIK3CA	BLCA	WithSecondM	1	19	2	44
FOXQ1_PIK3CA	BLCA	WOSecondM	4	63	5	144
FOXQ1_CREBBP	BLCA	WithSecondM	1	10	2	19
FOXQ1_CREBBP	BLCA	WOSecondM	4	72	5	169
SPTAN1_FOXQ1	BLCA	WithSecondM	1	7	1	6
SPTAN1_FOXQ1	BLCA	WOSecondM	22	131	16	148
SPTAN1_CDKN1A	BLCA	WithSecondM	6	19	2	10
SPTAN1_CDKN1A	BLCA	WOSecondM	17	119	15	144
SPTAN1_ATM	BLCA	WithSecondM	2	17	6	22
SPTAN1_ATM	BLCA	WOSecondM	21	121	11	132
SPTAN1_SF3B1	BLCA	WithSecondM	3	7	1	11
SPTAN1_SF3B1	BLCA	WOSecondM	20	131	16	143
SPTAN1_ERCC2	BLCA	WithSecondM	1	7	3	17
SPTAN1_ERCC2	BLCA	WOSecondM	22	131	14	137
SPTAN1_SF1	BLCA	WithSecondM	1	2	1	2
SPTAN1_SF1	BLCA	WOSecondM	22	136	16	152
SPTAN1_CTNNB1	BLCA	WithSecondM	1	4	1	9
SPTAN1_CTNNB1	BLCA	WOSecondM	22	134	16	145
SPTAN1_TXNIP	BLCA	WithSecondM	3	6	1	5
SPTAN1_TXNIP	BLCA	WOSecondM	20	132	16	149
SPTAN1_ELF3	BLCA	WithSecondM	3	29	2	13
SPTAN1_ELF3	BLCA	WOSecondM	20	109	15	141
SPTAN1_TSC1	BLCA	WithSecondM	6	17	4	7
SPTAN1_TSC1	BLCA	WOSecondM	17	121	13	147
SPTAN1_KANSL1	BLCA	WithSecondM	3	10	2	6
SPTAN1_KANSL1	BLCA	WOSecondM	20	128	15	148
SPTAN1_TP53	BLCA	WithSecondM	5	60	10	80
SPTAN1_TP53	BLCA	WOSecondM	18	78	7	74
SPTAN1_NFE2L2	BLCA	WithSecondM	1	9	2	13
SPTAN1_NFE2L2	BLCA	WOSecondM	22	129	15	141
SPTAN1_ASXL2	BLCA	WithSecondM	4	15	3	7
SPTAN1_ASXL2	BLCA	WOSecondM	19	123	14	147
SPTAN1_NRAS	BLCA	WithSecondM	2	2	1	6
SPTAN1_NRAS	BLCA	WOSecondM	21	136	16	148
SPTAN1_RB1	BLCA	WithSecondM	1	15	5	34
SPTAN1_RB1	BLCA	WOSecondM	22	123	12	120
SPTAN1_KLF5	BLCA	WithSecondM	2	5	3	10
SPTAN1_KLF5	BLCA	WOSecondM	21	133	14	144
SPTAN1_RBM10	BLCA	WithSecondM	1	6	1	5
SPTAN1_RBM10	BLCA	WOSecondM	22	132	16	149
SPTAN1_KDM6A	BLCA	WithSecondM	5	45	4	33
SPTAN1_KDM6A	BLCA	WOSecondM	18	93	13	121
SPTAN1_CUL1	BLCA	WithSecondM	3	4	2	4
SPTAN1_CUL1	BLCA	WOSecondM	20	134	15	150
SPTAN1_FBXW7	BLCA	WithSecondM	2	11	3	12
SPTAN1_FBXW7	BLCA	WOSecondM	21	127	14	142
SPTAN1_KMT2C	BLCA	WithSecondM	3	25	5	31
SPTAN1_KMT2C	BLCA	WOSecondM	20	113	12	123
SPTAN1_ERBB3	BLCA	WithSecondM	2	13	5	18
SPTAN1_ERBB3	BLCA	WOSecondM	21	125	12	136
SPTAN1_CDKN2A	BLCA	WithSecondM	3	4	2	9
SPTAN1_CDKN2A	BLCA	WOSecondM	20	134	15	145
SPTAN1_DIAPH2	BLCA	WithSecondM	2	7	1	11
