Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
BRCA1_CDKN1B	BRCA	WithSecondM	1	3	1	4
BRCA1_CDKN1B	BRCA	WOSecondM	6	155	4	393
BRCA1_SF3B1	BRCA	WithSecondM	1	3	1	8
BRCA1_SF3B1	BRCA	WOSecondM	6	155	4	389
BRCA1_AKT1	BRCA	WithSecondM	1	2	2	16
BRCA1_AKT1	BRCA	WOSecondM	6	156	3	381
BRCA1_MAP2K4	BRCA	WithSecondM	1	6	1	13
BRCA1_MAP2K4	BRCA	WOSecondM	6	152	4	384
BRCA1_NCOR1	BRCA	WithSecondM	1	4	1	12
BRCA1_NCOR1	BRCA	WOSecondM	6	154	4	385
BRCA1_GPS2	BRCA	WithSecondM	1	1	1	7
BRCA1_GPS2	BRCA	WOSecondM	6	157	4	390
BRCA1_CHD4	BRCA	WithSecondM	1	3	2	6
BRCA1_CHD4	BRCA	WOSecondM	6	155	3	391
BRCA1_PIK3CA	BRCA	WithSecondM	2	39	2	142
BRCA1_PIK3CA	BRCA	WOSecondM	5	119	3	255
BRCA1_MAP3K1	BRCA	WithSecondM	1	6	2	40
BRCA1_MAP3K1	BRCA	WOSecondM	6	152	3	357
BRCA1_RB1	BRCA	WithSecondM	1	7	1	6
BRCA1_RB1	BRCA	WOSecondM	6	151	4	391
BRCA1_CBFB	BRCA	WithSecondM	1	5	1	3
BRCA1_CBFB	BRCA	WOSecondM	6	153	4	394
BRCA1_NF1	BRCA	WithSecondM	1	2	1	5
BRCA1_NF1	BRCA	WOSecondM	6	156	4	392
BRCA1_CDH1	BRCA	WithSecondM	1	11	1	58
BRCA1_CDH1	BRCA	WOSecondM	6	147	4	339
BRCA1_FBXW7	BRCA	WithSecondM	1	2	1	5
BRCA1_FBXW7	BRCA	WOSecondM	6	156	4	392
BRCA1_KMT2C	BRCA	WithSecondM	1	10	2	29
BRCA1_KMT2C	BRCA	WOSecondM	6	148	3	368
BRCA1_PIK3R1	BRCA	WithSecondM	1	2	1	11
BRCA1_PIK3R1	BRCA	WOSecondM	6	156	4	386
BRCA1_GATA3	BRCA	WithSecondM	1	13	2	43
BRCA1_GATA3	BRCA	WOSecondM	6	145	3	354
BRCA1_KRAS	BRCA	WithSecondM	1	1	1	5
BRCA1_KRAS	BRCA	WOSecondM	6	157	4	392
BRCA1_TP53	BRCA	WithSecondM	4	39	1	65
BRCA1_TP53	BRCA	WOSecondM	3	119	4	332
BRCA1_TBX3	BRCA	WithSecondM	1	4	1	11
