Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
KMT2C_ERBB3	CESC	WithSecondM	1	3	2	7
KMT2C_ERBB3	CESC	WOSecondM	8	27	24	152
KMT2C_SMAD4	CESC	WithSecondM	1	2	1	5
KMT2C_SMAD4	CESC	WOSecondM	8	28	25	154
KMT2C_HLA-B	CESC	WithSecondM	1	2	1	6
KMT2C_HLA-B	CESC	WOSecondM	8	28	25	153
KMT2C_STK11	CESC	WithSecondM	1	1	3	11
KMT2C_STK11	CESC	WOSecondM	8	29	23	148
KMT2C_AKT1	CESC	WithSecondM	1	1	2	4
KMT2C_AKT1	CESC	WOSecondM	8	29	24	155
KMT2C_LATS1	CESC	WithSecondM	3	2	1	5
KMT2C_LATS1	CESC	WOSecondM	6	28	25	154
KMT2C_NFE2L2	CESC	WithSecondM	2	2	2	6
KMT2C_NFE2L2	CESC	WOSecondM	7	28	24	153
KMT2C_MAP3K1	CESC	WithSecondM	1	1	1	3
KMT2C_MAP3K1	CESC	WOSecondM	8	29	25	156
KMT2C_RB1	CESC	WithSecondM	4	3	2	9
KMT2C_RB1	CESC	WOSecondM	5	27	24	150
KMT2C_KLF5	CESC	WithSecondM	1	2	2	5
KMT2C_KLF5	CESC	WOSecondM	8	28	24	154
KMT2C_MAPK1	CESC	WithSecondM	1	1	2	8
KMT2C_MAPK1	CESC	WOSecondM	8	29	24	151
KMT2C_FBXW7	CESC	WithSecondM	2	2	3	19
KMT2C_FBXW7	CESC	WOSecondM	7	28	23	140
KMT2C_ERBB2	CESC	WithSecondM	1	2	4	5
KMT2C_ERBB2	CESC	WOSecondM	8	28	22	154
KMT2C_TGFBR2	CESC	WithSecondM	1	1	1	5
KMT2C_TGFBR2	CESC	WOSecondM	8	29	25	154
KMT2C_KMT2D	CESC	WithSecondM	3	6	4	18
KMT2C_KMT2D	CESC	WOSecondM	6	24	22	141
KMT2C_EP300	CESC	WithSecondM	4	6	3	14
KMT2C_EP300	CESC	WOSecondM	5	24	23	145
KMT2C_KRAS	CESC	WithSecondM	1	1	3	14
KMT2C_KRAS	CESC	WOSecondM	8	29	23	145
KMT2C_TP53	CESC	WithSecondM	1	6	4	10
KMT2C_TP53	CESC	WOSecondM	8	24	22	149
KMT2C_ARID1A	CESC	WithSecondM	1	2	4	3
KMT2C_ARID1A	CESC	WOSecondM	8	28	22	156
KMT2C_NOTCH1	CESC	WithSecondM	1	3	2	12
KMT2C_NOTCH1	CESC	WOSecondM	8	27	24	147
KMT2C_CASP8	CESC	WithSecondM	1	2	3	7
KMT2C_CASP8	CESC	WOSecondM	8	28	23	152
KMT2C_PTEN	CESC	WithSecondM	1	4	4	12
KMT2C_PTEN	CESC	WOSecondM	8	26	22	147
KMT2C_FAT1	CESC	WithSecondM	1	4	2	12
KMT2C_FAT1	CESC	WOSecondM	8	26	24	147
KMT2C_PIK3CA	CESC	WithSecondM	3	8	10	44
KMT2C_PIK3CA	CESC	WOSecondM	6	22	16	115
KMT2C_POLRMT	CESC	WithSecondM	1	2	3	2
KMT2C_POLRMT	CESC	WOSecondM	8	28	23	157
ERBB3_KMT2C	CESC	WithSecondM	1	4	2	34
ERBB3_KMT2C	CESC	WOSecondM	3	47	8	171
ERBB3_SMAD4	CESC	WithSecondM	1	3	1	6
ERBB3_SMAD4	CESC	WOSecondM	3	48	9	199
ERBB3_HLA-B	CESC	WithSecondM	1	3	1	7
ERBB3_HLA-B	CESC	WOSecondM	3	48	9	198
ERBB3_STK11	CESC	WithSecondM	1	4	1	11
ERBB3_STK11	CESC	WOSecondM	3	47	9	194
ERBB3_AKT1	CESC	WithSecondM	1	1	2	5
ERBB3_AKT1	CESC	WOSecondM	3	50	8	200
ERBB3_LATS1	CESC	WithSecondM	1	1	2	9
ERBB3_LATS1	CESC	WOSecondM	3	50	8	196
ERBB3_NFE2L2	CESC	WithSecondM	1	4	1	9
ERBB3_NFE2L2	CESC	WOSecondM	3	47	9	196
ERBB3_MAP3K1	CESC	WithSecondM	1	2	1	2
ERBB3_MAP3K1	CESC	WOSecondM	3	49	9	203
ERBB3_RB1	CESC	WithSecondM	1	2	2	14
ERBB3_RB1	CESC	WOSecondM	3	49	8	191
ERBB3_KLF5	CESC	WithSecondM	1	2	1	7
ERBB3_KLF5	CESC	WOSecondM	3	49	9	198
ERBB3_MAPK1	CESC	WithSecondM	1	4	1	9
ERBB3_MAPK1	CESC	WOSecondM	3	47	9	196
ERBB3_FBXW7	CESC	WithSecondM	1	7	1	22
ERBB3_FBXW7	CESC	WOSecondM	3	44	9	183
ERBB3_ERBB2	CESC	WithSecondM	2	2	2	8
ERBB3_ERBB2	CESC	WOSecondM	2	49	8	197
ERBB3_TGFBR2	CESC	WithSecondM	1	3	1	4
ERBB3_TGFBR2	CESC	WOSecondM	3	48	9	201
ERBB3_KMT2D	CESC	WithSecondM	1	4	1	26
ERBB3_KMT2D	CESC	WOSecondM	3	47	9	179
ERBB3_EP300	CESC	WithSecondM	2	10	1	17
ERBB3_EP300	CESC	WOSecondM	2	41	9	188
ERBB3_KRAS	CESC	WithSecondM	1	2	1	15
ERBB3_KRAS	CESC	WOSecondM	3	49	9	190
ERBB3_TP53	CESC	WithSecondM	1	5	2	10
ERBB3_TP53	CESC	WOSecondM	3	46	8	195
ERBB3_ARID1A	CESC	WithSecondM	2	1	2	7
ERBB3_ARID1A	CESC	WOSecondM	2	50	8	198
ERBB3_NOTCH1	CESC	WithSecondM	1	6	1	11
ERBB3_NOTCH1	CESC	WOSecondM	3	45	9	194
ERBB3_CASP8	CESC	WithSecondM	1	3	1	10
ERBB3_CASP8	CESC	WOSecondM	3	48	9	195
ERBB3_PTEN	CESC	WithSecondM	1	2	2	15
ERBB3_PTEN	CESC	WOSecondM	3	49	8	190
ERBB3_FAT1	CESC	WithSecondM	1	6	1	13
ERBB3_FAT1	CESC	WOSecondM	3	45	9	192
