Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
KMT2C_ERBB3	CESC	WithSecondM	1	2	2	5
KMT2C_ERBB3	CESC	WOSecondM	4	56	13	165
KMT2C_SMAD4	CESC	WithSecondM	2	3	1	5
KMT2C_SMAD4	CESC	WOSecondM	3	55	14	165
KMT2C_HLA-B	CESC	WithSecondM	1	2	1	6
KMT2C_HLA-B	CESC	WOSecondM	4	56	14	164
KMT2C_STK11	CESC	WithSecondM	1	2	1	10
KMT2C_STK11	CESC	WOSecondM	4	56	14	160
KMT2C_AKT1	CESC	WithSecondM	1	1	1	4
KMT2C_AKT1	CESC	WOSecondM	4	57	14	166
KMT2C_LATS1	CESC	WithSecondM	2	2	1	5
KMT2C_LATS1	CESC	WOSecondM	3	56	14	165
KMT2C_NFE2L2	CESC	WithSecondM	2	4	2	6
KMT2C_NFE2L2	CESC	WOSecondM	3	54	13	164
KMT2C_MAP3K1	CESC	WithSecondM	1	2	1	2
KMT2C_MAP3K1	CESC	WOSecondM	4	56	14	168
KMT2C_RB1	CESC	WithSecondM	1	2	1	10
KMT2C_RB1	CESC	WOSecondM	4	56	14	160
KMT2C_KLF5	CESC	WithSecondM	1	1	1	2
KMT2C_KLF5	CESC	WOSecondM	4	57	14	168
KMT2C_MAPK1	CESC	WithSecondM	1	4	2	8
KMT2C_MAPK1	CESC	WOSecondM	4	54	13	162
KMT2C_FBXW7	CESC	WithSecondM	2	6	1	20
KMT2C_FBXW7	CESC	WOSecondM	3	52	14	150
KMT2C_ERBB2	CESC	WithSecondM	1	3	2	6
KMT2C_ERBB2	CESC	WOSecondM	4	55	13	164
KMT2C_TGFBR2	CESC	WithSecondM	1	3	1	5
KMT2C_TGFBR2	CESC	WOSecondM	4	55	14	165
KMT2C_KMT2D	CESC	WithSecondM	2	2	3	8
KMT2C_KMT2D	CESC	WOSecondM	3	56	12	162
KMT2C_EP300	CESC	WithSecondM	1	6	2	12
KMT2C_EP300	CESC	WOSecondM	4	52	13	158
KMT2C_KRAS	CESC	WithSecondM	1	1	1	16
KMT2C_KRAS	CESC	WOSecondM	4	57	14	154
KMT2C_TP53	CESC	WithSecondM	1	2	1	12
KMT2C_TP53	CESC	WOSecondM	4	56	14	158
KMT2C_ARID1A	CESC	WithSecondM	2	3	2	4
KMT2C_ARID1A	CESC	WOSecondM	3	55	13	166
KMT2C_NOTCH1	CESC	WithSecondM	2	1	1	8
KMT2C_NOTCH1	CESC	WOSecondM	3	57	14	162
KMT2C_CASP8	CESC	WithSecondM	1	1	1	7
KMT2C_CASP8	CESC	WOSecondM	4	57	14	163
KMT2C_PTEN	CESC	WithSecondM	1	2	3	12
KMT2C_PTEN	CESC	WOSecondM	4	56	12	158
KMT2C_FAT1	CESC	WithSecondM	2	3	1	8
