Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
BAP1_PBRM1	CHOL	WithSecondM	1	1	1	1
BAP1_PBRM1	CHOL	WOSecondM	1	2	1	7
BAP1_IDH1	CHOL	WithSecondM	1	1	1	2
BAP1_IDH1	CHOL	WOSecondM	1	2	1	6
BAP1_EPHA2	CHOL	WithSecondM	1	1	1	2
BAP1_EPHA2	CHOL	WOSecondM	1	2	1	6
PBRM1_BAP1	CHOL	WithSecondM	1	1	1	1
PBRM1_BAP1	CHOL	WOSecondM	1	2	1	7
PBRM1_IDH1	CHOL	WithSecondM	1	1	1	2
PBRM1_IDH1	CHOL	WOSecondM	1	2	1	6
PBRM1_EPHA2	CHOL	WithSecondM	1	1	1	2
PBRM1_EPHA2	CHOL	WOSecondM	1	2	1	6
IDH1_BAP1	CHOL	WithSecondM	1	2	1	5
IDH1_BAP1	CHOL	WOSecondM	2	5	5	19
IDH1_PBRM1	CHOL	WithSecondM	1	2	1	5
IDH1_PBRM1	CHOL	WOSecondM	2	5	5	19
IDH1_EPHA2	CHOL	WithSecondM	2	1	2	2
IDH1_EPHA2	CHOL	WOSecondM	1	6	4	22
EPHA2_BAP1	CHOL	WithSecondM	1	1	1	1
EPHA2_BAP1	CHOL	WOSecondM	1	1	1	6
EPHA2_PBRM1	CHOL	WithSecondM	1	1	1	1
EPHA2_PBRM1	CHOL	WOSecondM	1	1	1	6
EPHA2_IDH1	CHOL	WithSecondM	1	1	1	1
EPHA2_IDH1	CHOL	WOSecondM	1	1	1	6
