Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
ACVR2A_TP53	COADREAD	WithSecondM	2	63	2	145
ACVR2A_TP53	COADREAD	WOSecondM	1	21	3	123
ACVR2A_GNAS	COADREAD	WithSecondM	1	1	1	5
ACVR2A_GNAS	COADREAD	WOSecondM	2	83	4	263
ACVR2A_SMAD4	COADREAD	WithSecondM	1	10	1	26
ACVR2A_SMAD4	COADREAD	WOSecondM	2	74	4	242
ACVR2A_AMER1	COADREAD	WithSecondM	1	8	3	23
ACVR2A_AMER1	COADREAD	WOSecondM	2	76	2	245
ACVR2A_ARID1A	COADREAD	WithSecondM	1	4	2	9
ACVR2A_ARID1A	COADREAD	WOSecondM	2	80	3	259
ACVR2A_PCBP1	COADREAD	WithSecondM	1	1	1	1
ACVR2A_PCBP1	COADREAD	WOSecondM	2	83	4	267
ACVR2A_NRAS	COADREAD	WithSecondM	1	9	1	12
ACVR2A_NRAS	COADREAD	WOSecondM	2	75	4	256
ACVR2A_TCF7L2	COADREAD	WithSecondM	1	1	1	19
ACVR2A_TCF7L2	COADREAD	WOSecondM	2	83	4	249
ACVR2A_CTNNB1	COADREAD	WithSecondM	1	4	2	7
ACVR2A_CTNNB1	COADREAD	WOSecondM	2	80	3	261
ACVR2A_PTEN	COADREAD	WithSecondM	1	3	2	9
ACVR2A_PTEN	COADREAD	WOSecondM	2	81	3	259
ACVR2A_SMAD2	COADREAD	WithSecondM	1	3	1	8
ACVR2A_SMAD2	COADREAD	WOSecondM	2	81	4	260
ACVR2A_SOX9	COADREAD	WithSecondM	1	8	1	25
ACVR2A_SOX9	COADREAD	WOSecondM	2	76	4	243
ACVR2A_BRAF	COADREAD	WithSecondM	1	5	2	10
ACVR2A_BRAF	COADREAD	WOSecondM	2	79	3	258
ACVR2A_ZFP36L2	COADREAD	WithSecondM	1	3	1	8
ACVR2A_ZFP36L2	COADREAD	WOSecondM	2	81	4	260
ACVR2A_PIK3CA	COADREAD	WithSecondM	1	18	2	53
ACVR2A_PIK3CA	COADREAD	WOSecondM	2	66	3	215
ACVR2A_APC	COADREAD	WithSecondM	2	66	3	173
ACVR2A_APC	COADREAD	WOSecondM	1	18	2	95
ACVR2A_KRAS	COADREAD	WithSecondM	2	26	3	109
ACVR2A_KRAS	COADREAD	WOSecondM	1	58	2	159
ACVR2A_TGIF1	COADREAD	WithSecondM	1	4	1	7
ACVR2A_TGIF1	COADREAD	WOSecondM	2	80	4	261
ACVR2A_FBXW7	COADREAD	WithSecondM	1	14	1	22
ACVR2A_FBXW7	COADREAD	WOSecondM	2	70	4	246
TP53_ACVR2A	COADREAD	WithSecondM	1	1	1	5
TP53_ACVR2A	COADREAD	WOSecondM	7	7	32	70
TP53_GNAS	COADREAD	WithSecondM	1	1	1	4
TP53_GNAS	COADREAD	WOSecondM	7	7	32	71
TP53_SMAD4	COADREAD	WithSecondM	1	1	3	15
TP53_SMAD4	COADREAD	WOSecondM	7	7	30	60
TP53_AMER1	COADREAD	WithSecondM	2	1	2	8
TP53_AMER1	COADREAD	WOSecondM	6	7	31	67
TP53_ARID1A	COADREAD	WithSecondM	1	1	3	4
TP53_ARID1A	COADREAD	WOSecondM	7	7	30	71
TP53_PCBP1	COADREAD	WithSecondM	1	1	1	1
TP53_PCBP1	COADREAD	WOSecondM	7	7	32	74
TP53_NRAS	COADREAD	WithSecondM	1	1	4	3
TP53_NRAS	COADREAD	WOSecondM	7	7	29	72
TP53_TCF7L2	COADREAD	WithSecondM	3	2	2	4
TP53_TCF7L2	COADREAD	WOSecondM	5	6	31	71
TP53_CTNNB1	COADREAD	WithSecondM	1	1	1	3
TP53_CTNNB1	COADREAD	WOSecondM	7	7	32	72
TP53_PTEN	COADREAD	WithSecondM	1	2	2	4
TP53_PTEN	COADREAD	WOSecondM	7	6	31	71
TP53_SMAD2	COADREAD	WithSecondM	1	2	1	4
TP53_SMAD2	COADREAD	WOSecondM	7	6	32	71
TP53_SOX9	COADREAD	WithSecondM	1	1	4	12
TP53_SOX9	COADREAD	WOSecondM	7	7	29	63
TP53_BRAF	COADREAD	WithSecondM	2	1	2	5
TP53_BRAF	COADREAD	WOSecondM	6	7	31	70
TP53_ZFP36L2	COADREAD	WithSecondM	1	1	1	3
TP53_ZFP36L2	COADREAD	WOSecondM	7	7	32	72
TP53_PIK3CA	COADREAD	WithSecondM	1	3	4	20
TP53_PIK3CA	COADREAD	WOSecondM	7	5	29	55
TP53_APC	COADREAD	WithSecondM	6	5	26	40
TP53_APC	COADREAD	WOSecondM	2	3	7	35
TP53_KRAS	COADREAD	WithSecondM	2	4	11	36
TP53_KRAS	COADREAD	WOSecondM	6	4	22	39
TP53_TGIF1	COADREAD	WithSecondM	1	1	1	3
TP53_TGIF1	COADREAD	WOSecondM	7	7	32	72
TP53_FBXW7	COADREAD	WithSecondM	2	1	4	8
TP53_FBXW7	COADREAD	WOSecondM	6	7	29	67
GNAS_ACVR2A	COADREAD	WithSecondM	1	3	1	5
GNAS_ACVR2A	COADREAD	WOSecondM	1	309	5	50
GNAS_TP53	COADREAD	WithSecondM	1	202	2	15
GNAS_TP53	COADREAD	WOSecondM	1	110	4	40
GNAS_SMAD4	COADREAD	WithSecondM	1	29	1	9
GNAS_SMAD4	COADREAD	WOSecondM	1	283	5	46
GNAS_AMER1	COADREAD	WithSecondM	1	26	1	9
GNAS_AMER1	COADREAD	WOSecondM	1	286	5	46
GNAS_ARID1A	COADREAD	WithSecondM	1	14	1	2
GNAS_ARID1A	COADREAD	WOSecondM	1	298	5	53
GNAS_PCBP1	COADREAD	WithSecondM	1	1	1	1
GNAS_PCBP1	COADREAD	WOSecondM	1	311	5	54
GNAS_NRAS	COADREAD	WithSecondM	1	18	1	3
GNAS_NRAS	COADREAD	WOSecondM	1	294	5	52
GNAS_TCF7L2	COADREAD	WithSecondM	1	20	1	1
GNAS_TCF7L2	COADREAD	WOSecondM	1	292	5	54
GNAS_CTNNB1	COADREAD	WithSecondM	1	6	1	5
GNAS_CTNNB1	COADREAD	WOSecondM	1	306	5	50
GNAS_PTEN	COADREAD	WithSecondM	1	10	1	4
GNAS_PTEN	COADREAD	WOSecondM	1	302	5	51
GNAS_SMAD2	COADREAD	WithSecondM	1	7	1	4
GNAS_SMAD2	COADREAD	WOSecondM	1	305	5	51
GNAS_SOX9	COADREAD	WithSecondM	1	28	1	7
GNAS_SOX9	COADREAD	WOSecondM	1	284	5	48
GNAS_BRAF	COADREAD	WithSecondM	1	10	2	6
GNAS_BRAF	COADREAD	WOSecondM	1	302	4	49
GNAS_ZFP36L2	COADREAD	WithSecondM	1	11	1	2
GNAS_ZFP36L2	COADREAD	WOSecondM	1	301	5	53
GNAS_PIK3CA	COADREAD	WithSecondM	1	58	1	14
GNAS_PIK3CA	COADREAD	WOSecondM	1	254	5	41
GNAS_APC	COADREAD	WithSecondM	1	227	4	22
GNAS_APC	COADREAD	WOSecondM	1	85	2	33
GNAS_KRAS	COADREAD	WithSecondM	1	119	3	24
GNAS_KRAS	COADREAD	WOSecondM	1	193	3	31
GNAS_TGIF1	COADREAD	WithSecondM	1	7	1	4
GNAS_TGIF1	COADREAD	WOSecondM	1	305	5	51
GNAS_FBXW7	COADREAD	WithSecondM	1	31	1	5
GNAS_FBXW7	COADREAD	WOSecondM	1	281	5	50
SMAD4_ACVR2A	COADREAD	WithSecondM	1	1	1	5
SMAD4_ACVR2A	COADREAD	WOSecondM	1	3	6	60
SMAD4_TP53	COADREAD	WithSecondM	1	3	1	15
SMAD4_TP53	COADREAD	WOSecondM	1	1	6	50
SMAD4_GNAS	COADREAD	WithSecondM	1	1	1	4
SMAD4_GNAS	COADREAD	WOSecondM	1	3	6	61
SMAD4_AMER1	COADREAD	WithSecondM	1	1	2	6
SMAD4_AMER1	COADREAD	WOSecondM	1	3	5	59
SMAD4_ARID1A	COADREAD	WithSecondM	1	1	1	3
SMAD4_ARID1A	COADREAD	WOSecondM	1	3	6	62
SMAD4_PCBP1	COADREAD	WithSecondM	1	1	1	1
SMAD4_PCBP1	COADREAD	WOSecondM	1	3	6	64
SMAD4_NRAS	COADREAD	WithSecondM	1	1	1	1
SMAD4_NRAS	COADREAD	WOSecondM	1	3	6	64
SMAD4_TCF7L2	COADREAD	WithSecondM	1	1	1	4
SMAD4_TCF7L2	COADREAD	WOSecondM	1	3	6	61
SMAD4_CTNNB1	COADREAD	WithSecondM	1	1	2	3
SMAD4_CTNNB1	COADREAD	WOSecondM	1	3	5	62
SMAD4_PTEN	COADREAD	WithSecondM	1	1	1	5
SMAD4_PTEN	COADREAD	WOSecondM	1	3	6	60
SMAD4_SMAD2	COADREAD	WithSecondM	1	1	2	4
SMAD4_SMAD2	COADREAD	WOSecondM	1	3	5	61
SMAD4_SOX9	COADREAD	WithSecondM	1	1	2	8
SMAD4_SOX9	COADREAD	WOSecondM	1	3	5	57
SMAD4_BRAF	COADREAD	WithSecondM	1	2	1	7
SMAD4_BRAF	COADREAD	WOSecondM	1	2	6	58
SMAD4_ZFP36L2	COADREAD	WithSecondM	1	1	1	2
