Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
ACVR2A_TP53	COADREAD	WithSecondM	1	10	2	145
ACVR2A_TP53	COADREAD	WOSecondM	1	6	3	123
ACVR2A_GNAS	COADREAD	WithSecondM	1	1	1	5
ACVR2A_GNAS	COADREAD	WOSecondM	1	15	4	263
ACVR2A_SMAD4	COADREAD	WithSecondM	1	3	1	26
ACVR2A_SMAD4	COADREAD	WOSecondM	1	13	4	242
ACVR2A_AMER1	COADREAD	WithSecondM	1	2	3	23
ACVR2A_AMER1	COADREAD	WOSecondM	1	14	2	245
ACVR2A_ARID1A	COADREAD	WithSecondM	1	3	2	9
ACVR2A_ARID1A	COADREAD	WOSecondM	1	13	3	259
ACVR2A_PCBP1	COADREAD	WithSecondM	1	1	1	1
ACVR2A_PCBP1	COADREAD	WOSecondM	1	15	4	267
ACVR2A_NRAS	COADREAD	WithSecondM	1	1	1	12
ACVR2A_NRAS	COADREAD	WOSecondM	1	15	4	256
ACVR2A_TCF7L2	COADREAD	WithSecondM	1	2	1	19
ACVR2A_TCF7L2	COADREAD	WOSecondM	1	14	4	249
ACVR2A_CTNNB1	COADREAD	WithSecondM	1	1	2	7
ACVR2A_CTNNB1	COADREAD	WOSecondM	1	15	3	261
ACVR2A_PTEN	COADREAD	WithSecondM	1	2	2	9
ACVR2A_PTEN	COADREAD	WOSecondM	1	14	3	259
ACVR2A_SMAD2	COADREAD	WithSecondM	1	1	1	8
ACVR2A_SMAD2	COADREAD	WOSecondM	1	15	4	260
ACVR2A_SOX9	COADREAD	WithSecondM	1	1	1	25
ACVR2A_SOX9	COADREAD	WOSecondM	1	15	4	243
ACVR2A_BRAF	COADREAD	WithSecondM	1	2	2	10
ACVR2A_BRAF	COADREAD	WOSecondM	1	14	3	258
ACVR2A_ZFP36L2	COADREAD	WithSecondM	1	3	1	8
ACVR2A_ZFP36L2	COADREAD	WOSecondM	1	13	4	260
ACVR2A_PIK3CA	COADREAD	WithSecondM	1	1	2	53
ACVR2A_PIK3CA	COADREAD	WOSecondM	1	15	3	215
ACVR2A_APC	COADREAD	WithSecondM	1	9	3	173
ACVR2A_APC	COADREAD	WOSecondM	1	7	2	95
ACVR2A_KRAS	COADREAD	WithSecondM	1	6	3	109
ACVR2A_KRAS	COADREAD	WOSecondM	1	10	2	159
ACVR2A_TGIF1	COADREAD	WithSecondM	1	1	1	7
ACVR2A_TGIF1	COADREAD	WOSecondM	1	15	4	261
ACVR2A_FBXW7	COADREAD	WithSecondM	1	1	1	22
ACVR2A_FBXW7	COADREAD	WOSecondM	1	15	4	246
TP53_ACVR2A	COADREAD	WithSecondM	2	1	1	5
TP53_ACVR2A	COADREAD	WOSecondM	175	72	32	70
TP53_GNAS	COADREAD	WithSecondM	2	1	1	4
TP53_GNAS	COADREAD	WOSecondM	175	72	32	71
TP53_SMAD4	COADREAD	WithSecondM	19	3	3	15
TP53_SMAD4	COADREAD	WOSecondM	158	70	30	60
TP53_AMER1	COADREAD	WithSecondM	19	4	2	8
TP53_AMER1	COADREAD	WOSecondM	158	69	31	67
TP53_ARID1A	COADREAD	WithSecondM	8	3	3	4
TP53_ARID1A	COADREAD	WOSecondM	169	70	30	71
TP53_PCBP1	COADREAD	WithSecondM	1	1	1	1
TP53_PCBP1	COADREAD	WOSecondM	176	72	32	74
TP53_NRAS	COADREAD	WithSecondM	14	2	4	3
TP53_NRAS	COADREAD	WOSecondM	163	71	29	72
TP53_TCF7L2	COADREAD	WithSecondM	11	3	2	4
TP53_TCF7L2	COADREAD	WOSecondM	166	70	31	71
TP53_CTNNB1	COADREAD	WithSecondM	9	1	1	3
TP53_CTNNB1	COADREAD	WOSecondM	168	72	32	72
TP53_PTEN	COADREAD	WithSecondM	6	3	2	4
TP53_PTEN	COADREAD	WOSecondM	171	70	31	71
TP53_SMAD2	COADREAD	WithSecondM	6	1	1	4
TP53_SMAD2	COADREAD	WOSecondM	171	72	32	71
TP53_SOX9	COADREAD	WithSecondM	16	5	4	12
TP53_SOX9	COADREAD	WOSecondM	161	68	29	63
TP53_BRAF	COADREAD	WithSecondM	9	2	2	5
TP53_BRAF	COADREAD	WOSecondM	168	71	31	70
TP53_ZFP36L2	COADREAD	WithSecondM	9	2	1	3
TP53_ZFP36L2	COADREAD	WOSecondM	168	71	32	72
TP53_PIK3CA	COADREAD	WithSecondM	35	12	4	20
TP53_PIK3CA	COADREAD	WOSecondM	142	61	29	55
TP53_APC	COADREAD	WithSecondM	148	26	26	40
TP53_APC	COADREAD	WOSecondM	29	47	7	35
TP53_KRAS	COADREAD	WithSecondM	77	16	11	36
TP53_KRAS	COADREAD	WOSecondM	100	57	22	39
TP53_TGIF1	COADREAD	WithSecondM	6	3	1	3
TP53_TGIF1	COADREAD	WOSecondM	171	70	32	72
TP53_FBXW7	COADREAD	WithSecondM	22	3	4	8
TP53_FBXW7	COADREAD	WOSecondM	155	70	29	67
GNAS_ACVR2A	COADREAD	WithSecondM	1	1	1	5
GNAS_ACVR2A	COADREAD	WOSecondM	1	2	5	50
GNAS_TP53	COADREAD	WithSecondM	1	2	2	15
