Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
ERBB2_CDKN2A	ESCA	WithSecondM	2	9	1	5
ERBB2_CDKN2A	ESCA	WOSecondM	6	57	2	78
ERBB2_TP53	ESCA	WithSecondM	6	56	2	73
ERBB2_TP53	ESCA	WOSecondM	2	10	1	10
ERBB2_KMT2D	ESCA	WithSecondM	1	7	1	6
ERBB2_KMT2D	ESCA	WOSecondM	7	59	2	77
ERBB2_SMAD4	ESCA	WithSecondM	3	5	1	4
ERBB2_SMAD4	ESCA	WOSecondM	5	61	2	79
ERBB2_NFE2L2	ESCA	WithSecondM	1	9	1	7
ERBB2_NFE2L2	ESCA	WOSecondM	7	57	2	76
ERBB2_ARID1A	ESCA	WithSecondM	1	5	1	6
ERBB2_ARID1A	ESCA	WOSecondM	7	61	2	77
ERBB2_NOTCH1	ESCA	WithSecondM	1	2	1	6
ERBB2_NOTCH1	ESCA	WOSecondM	7	64	2	77
ERBB2_ZNF750	ESCA	WithSecondM	1	3	1	8
ERBB2_ZNF750	ESCA	WOSecondM	7	63	2	75
ERBB2_PIK3CA	ESCA	WithSecondM	2	6	1	9
ERBB2_PIK3CA	ESCA	WOSecondM	6	60	2	74
ERBB2_NSD1	ESCA	WithSecondM	1	2	1	4
ERBB2_NSD1	ESCA	WOSecondM	7	64	2	79
ERBB2_PTCH1	ESCA	WithSecondM	1	4	1	3
ERBB2_PTCH1	ESCA	WOSecondM	7	62	2	80
ERBB2_FBXW7	ESCA	WithSecondM	1	5	1	5
ERBB2_FBXW7	ESCA	WOSecondM	7	61	2	78
CDKN2A_ERBB2	ESCA	WithSecondM	1	1	1	1
CDKN2A_ERBB2	ESCA	WOSecondM	1	8	2	27
CDKN2A_TP53	ESCA	WithSecondM	1	8	2	21
CDKN2A_TP53	ESCA	WOSecondM	1	1	1	7
CDKN2A_KMT2D	ESCA	WithSecondM	1	1	1	7
CDKN2A_KMT2D	ESCA	WOSecondM	1	8	2	21
CDKN2A_SMAD4	ESCA	WithSecondM	1	2	1	2
CDKN2A_SMAD4	ESCA	WOSecondM	1	7	2	26
CDKN2A_NFE2L2	ESCA	WithSecondM	1	1	1	3
CDKN2A_NFE2L2	ESCA	WOSecondM	1	8	2	25
CDKN2A_ARID1A	ESCA	WithSecondM	1	1	1	6
CDKN2A_ARID1A	ESCA	WOSecondM	1	8	2	22
CDKN2A_NOTCH1	ESCA	WithSecondM	1	1	1	4
CDKN2A_NOTCH1	ESCA	WOSecondM	1	8	2	24
CDKN2A_ZNF750	ESCA	WithSecondM	1	1	1	1
CDKN2A_ZNF750	ESCA	WOSecondM	1	8	2	27
CDKN2A_PIK3CA	ESCA	WithSecondM	1	1	1	7
CDKN2A_PIK3CA	ESCA	WOSecondM	1	8	2	21
CDKN2A_NSD1	ESCA	WithSecondM	1	1	1	3
CDKN2A_NSD1	ESCA	WOSecondM	1	8	2	25
CDKN2A_PTCH1	ESCA	WithSecondM	1	1	1	2
CDKN2A_PTCH1	ESCA	WOSecondM	1	8	2	26
CDKN2A_FBXW7	ESCA	WithSecondM	1	1	1	3
CDKN2A_FBXW7	ESCA	WOSecondM	1	8	2	25
TP53_ERBB2	ESCA	WithSecondM	1	1	3	1
TP53_ERBB2	ESCA	WOSecondM	22	1	57	7
TP53_CDKN2A	ESCA	WithSecondM	2	1	3	1
TP53_CDKN2A	ESCA	WOSecondM	21	1	57	7
TP53_KMT2D	ESCA	WithSecondM	4	1	2	4
TP53_KMT2D	ESCA	WOSecondM	19	1	58	4
TP53_SMAD4	ESCA	WithSecondM	2	1	3	1
TP53_SMAD4	ESCA	WOSecondM	21	1	57	7
TP53_NFE2L2	ESCA	WithSecondM	6	1	8	1
TP53_NFE2L2	ESCA	WOSecondM	17	1	52	7
