Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
ERBB2_CDKN2A	ESCA	WithSecondM	1	2	1	5
ERBB2_CDKN2A	ESCA	WOSecondM	1	17	2	78
ERBB2_TP53	ESCA	WithSecondM	1	18	2	73
ERBB2_TP53	ESCA	WOSecondM	1	1	1	10
ERBB2_KMT2D	ESCA	WithSecondM	1	3	1	8
ERBB2_KMT2D	ESCA	WOSecondM	1	16	2	75
ERBB2_SMAD4	ESCA	WithSecondM	1	3	1	4
ERBB2_SMAD4	ESCA	WOSecondM	1	16	2	79
ERBB2_NFE2L2	ESCA	WithSecondM	1	3	1	8
ERBB2_NFE2L2	ESCA	WOSecondM	1	16	2	75
ERBB2_ARID1A	ESCA	WithSecondM	1	1	1	6
ERBB2_ARID1A	ESCA	WOSecondM	1	18	2	77
ERBB2_NOTCH1	ESCA	WithSecondM	1	4	1	7
ERBB2_NOTCH1	ESCA	WOSecondM	1	15	2	76
ERBB2_ZNF750	ESCA	WithSecondM	1	2	1	9
ERBB2_ZNF750	ESCA	WOSecondM	1	17	2	74
ERBB2_PIK3CA	ESCA	WithSecondM	1	4	1	9
ERBB2_PIK3CA	ESCA	WOSecondM	1	15	2	74
ERBB2_NSD1	ESCA	WithSecondM	1	1	1	5
ERBB2_NSD1	ESCA	WOSecondM	1	18	2	78
ERBB2_PTCH1	ESCA	WithSecondM	1	1	1	3
ERBB2_PTCH1	ESCA	WOSecondM	1	18	2	80
ERBB2_FBXW7	ESCA	WithSecondM	1	1	1	5
ERBB2_FBXW7	ESCA	WOSecondM	1	18	2	78
CDKN2A_ERBB2	ESCA	WithSecondM	2	7	1	2
CDKN2A_ERBB2	ESCA	WOSecondM	13	48	2	26
CDKN2A_TP53	ESCA	WithSecondM	12	46	2	21
CDKN2A_TP53	ESCA	WOSecondM	3	9	1	7
CDKN2A_KMT2D	ESCA	WithSecondM	2	3	2	8
CDKN2A_KMT2D	ESCA	WOSecondM	13	52	1	20
CDKN2A_SMAD4	ESCA	WithSecondM	2	6	1	2
CDKN2A_SMAD4	ESCA	WOSecondM	13	49	2	26
CDKN2A_NFE2L2	ESCA	WithSecondM	2	5	1	4
CDKN2A_NFE2L2	ESCA	WOSecondM	13	50	2	24
CDKN2A_ARID1A	ESCA	WithSecondM	2	4	1	7
CDKN2A_ARID1A	ESCA	WOSecondM	13	51	2	21
CDKN2A_NOTCH1	ESCA	WithSecondM	1	3	1	4
CDKN2A_NOTCH1	ESCA	WOSecondM	14	52	2	24
CDKN2A_ZNF750	ESCA	WithSecondM	1	3	1	1
CDKN2A_ZNF750	ESCA	WOSecondM	14	52	2	27
CDKN2A_PIK3CA	ESCA	WithSecondM	2	4	1	7
CDKN2A_PIK3CA	ESCA	WOSecondM	13	51	2	21
CDKN2A_NSD1	ESCA	WithSecondM	1	2	1	4
CDKN2A_NSD1	ESCA	WOSecondM	14	53	2	24
CDKN2A_PTCH1	ESCA	WithSecondM	2	1	1	2
CDKN2A_PTCH1	ESCA	WOSecondM	13	54	2	26
CDKN2A_FBXW7	ESCA	WithSecondM	2	4	1	3
CDKN2A_FBXW7	ESCA	WOSecondM	13	51	2	25
TP53_ERBB2	ESCA	WithSecondM	7	1	3	1
TP53_ERBB2	ESCA	WOSecondM	65	13	57	7
TP53_CDKN2A	ESCA	WithSecondM	10	3	3	1
TP53_CDKN2A	ESCA	WOSecondM	62	11	57	7
TP53_KMT2D	ESCA	WithSecondM	8	2	4	4
TP53_KMT2D	ESCA	WOSecondM	64	12	56	4
TP53_SMAD4	ESCA	WithSecondM	7	3	3	1
TP53_SMAD4	ESCA	WOSecondM	65	11	57	7
TP53_NFE2L2	ESCA	WithSecondM	5	1	8	1
TP53_NFE2L2	ESCA	WOSecondM	67	13	52	7
TP53_ARID1A	ESCA	WithSecondM	6	2	2	2
TP53_ARID1A	ESCA	WOSecondM	66	12	58	6
TP53_NOTCH1	ESCA	WithSecondM	6	1	4	2
TP53_NOTCH1	ESCA	WOSecondM	66	13	56	6
TP53_ZNF750	ESCA	WithSecondM	4	1	8	1
TP53_ZNF750	ESCA	WOSecondM	68	13	52	7
TP53_PIK3CA	ESCA	WithSecondM	8	1	5	2
TP53_PIK3CA	ESCA	WOSecondM	64	13	55	6
TP53_NSD1	ESCA	WithSecondM	2	1	3	3
TP53_NSD1	ESCA	WOSecondM	70	13	57	5
TP53_PTCH1	ESCA	WithSecondM	4	1	1	1
TP53_PTCH1	ESCA	WOSecondM	68	13	59	7
TP53_FBXW7	ESCA	WithSecondM	3	1	6	1
TP53_FBXW7	ESCA	WOSecondM	69	13	54	7
KMT2D_ERBB2	ESCA	WithSecondM	1	3	1	4
KMT2D_ERBB2	ESCA	WOSecondM	2	33	10	84
KMT2D_CDKN2A	ESCA	WithSecondM	1	3	3	8
KMT2D_CDKN2A	ESCA	WOSecondM	2	33	8	80
KMT2D_TP53	ESCA	WithSecondM	1	31	6	79
KMT2D_TP53	ESCA	WOSecondM	2	5	5	9
KMT2D_SMAD4	ESCA	WithSecondM	1	2	1	9
KMT2D_SMAD4	ESCA	WOSecondM	2	34	10	79
KMT2D_NFE2L2	ESCA	WithSecondM	1	5	2	8
KMT2D_NFE2L2	ESCA	WOSecondM	2	31	9	80
KMT2D_ARID1A	ESCA	WithSecondM	1	1	2	7
KMT2D_ARID1A	ESCA	WOSecondM	2	35	9	81
KMT2D_NOTCH1	ESCA	WithSecondM	1	3	3	7
KMT2D_NOTCH1	ESCA	WOSecondM	2	33	8	81
KMT2D_ZNF750	ESCA	WithSecondM	1	3	2	6
KMT2D_ZNF750	ESCA	WOSecondM	2	33	9	82
KMT2D_PIK3CA	ESCA	WithSecondM	1	4	3	9
KMT2D_PIK3CA	ESCA	WOSecondM	2	32	8	79
