Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
PDGFRA_TP53	GBM	WithSecondM	3	12	1	33
PDGFRA_TP53	GBM	WOSecondM	4	28	2	133
PDGFRA_PIK3R1	GBM	WithSecondM	1	4	1	20
PDGFRA_PIK3R1	GBM	WOSecondM	6	36	2	146
PDGFRA_STAG2	GBM	WithSecondM	1	3	1	8
PDGFRA_STAG2	GBM	WOSecondM	6	37	2	158
PDGFRA_PIK3CA	GBM	WithSecondM	1	4	1	16
PDGFRA_PIK3CA	GBM	WOSecondM	6	36	2	150
PDGFRA_IDH1	GBM	WithSecondM	1	1	1	7
PDGFRA_IDH1	GBM	WOSecondM	6	39	2	159
PDGFRA_EGFR	GBM	WithSecondM	1	4	2	33
PDGFRA_EGFR	GBM	WOSecondM	6	36	1	133
PDGFRA_RB1	GBM	WithSecondM	1	3	1	13
PDGFRA_RB1	GBM	WOSecondM	6	37	2	153
PDGFRA_SPTA1	GBM	WithSecondM	2	6	1	10
PDGFRA_SPTA1	GBM	WOSecondM	5	34	2	156
PDGFRA_PTEN	GBM	WithSecondM	1	15	1	45
PDGFRA_PTEN	GBM	WOSecondM	6	25	2	121
PDGFRA_BRAF	GBM	WithSecondM	1	2	1	1
PDGFRA_BRAF	GBM	WOSecondM	6	38	2	165
PDGFRA_NF1	GBM	WithSecondM	1	3	1	16
PDGFRA_NF1	GBM	WOSecondM	6	37	2	150
PDGFRA_TCF12	GBM	WithSecondM	1	1	1	2
PDGFRA_TCF12	GBM	WOSecondM	6	39	2	164
PDGFRA_ATRX	GBM	WithSecondM	1	2	1	8
PDGFRA_ATRX	GBM	WOSecondM	6	38	2	158
PDGFRA_LZTR1	GBM	WithSecondM	2	3	1	3
PDGFRA_LZTR1	GBM	WOSecondM	5	37	2	163
TP53_PDGFRA	GBM	WithSecondM	2	1	2	5
TP53_PDGFRA	GBM	WOSecondM	6	9	26	146
TP53_PIK3R1	GBM	WithSecondM	1	1	5	17
TP53_PIK3R1	GBM	WOSecondM	7	9	23	134
TP53_STAG2	GBM	WithSecondM	2	3	1	7
TP53_STAG2	GBM	WOSecondM	6	7	27	144
TP53_PIK3CA	GBM	WithSecondM	2	2	4	13
TP53_PIK3CA	GBM	WOSecondM	6	8	24	138
TP53_IDH1	GBM	WithSecondM	2	1	5	1
TP53_IDH1	GBM	WOSecondM	6	9	23	150
TP53_EGFR	GBM	WithSecondM	2	1	4	36
TP53_EGFR	GBM	WOSecondM	6	9	24	115
TP53_RB1	GBM	WithSecondM	2	1	6	6
TP53_RB1	GBM	WOSecondM	6	9	22	145
TP53_SPTA1	GBM	WithSecondM	1	2	5	10
TP53_SPTA1	GBM	WOSecondM	7	8	23	141
TP53_PTEN	GBM	WithSecondM	3	2	10	40
TP53_PTEN	GBM	WOSecondM	5	8	18	111
TP53_BRAF	GBM	WithSecondM	1	1	1	2
TP53_BRAF	GBM	WOSecondM	7	9	27	149
TP53_NF1	GBM	WithSecondM	1	2	2	12
TP53_NF1	GBM	WOSecondM	7	8	26	139
TP53_TCF12	GBM	WithSecondM	1	1	1	1
TP53_TCF12	GBM	WOSecondM	7	9	27	150
TP53_ATRX	GBM	WithSecondM	2	1	6	3
TP53_ATRX	GBM	WOSecondM	6	9	22	148
TP53_LZTR1	GBM	WithSecondM	1	1	1	5
TP53_LZTR1	GBM	WOSecondM	7	9	27	146
PIK3R1_PDGFRA	GBM	WithSecondM	1	1	1	5
PIK3R1_PDGFRA	GBM	WOSecondM	1	15	22	166
PIK3R1_TP53	GBM	WithSecondM	1	6	6	32
PIK3R1_TP53	GBM	WOSecondM	1	10	17	139
PIK3R1_STAG2	GBM	WithSecondM	1	1	2	9
PIK3R1_STAG2	GBM	WOSecondM	1	15	21	162
PIK3R1_PIK3CA	GBM	WithSecondM	1	1	1	18
PIK3R1_PIK3CA	GBM	WOSecondM	1	15	22	153
PIK3R1_IDH1	GBM	WithSecondM	1	1	3	5
PIK3R1_IDH1	GBM	WOSecondM	1	15	20	166
PIK3R1_EGFR	GBM	WithSecondM	1	2	6	35
PIK3R1_EGFR	GBM	WOSecondM	1	14	17	136
PIK3R1_RB1	GBM	WithSecondM	1	3	3	13
PIK3R1_RB1	GBM	WOSecondM	1	13	20	158
PIK3R1_SPTA1	GBM	WithSecondM	1	3	3	11
PIK3R1_SPTA1	GBM	WOSecondM	1	13	20	160
PIK3R1_PTEN	GBM	WithSecondM	1	6	9	46
PIK3R1_PTEN	GBM	WOSecondM	1	10	14	125
PIK3R1_BRAF	GBM	WithSecondM	1	1	1	2
PIK3R1_BRAF	GBM	WOSecondM	1	15	22	169
PIK3R1_NF1	GBM	WithSecondM	1	1	3	13
PIK3R1_NF1	GBM	WOSecondM	1	15	20	158
PIK3R1_TCF12	GBM	WithSecondM	1	1	1	3
PIK3R1_TCF12	GBM	WOSecondM	1	15	22	168
PIK3R1_ATRX	GBM	WithSecondM	1	2	4	5
PIK3R1_ATRX	GBM	WOSecondM	1	14	19	166
PIK3R1_LZTR1	GBM	WithSecondM	1	2	3	3
PIK3R1_LZTR1	GBM	WOSecondM	1	14	20	168
STAG2_PDGFRA	GBM	WithSecondM	1	1	1	4
STAG2_PDGFRA	GBM	WOSecondM	1	8	9	154
STAG2_TP53	GBM	WithSecondM	1	3	2	31
STAG2_TP53	GBM	WOSecondM	1	6	8	127
STAG2_PIK3R1	GBM	WithSecondM	1	1	2	17
STAG2_PIK3R1	GBM	WOSecondM	1	8	8	141
STAG2_PIK3CA	GBM	WithSecondM	1	1	1	16
STAG2_PIK3CA	GBM	WOSecondM	1	8	9	142
STAG2_IDH1	GBM	WithSecondM	1	1	1	5
STAG2_IDH1	GBM	WOSecondM	1	8	9	153
STAG2_EGFR	GBM	WithSecondM	1	2	4	30
STAG2_EGFR	GBM	WOSecondM	1	7	6	128
STAG2_RB1	GBM	WithSecondM	1	3	1	9
STAG2_RB1	GBM	WOSecondM	1	6	9	149
STAG2_SPTA1	GBM	WithSecondM	1	2	1	16
STAG2_SPTA1	GBM	WOSecondM	1	7	9	142
STAG2_PTEN	GBM	WithSecondM	1	3	6	41
STAG2_PTEN	GBM	WOSecondM	1	6	4	117
STAG2_BRAF	GBM	WithSecondM	1	1	1	2
STAG2_BRAF	GBM	WOSecondM	1	8	9	156
STAG2_NF1	GBM	WithSecondM	1	1	3	14
STAG2_NF1	GBM	WOSecondM	1	8	7	144
STAG2_TCF12	GBM	WithSecondM	1	1	1	3
STAG2_TCF12	GBM	WOSecondM	1	8	9	155
STAG2_ATRX	GBM	WithSecondM	1	2	1	6
STAG2_ATRX	GBM	WOSecondM	1	7	9	152
STAG2_LZTR1	GBM	WithSecondM	1	2	1	3
STAG2_LZTR1	GBM	WOSecondM	1	7	9	155
PIK3CA_PDGFRA	GBM	WithSecondM	1	2	1	6
PIK3CA_PDGFRA	GBM	WOSecondM	3	33	18	156
PIK3CA_TP53	GBM	WithSecondM	1	15	7	29
PIK3CA_TP53	GBM	WOSecondM	3	20	12	133
PIK3CA_PIK3R1	GBM	WithSecondM	1	5	2	18
PIK3CA_PIK3R1	GBM	WOSecondM	3	30	17	144
PIK3CA_STAG2	GBM	WithSecondM	1	4	1	7
PIK3CA_STAG2	GBM	WOSecondM	3	31	18	155
PIK3CA_IDH1	GBM	WithSecondM	1	3	1	6
PIK3CA_IDH1	GBM	WOSecondM	3	32	18	156
PIK3CA_EGFR	GBM	WithSecondM	2	7	5	29
PIK3CA_EGFR	GBM	WOSecondM	2	28	14	133
PIK3CA_RB1	GBM	WithSecondM	1	2	3	14
PIK3CA_RB1	GBM	WOSecondM	3	33	16	148
PIK3CA_SPTA1	GBM	WithSecondM	1	4	3	12
PIK3CA_SPTA1	GBM	WOSecondM	3	31	16	150
PIK3CA_PTEN	GBM	WithSecondM	1	12	3	49
PIK3CA_PTEN	GBM	WOSecondM	3	23	16	113
PIK3CA_BRAF	GBM	WithSecondM	1	1	2	1
PIK3CA_BRAF	GBM	WOSecondM	3	34	17	161
PIK3CA_NF1	GBM	WithSecondM	2	2	1	15
PIK3CA_NF1	GBM	WOSecondM	2	33	18	147
PIK3CA_TCF12	GBM	WithSecondM	1	1	1	3
PIK3CA_TCF12	GBM	WOSecondM	3	34	18	159
PIK3CA_ATRX	GBM	WithSecondM	1	3	1	8
PIK3CA_ATRX	GBM	WOSecondM	3	32	18	154
PIK3CA_LZTR1	GBM	WithSecondM	1	1	1	6
PIK3CA_LZTR1	GBM	WOSecondM	3	34	18	156
IDH1_PDGFRA	GBM	WithSecondM	1	2	1	5
IDH1_PDGFRA	GBM	WOSecondM	1	9	8	190
IDH1_TP53	GBM	WithSecondM	1	5	8	35
IDH1_TP53	GBM	WOSecondM	1	6	1	160
IDH1_PIK3R1	GBM	WithSecondM	1	1	3	22
IDH1_PIK3R1	GBM	WOSecondM	1	10	6	173
IDH1_STAG2	GBM	WithSecondM	1	1	1	10
IDH1_STAG2	GBM	WOSecondM	1	10	8	185
IDH1_PIK3CA	GBM	WithSecondM	1	1	1	20
IDH1_PIK3CA	GBM	WOSecondM	1	10	8	175
IDH1_EGFR	GBM	WithSecondM	1	1	2	40
IDH1_EGFR	GBM	WOSecondM	1	10	7	155
IDH1_RB1	GBM	WithSecondM	1	1	1	16
IDH1_RB1	GBM	WOSecondM	1	10	8	179
IDH1_SPTA1	GBM	WithSecondM	1	1	1	17
IDH1_SPTA1	GBM	WOSecondM	1	10	8	178
IDH1_PTEN	GBM	WithSecondM	1	4	2	55
IDH1_PTEN	GBM	WOSecondM	1	7	7	140
IDH1_BRAF	GBM	WithSecondM	1	1	1	2
IDH1_BRAF	GBM	WOSecondM	1	10	8	193
IDH1_NF1	GBM	WithSecondM	1	1	1	18
IDH1_NF1	GBM	WOSecondM	1	10	8	177
IDH1_TCF12	GBM	WithSecondM	1	1	1	3
IDH1_TCF12	GBM	WOSecondM	1	10	8	192
IDH1_ATRX	GBM	WithSecondM	1	1	7	4
IDH1_ATRX	GBM	WOSecondM	1	10	2	191
IDH1_LZTR1	GBM	WithSecondM	1	2	1	5
IDH1_LZTR1	GBM	WOSecondM	1	9	8	190
EGFR_PDGFRA	GBM	WithSecondM	2	4	1	3
EGFR_PDGFRA	GBM	WOSecondM	40	162	1	16
EGFR_TP53	GBM	WithSecondM	6	37	1	10
EGFR_TP53	GBM	WOSecondM	36	129	1	9
EGFR_PIK3R1	GBM	WithSecondM	6	17	1	3
EGFR_PIK3R1	GBM	WOSecondM	36	149	1	16
EGFR_STAG2	GBM	WithSecondM	4	6	1	2
EGFR_STAG2	GBM	WOSecondM	38	160	1	17
EGFR_PIK3CA	GBM	WithSecondM	6	14	1	2
EGFR_PIK3CA	GBM	WOSecondM	36	152	1	17
EGFR_IDH1	GBM	WithSecondM	2	4	1	4
EGFR_IDH1	GBM	WOSecondM	40	162	1	15
EGFR_RB1	GBM	WithSecondM	4	12	1	3
EGFR_RB1	GBM	WOSecondM	38	154	1	16
EGFR_SPTA1	GBM	WithSecondM	6	13	1	1
EGFR_SPTA1	GBM	WOSecondM	36	153	1	18
EGFR_PTEN	GBM	WithSecondM	15	44	1	5
EGFR_PTEN	GBM	WOSecondM	27	122	1	14
EGFR_BRAF	GBM	WithSecondM	1	2	1	1
EGFR_BRAF	GBM	WOSecondM	41	164	1	18
