Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
PDGFRA_TP53	GBM	WithSecondM	1	6	1	33
PDGFRA_TP53	GBM	WOSecondM	1	10	1	134
PDGFRA_PIK3R1	GBM	WithSecondM	1	2	1	19
PDGFRA_PIK3R1	GBM	WOSecondM	1	14	1	148
PDGFRA_STAG2	GBM	WithSecondM	1	1	1	7
PDGFRA_STAG2	GBM	WOSecondM	1	15	1	160
PDGFRA_PIK3CA	GBM	WithSecondM	1	2	1	18
PDGFRA_PIK3CA	GBM	WOSecondM	1	14	1	149
PDGFRA_IDH1	GBM	WithSecondM	1	2	1	7
PDGFRA_IDH1	GBM	WOSecondM	1	14	1	160
PDGFRA_EGFR	GBM	WithSecondM	1	5	1	32
PDGFRA_EGFR	GBM	WOSecondM	1	11	1	135
PDGFRA_RB1	GBM	WithSecondM	1	3	1	13
PDGFRA_RB1	GBM	WOSecondM	1	13	1	154
PDGFRA_SPTA1	GBM	WithSecondM	1	1	1	3
PDGFRA_SPTA1	GBM	WOSecondM	1	15	1	164
PDGFRA_PTEN	GBM	WithSecondM	1	4	1	41
PDGFRA_PTEN	GBM	WOSecondM	1	12	1	126
PDGFRA_BRAF	GBM	WithSecondM	1	1	1	1
PDGFRA_BRAF	GBM	WOSecondM	1	15	1	166
PDGFRA_NF1	GBM	WithSecondM	1	1	1	15
PDGFRA_NF1	GBM	WOSecondM	1	15	1	152
PDGFRA_TCF12	GBM	WithSecondM	1	2	1	2
PDGFRA_TCF12	GBM	WOSecondM	1	14	1	165
PDGFRA_ATRX	GBM	WithSecondM	1	2	1	6
PDGFRA_ATRX	GBM	WOSecondM	1	14	1	161
PDGFRA_LZTR1	GBM	WithSecondM	1	1	1	1
PDGFRA_LZTR1	GBM	WOSecondM	1	15	1	166
TP53_PDGFRA	GBM	WithSecondM	1	1	1	2
TP53_PDGFRA	GBM	WOSecondM	19	15	27	149
TP53_PIK3R1	GBM	WithSecondM	3	2	5	16
TP53_PIK3R1	GBM	WOSecondM	17	14	23	135
TP53_STAG2	GBM	WithSecondM	1	1	1	7
TP53_STAG2	GBM	WOSecondM	19	15	27	144
TP53_PIK3CA	GBM	WithSecondM	3	1	4	14
TP53_PIK3CA	GBM	WOSecondM	17	15	24	137
TP53_IDH1	GBM	WithSecondM	3	1	5	1
TP53_IDH1	GBM	WOSecondM	17	15	23	150
TP53_EGFR	GBM	WithSecondM	2	1	4	34
TP53_EGFR	GBM	WOSecondM	18	15	24	117
TP53_RB1	GBM	WithSecondM	5	2	6	6
TP53_RB1	GBM	WOSecondM	15	14	22	145
TP53_SPTA1	GBM	WithSecondM	2	1	3	1
TP53_SPTA1	GBM	WOSecondM	18	15	25	150
TP53_PTEN	GBM	WithSecondM	8	2	9	38
TP53_PTEN	GBM	WOSecondM	12	14	19	113
TP53_BRAF	GBM	WithSecondM	1	1	1	2
TP53_BRAF	GBM	WOSecondM	19	15	27	149
TP53_NF1	GBM	WithSecondM	3	2	2	12
TP53_NF1	GBM	WOSecondM	17	14	26	139
TP53_TCF12	GBM	WithSecondM	2	2	1	1
TP53_TCF12	GBM	WOSecondM	18	14	27	150
TP53_ATRX	GBM	WithSecondM	2	1	5	1
TP53_ATRX	GBM	WOSecondM	18	15	23	150
TP53_LZTR1	GBM	WithSecondM	1	1	1	2
TP53_LZTR1	GBM	WOSecondM	19	15	27	149
PIK3R1_PDGFRA	GBM	WithSecondM	1	1	1	3
PIK3R1_PDGFRA	GBM	WOSecondM	2	16	21	169
PIK3R1_TP53	GBM	WithSecondM	1	9	6	32
PIK3R1_TP53	GBM	WOSecondM	2	8	16	140
PIK3R1_STAG2	GBM	WithSecondM	1	1	2	9
PIK3R1_STAG2	GBM	WOSecondM	2	16	20	163
PIK3R1_PIK3CA	GBM	WithSecondM	2	2	1	19
PIK3R1_PIK3CA	GBM	WOSecondM	1	15	21	153
PIK3R1_IDH1	GBM	WithSecondM	1	2	3	5
PIK3R1_IDH1	GBM	WOSecondM	2	15	19	167
PIK3R1_EGFR	GBM	WithSecondM	1	1	5	34
