Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
HLA-B_HLA-A	HNSC	WithSecondM	1	3	2	10
HLA-B_HLA-A	HNSC	WOSecondM	1	90	11	317
HLA-B_HUWE1	HNSC	WithSecondM	1	2	1	6
HLA-B_HUWE1	HNSC	WOSecondM	1	91	12	321
HLA-B_EPHA2	HNSC	WithSecondM	1	5	1	10
HLA-B_EPHA2	HNSC	WOSecondM	1	88	12	317
HLA-B_KEAP1	HNSC	WithSecondM	1	4	1	3
HLA-B_KEAP1	HNSC	WOSecondM	1	89	12	324
HLA-B_NFE2L2	HNSC	WithSecondM	1	2	2	17
HLA-B_NFE2L2	HNSC	WOSecondM	1	91	11	310
HLA-B_MYH9	HNSC	WithSecondM	1	1	1	4
HLA-B_MYH9	HNSC	WOSecondM	1	92	12	323
HLA-B_RB1	HNSC	WithSecondM	1	3	2	10
HLA-B_RB1	HNSC	WOSecondM	1	90	11	317
HLA-B_FGFR3	HNSC	WithSecondM	1	2	2	5
HLA-B_FGFR3	HNSC	WOSecondM	1	91	11	322
HLA-B_MAPK1	HNSC	WithSecondM	1	3	2	6
HLA-B_MAPK1	HNSC	WOSecondM	1	90	11	321
HLA-B_KDM6A	HNSC	WithSecondM	1	4	1	9
HLA-B_KDM6A	HNSC	WOSecondM	1	89	12	318
HLA-B_AJUBA	HNSC	WithSecondM	1	5	1	16
HLA-B_AJUBA	HNSC	WOSecondM	1	88	12	311
HLA-B_HRAS	HNSC	WithSecondM	1	4	5	24
HLA-B_HRAS	HNSC	WOSecondM	1	89	8	303
HLA-B_FBXW7	HNSC	WithSecondM	1	4	1	24
HLA-B_FBXW7	HNSC	WOSecondM	1	89	12	303
HLA-B_TGFBR2	HNSC	WithSecondM	1	2	2	14
HLA-B_TGFBR2	HNSC	WOSecondM	1	91	11	313
HLA-B_CDKN2A	HNSC	WithSecondM	1	16	3	66
HLA-B_CDKN2A	HNSC	WOSecondM	1	77	10	261
HLA-B_KMT2D	HNSC	WithSecondM	1	11	3	32
HLA-B_KMT2D	HNSC	WOSecondM	1	82	10	295
HLA-B_ARID2	HNSC	WithSecondM	1	1	1	9
HLA-B_ARID2	HNSC	WOSecondM	1	92	12	318
HLA-B_ZNF750	HNSC	WithSecondM	1	3	3	7
HLA-B_ZNF750	HNSC	WOSecondM	1	90	10	320
HLA-B_RHOA	HNSC	WithSecondM	1	2	1	7
HLA-B_RHOA	HNSC	WOSecondM	1	91	12	320
HLA-B_EP300	HNSC	WithSecondM	1	8	3	18
HLA-B_EP300	HNSC	WOSecondM	1	85	10	309
HLA-B_RASA1	HNSC	WithSecondM	1	3	2	7
HLA-B_RASA1	HNSC	WOSecondM	1	90	11	320
HLA-B_TP53	HNSC	WithSecondM	1	71	7	207
HLA-B_TP53	HNSC	WOSecondM	1	22	6	120
HLA-B_NOTCH1	HNSC	WithSecondM	1	8	4	46
HLA-B_NOTCH1	HNSC	WOSecondM	1	85	9	281
HLA-B_CASP8	HNSC	WithSecondM	1	6	4	32
HLA-B_CASP8	HNSC	WOSecondM	1	87	9	295
HLA-B_PTEN	HNSC	WithSecondM	1	3	1	9
HLA-B_PTEN	HNSC	WOSecondM	1	90	12	318
HLA-B_FAT1	HNSC	WithSecondM	1	14	4	72
HLA-B_FAT1	HNSC	WOSecondM	1	79	9	255
HLA-B_CYLD	HNSC	WithSecondM	1	1	1	6
HLA-B_CYLD	HNSC	WOSecondM	1	92	12	321
HLA-B_RAC1	HNSC	WithSecondM	1	1	4	7
HLA-B_RAC1	HNSC	WOSecondM	1	92	9	320
HLA-B_PIK3CA	HNSC	WithSecondM	1	13	1	59
HLA-B_PIK3CA	HNSC	WOSecondM	1	80	12	268
HLA-B_NSD1	HNSC	WithSecondM	1	14	1	28
HLA-B_NSD1	HNSC	WOSecondM	1	79	12	299
HLA-B_FLNA	HNSC	WithSecondM	1	2	1	5
HLA-B_FLNA	HNSC	WOSecondM	1	91	12	322
HLA-B_CUL3	HNSC	WithSecondM	1	3	1	4
HLA-B_CUL3	HNSC	WOSecondM	1	90	12	323
HLA-A_HLA-B	HNSC	WithSecondM	1	1	2	11
HLA-A_HLA-B	HNSC	WOSecondM	3	87	10	321
HLA-A_HUWE1	HNSC	WithSecondM	1	2	1	6
HLA-A_HUWE1	HNSC	WOSecondM	3	86	11	326
HLA-A_EPHA2	HNSC	WithSecondM	1	5	2	9
HLA-A_EPHA2	HNSC	WOSecondM	3	83	10	323
HLA-A_KEAP1	HNSC	WithSecondM	1	4	1	3
HLA-A_KEAP1	HNSC	WOSecondM	3	84	11	329
HLA-A_NFE2L2	HNSC	WithSecondM	1	2	1	18
HLA-A_NFE2L2	HNSC	WOSecondM	3	86	11	314
HLA-A_MYH9	HNSC	WithSecondM	1	1	1	4
HLA-A_MYH9	HNSC	WOSecondM	3	87	11	328
HLA-A_RB1	HNSC	WithSecondM	1	3	2	10
HLA-A_RB1	HNSC	WOSecondM	3	85	10	322
HLA-A_FGFR3	HNSC	WithSecondM	1	2	1	6
HLA-A_FGFR3	HNSC	WOSecondM	3	86	11	326
HLA-A_MAPK1	HNSC	WithSecondM	1	3	1	7
HLA-A_MAPK1	HNSC	WOSecondM	3	85	11	325
HLA-A_KDM6A	HNSC	WithSecondM	1	4	1	9
HLA-A_KDM6A	HNSC	WOSecondM	3	84	11	323
HLA-A_AJUBA	HNSC	WithSecondM	1	5	2	15
HLA-A_AJUBA	HNSC	WOSecondM	3	83	10	317
HLA-A_HRAS	HNSC	WithSecondM	1	4	6	23
HLA-A_HRAS	HNSC	WOSecondM	3	84	6	309
HLA-A_FBXW7	HNSC	WithSecondM	1	3	1	24
HLA-A_FBXW7	HNSC	WOSecondM	3	85	11	308
HLA-A_TGFBR2	HNSC	WithSecondM	1	2	4	12
HLA-A_TGFBR2	HNSC	WOSecondM	3	86	8	320
HLA-A_CDKN2A	HNSC	WithSecondM	1	15	4	66
