Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HLA-B_HLA-A	HNSC	WithSecondM	1	4	5	10
HLA-B_HLA-A	HNSC	WOSecondM	3	80	13	312
HLA-B_HUWE1	HNSC	WithSecondM	1	7	7	28
HLA-B_HUWE1	HNSC	WOSecondM	3	77	11	294
HLA-B_EPHA2	HNSC	WithSecondM	1	3	3	13
HLA-B_EPHA2	HNSC	WOSecondM	3	81	15	309
HLA-B_KEAP1	HNSC	WithSecondM	2	7	2	10
HLA-B_KEAP1	HNSC	WOSecondM	2	77	16	312
HLA-B_NFE2L2	HNSC	WithSecondM	2	6	3	19
HLA-B_NFE2L2	HNSC	WOSecondM	2	78	15	303
HLA-B_MYH9	HNSC	WithSecondM	1	3	4	15
HLA-B_MYH9	HNSC	WOSecondM	3	81	14	307
HLA-B_RB1	HNSC	WithSecondM	1	2	2	11
HLA-B_RB1	HNSC	WOSecondM	3	82	16	311
HLA-B_FGFR3	HNSC	WithSecondM	1	2	2	7
HLA-B_FGFR3	HNSC	WOSecondM	3	82	16	315
HLA-B_MAPK1	HNSC	WithSecondM	1	2	2	6
HLA-B_MAPK1	HNSC	WOSecondM	3	82	16	316
HLA-B_KDM6A	HNSC	WithSecondM	1	5	1	10
HLA-B_KDM6A	HNSC	WOSecondM	3	79	17	312
HLA-B_AJUBA	HNSC	WithSecondM	2	6	3	17
HLA-B_AJUBA	HNSC	WOSecondM	2	78	15	305
HLA-B_HRAS	HNSC	WithSecondM	1	1	7	22
HLA-B_HRAS	HNSC	WOSecondM	3	83	11	300
HLA-B_FBXW7	HNSC	WithSecondM	1	5	1	26
HLA-B_FBXW7	HNSC	WOSecondM	3	79	17	296
HLA-B_TGFBR2	HNSC	WithSecondM	1	2	4	18
HLA-B_TGFBR2	HNSC	WOSecondM	3	82	14	304
HLA-B_CDKN2A	HNSC	WithSecondM	1	17	4	67
HLA-B_CDKN2A	HNSC	WOSecondM	3	67	14	255
HLA-B_KMT2D	HNSC	WithSecondM	1	11	3	46
HLA-B_KMT2D	HNSC	WOSecondM	3	73	15	276
HLA-B_ARID2	HNSC	WithSecondM	1	4	2	12
HLA-B_ARID2	HNSC	WOSecondM	3	80	16	310
HLA-B_ZNF750	HNSC	WithSecondM	1	5	3	8
HLA-B_ZNF750	HNSC	WOSecondM	3	79	15	314
HLA-B_RHOA	HNSC	WithSecondM	1	1	1	9
HLA-B_RHOA	HNSC	WOSecondM	3	83	17	313
HLA-B_EP300	HNSC	WithSecondM	1	7	4	20
HLA-B_EP300	HNSC	WOSecondM	3	77	14	302
HLA-B_RASA1	HNSC	WithSecondM	1	3	2	10
HLA-B_RASA1	HNSC	WOSecondM	3	81	16	312
HLA-B_TP53	HNSC	WithSecondM	2	62	9	205
HLA-B_TP53	HNSC	WOSecondM	2	22	9	117
HLA-B_NOTCH1	HNSC	WithSecondM	1	11	9	54
HLA-B_NOTCH1	HNSC	WOSecondM	3	73	9	268
HLA-B_CASP8	HNSC	WithSecondM	1	2	9	35
HLA-B_CASP8	HNSC	WOSecondM	3	82	9	287
HLA-B_PTEN	HNSC	WithSecondM	1	2	1	9
HLA-B_PTEN	HNSC	WOSecondM	3	82	17	313
HLA-B_FAT1	HNSC	WithSecondM	2	16	8	75
HLA-B_FAT1	HNSC	WOSecondM	2	68	10	247
HLA-B_CYLD	HNSC	WithSecondM	1	4	1	9
HLA-B_CYLD	HNSC	WOSecondM	3	80	17	313
HLA-B_RAC1	HNSC	WithSecondM	1	4	5	7
HLA-B_RAC1	HNSC	WOSecondM	3	80	13	315
HLA-B_PIK3CA	HNSC	WithSecondM	1	11	1	65
HLA-B_PIK3CA	HNSC	WOSecondM	3	73	17	257
HLA-B_NSD1	HNSC	WithSecondM	2	8	2	35
HLA-B_NSD1	HNSC	WOSecondM	2	76	16	287
HLA-B_FLNA	HNSC	WithSecondM	1	3	3	11
HLA-B_FLNA	HNSC	WOSecondM	3	81	15	311
HLA-B_CUL3	HNSC	WithSecondM	1	4	1	10
HLA-B_CUL3	HNSC	WOSecondM	3	80	17	312
HLA-A_HLA-B	HNSC	WithSecondM	1	3	5	13
HLA-A_HLA-B	HNSC	WOSecondM	4	79	10	316
HLA-A_HUWE1	HNSC	WithSecondM	1	7	5	30
HLA-A_HUWE1	HNSC	WOSecondM	4	75	10	299
HLA-A_EPHA2	HNSC	WithSecondM	2	2	2	14
HLA-A_EPHA2	HNSC	WOSecondM	3	80	13	315
HLA-A_KEAP1	HNSC	WithSecondM	1	8	2	10
HLA-A_KEAP1	HNSC	WOSecondM	4	74	13	319
HLA-A_NFE2L2	HNSC	WithSecondM	1	7	2	20
HLA-A_NFE2L2	HNSC	WOSecondM	4	75	13	309
HLA-A_MYH9	HNSC	WithSecondM	1	3	2	17
HLA-A_MYH9	HNSC	WOSecondM	4	79	13	312
