Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
TP53_KIF1A	KIRC	WithSecondM	1	2	1	5
TP53_KIF1A	KIRC	WOSecondM	1	26	8	420
TP53_PTEN	KIRC	WithSecondM	1	2	2	8
TP53_PTEN	KIRC	WOSecondM	1	26	7	417
TP53_PIK3CA	KIRC	WithSecondM	1	1	1	7
TP53_PIK3CA	KIRC	WOSecondM	1	27	8	418
TP53_TCEB1	KIRC	WithSecondM	1	1	1	3
TP53_TCEB1	KIRC	WOSecondM	1	27	8	422
TP53_ATM	KIRC	WithSecondM	1	1	1	10
TP53_ATM	KIRC	WOSecondM	1	27	8	415
TP53_VHL	KIRC	WithSecondM	1	6	2	146
TP53_VHL	KIRC	WOSecondM	1	22	7	279
TP53_MTOR	KIRC	WithSecondM	1	3	2	22
TP53_MTOR	KIRC	WOSecondM	1	25	7	403
TP53_PBRM1	KIRC	WithSecondM	1	4	1	119
TP53_PBRM1	KIRC	WOSecondM	1	24	8	306
TP53_BAP1	KIRC	WithSecondM	1	5	1	30
TP53_BAP1	KIRC	WOSecondM	1	23	8	395
TP53_SETD2	KIRC	WithSecondM	1	1	3	34
TP53_SETD2	KIRC	WOSecondM	1	27	6	391
TP53_KDM5C	KIRC	WithSecondM	1	1	1	17
TP53_KDM5C	KIRC	WOSecondM	1	27	8	408
KIF1A_TP53	KIRC	WithSecondM	1	2	1	9
KIF1A_TP53	KIRC	WOSecondM	1	72	6	377
KIF1A_PTEN	KIRC	WithSecondM	1	1	1	13
KIF1A_PTEN	KIRC	WOSecondM	1	73	6	373
KIF1A_PIK3CA	KIRC	WithSecondM	1	2	1	4
KIF1A_PIK3CA	KIRC	WOSecondM	1	72	6	382
KIF1A_TCEB1	KIRC	WithSecondM	1	1	1	3
KIF1A_TCEB1	KIRC	WOSecondM	1	73	6	383
KIF1A_ATM	KIRC	WithSecondM	1	1	2	9
KIF1A_ATM	KIRC	WOSecondM	1	73	5	377
KIF1A_VHL	KIRC	WithSecondM	1	25	3	124
KIF1A_VHL	KIRC	WOSecondM	1	49	4	262
KIF1A_MTOR	KIRC	WithSecondM	1	6	2	17
KIF1A_MTOR	KIRC	WOSecondM	1	68	5	369
KIF1A_PBRM1	KIRC	WithSecondM	1	15	3	108
KIF1A_PBRM1	KIRC	WOSecondM	1	59	4	278
KIF1A_BAP1	KIRC	WithSecondM	1	6	2	25
KIF1A_BAP1	KIRC	WOSecondM	1	68	5	361
KIF1A_SETD2	KIRC	WithSecondM	1	13	2	29
KIF1A_SETD2	KIRC	WOSecondM	1	61	5	357
KIF1A_KDM5C	KIRC	WithSecondM	1	1	1	15
KIF1A_KDM5C	KIRC	WOSecondM	1	73	6	371
PTEN_TP53	KIRC	WithSecondM	1	1	2	7
PTEN_TP53	KIRC	WOSecondM	1	12	5	393
PTEN_KIF1A	KIRC	WithSecondM	1	2	1	3
PTEN_KIF1A	KIRC	WOSecondM	1	11	6	397
PTEN_PIK3CA	KIRC	WithSecondM	1	1	1	5
PTEN_PIK3CA	KIRC	WOSecondM	1	12	6	395
PTEN_TCEB1	KIRC	WithSecondM	1	1	1	3
PTEN_TCEB1	KIRC	WOSecondM	1	12	6	397
PTEN_ATM	KIRC	WithSecondM	1	1	1	9
PTEN_ATM	KIRC	WOSecondM	1	12	6	391
PTEN_VHL	KIRC	WithSecondM	1	4	5	129
PTEN_VHL	KIRC	WOSecondM	1	9	2	271
PTEN_MTOR	KIRC	WithSecondM	1	4	2	19
PTEN_MTOR	KIRC	WOSecondM	1	9	5	381
PTEN_PBRM1	KIRC	WithSecondM	1	2	2	102
PTEN_PBRM1	KIRC	WOSecondM	1	11	5	298
PTEN_BAP1	KIRC	WithSecondM	1	2	1	26
PTEN_BAP1	KIRC	WOSecondM	1	11	6	374
PTEN_SETD2	KIRC	WithSecondM	1	1	2	31
PTEN_SETD2	KIRC	WOSecondM	1	12	5	369
PTEN_KDM5C	KIRC	WithSecondM	1	1	2	12
PTEN_KDM5C	KIRC	WOSecondM	1	12	5	388
PIK3CA_TP53	KIRC	WithSecondM	1	3	1	8
PIK3CA_TP53	KIRC	WOSecondM	3	84	4	355
PIK3CA_KIF1A	KIRC	WithSecondM	1	3	1	3
PIK3CA_KIF1A	KIRC	WOSecondM	3	84	4	360
PIK3CA_PTEN	KIRC	WithSecondM	1	2	1	11
PIK3CA_PTEN	KIRC	WOSecondM	3	85	4	352
PIK3CA_TCEB1	KIRC	WithSecondM	1	2	1	2
PIK3CA_TCEB1	KIRC	WOSecondM	3	85	4	361
PIK3CA_ATM	KIRC	WithSecondM	1	3	1	4
PIK3CA_ATM	KIRC	WOSecondM	3	84	4	359
PIK3CA_VHL	KIRC	WithSecondM	3	26	2	120
PIK3CA_VHL	KIRC	WOSecondM	1	61	3	243
PIK3CA_MTOR	KIRC	WithSecondM	1	6	1	16
PIK3CA_MTOR	KIRC	WOSecondM	3	81	4	347
PIK3CA_PBRM1	KIRC	WithSecondM	3	19	1	90
PIK3CA_PBRM1	KIRC	WOSecondM	1	68	4	273
PIK3CA_BAP1	KIRC	WithSecondM	1	10	1	23
PIK3CA_BAP1	KIRC	WOSecondM	3	77	4	340
PIK3CA_SETD2	KIRC	WithSecondM	1	15	2	27
PIK3CA_SETD2	KIRC	WOSecondM	3	72	3	336
PIK3CA_KDM5C	KIRC	WithSecondM	1	3	1	14
PIK3CA_KDM5C	KIRC	WOSecondM	3	84	4	349
TCEB1_TP53	KIRC	WithSecondM	1	3	1	8
TCEB1_TP53	KIRC	WOSecondM	1	63	1	373
TCEB1_KIF1A	KIRC	WithSecondM	1	3	1	3
TCEB1_KIF1A	KIRC	WOSecondM	1	63	1	378
TCEB1_PTEN	KIRC	WithSecondM	1	4	1	10
TCEB1_PTEN	KIRC	WOSecondM	1	62	1	371
TCEB1_PIK3CA	KIRC	WithSecondM	1	2	1	4
TCEB1_PIK3CA	KIRC	WOSecondM	1	64	1	377
TCEB1_ATM	KIRC	WithSecondM	1	2	1	8
TCEB1_ATM	KIRC	WOSecondM	1	64	1	373
TCEB1_VHL	KIRC	WithSecondM	1	25	1	121
TCEB1_VHL	KIRC	WOSecondM	1	41	1	260
TCEB1_MTOR	KIRC	WithSecondM	1	5	1	18
TCEB1_MTOR	KIRC	WOSecondM	1	61	1	363
TCEB1_PBRM1	KIRC	WithSecondM	1	16	1	101
TCEB1_PBRM1	KIRC	WOSecondM	1	50	1	280
TCEB1_BAP1	KIRC	WithSecondM	1	9	1	26
TCEB1_BAP1	KIRC	WOSecondM	1	57	1	355
TCEB1_SETD2	KIRC	WithSecondM	1	11	1	33
TCEB1_SETD2	KIRC	WOSecondM	1	55	1	348
TCEB1_KDM5C	KIRC	WithSecondM	1	5	1	12
TCEB1_KDM5C	KIRC	WOSecondM	1	61	1	369
ATM_TP53	KIRC	WithSecondM	1	3	1	9
ATM_TP53	KIRC	WOSecondM	1	30	10	432
ATM_KIF1A	KIRC	WithSecondM	1	1	2	5
ATM_KIF1A	KIRC	WOSecondM	1	32	9	436
ATM_PTEN	KIRC	WithSecondM	1	1	1	11
ATM_PTEN	KIRC	WOSecondM	1	32	10	430
ATM_PIK3CA	KIRC	WithSecondM	1	1	1	7
ATM_PIK3CA	KIRC	WOSecondM	1	32	10	434
ATM_TCEB1	KIRC	WithSecondM	1	1	1	3
