Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
SMARCB1_PIK3CA	KIRP	WithSecondM	1	1	1	4
SMARCB1_PIK3CA	KIRP	WOSecondM	1	6	5	206
SMARCB1_MET	KIRP	WithSecondM	1	1	1	18
SMARCB1_MET	KIRP	WOSecondM	1	6	5	192
SMARCB1_KDM6A	KIRP	WithSecondM	1	1	1	8
SMARCB1_KDM6A	KIRP	WOSecondM	1	6	5	202
SMARCB1_NF2	KIRP	WithSecondM	1	1	1	1
SMARCB1_NF2	KIRP	WOSecondM	1	6	5	209
SMARCB1_BAP1	KIRP	WithSecondM	1	2	1	7
SMARCB1_BAP1	KIRP	WOSecondM	1	5	5	203
SMARCB1_SETD2	KIRP	WithSecondM	1	1	2	4
SMARCB1_SETD2	KIRP	WOSecondM	1	6	4	206
SMARCB1_KRAS	KIRP	WithSecondM	1	1	1	6
SMARCB1_KRAS	KIRP	WOSecondM	1	6	5	204
SMARCB1_CUL3	KIRP	WithSecondM	1	1	1	6
SMARCB1_CUL3	KIRP	WOSecondM	1	6	5	204
PIK3CA_SMARCB1	KIRP	WithSecondM	1	4	1	4
PIK3CA_SMARCB1	KIRP	WOSecondM	1	94	4	170
PIK3CA_MET	KIRP	WithSecondM	1	8	1	12
PIK3CA_MET	KIRP	WOSecondM	1	90	4	162
PIK3CA_KDM6A	KIRP	WithSecondM	1	4	1	5
PIK3CA_KDM6A	KIRP	WOSecondM	1	94	4	169
PIK3CA_NF2	KIRP	WithSecondM	1	2	1	7
PIK3CA_NF2	KIRP	WOSecondM	1	96	4	167
PIK3CA_BAP1	KIRP	WithSecondM	1	3	1	7
PIK3CA_BAP1	KIRP	WOSecondM	1	95	4	167
PIK3CA_SETD2	KIRP	WithSecondM	1	3	2	12
PIK3CA_SETD2	KIRP	WOSecondM	1	95	3	162
PIK3CA_KRAS	KIRP	WithSecondM	1	1	1	6
PIK3CA_KRAS	KIRP	WOSecondM	1	97	4	168
PIK3CA_CUL3	KIRP	WithSecondM	1	3	2	5
PIK3CA_CUL3	KIRP	WOSecondM	1	95	3	169
MET_SMARCB1	KIRP	WithSecondM	1	5	1	3
MET_SMARCB1	KIRP	WOSecondM	14	158	6	94
MET_PIK3CA	KIRP	WithSecondM	1	2	1	3
MET_PIK3CA	KIRP	WOSecondM	14	161	6	94
MET_KDM6A	KIRP	WithSecondM	1	6	1	3
MET_KDM6A	KIRP	WOSecondM	14	157	6	94
MET_NF2	KIRP	WithSecondM	1	3	1	7
MET_NF2	KIRP	WOSecondM	14	160	6	90
MET_BAP1	KIRP	WithSecondM	1	3	1	7
MET_BAP1	KIRP	WOSecondM	14	160	6	90
MET_SETD2	KIRP	WithSecondM	1	7	1	8
