Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
SMC1A_WT1	LAML	WithSecondM	1	1	1	3
SMC1A_WT1	LAML	WOSecondM	1	4	2	179
SMC1A_CEBPA	LAML	WithSecondM	1	1	1	2
SMC1A_CEBPA	LAML	WOSecondM	1	4	2	180
SMC1A_DNMT3A	LAML	WithSecondM	1	1	1	10
SMC1A_DNMT3A	LAML	WOSecondM	1	4	2	172
SMC1A_TP53	LAML	WithSecondM	1	1	1	8
SMC1A_TP53	LAML	WOSecondM	1	4	2	174
SMC1A_ASXL1	LAML	WithSecondM	1	1	2	5
SMC1A_ASXL1	LAML	WOSecondM	1	4	1	177
SMC1A_IDH2	LAML	WithSecondM	1	1	1	9
SMC1A_IDH2	LAML	WOSecondM	1	4	2	173
SMC1A_IDH1	LAML	WithSecondM	1	1	1	5
SMC1A_IDH1	LAML	WOSecondM	1	4	2	177
SMC1A_SF3B1	LAML	WithSecondM	1	1	1	4
SMC1A_SF3B1	LAML	WOSecondM	1	4	2	178
SMC1A_PTPDC1	LAML	WithSecondM	1	1	1	2
SMC1A_PTPDC1	LAML	WOSecondM	1	4	2	180
SMC1A_KIT	LAML	WithSecondM	1	1	1	1
SMC1A_KIT	LAML	WOSecondM	1	4	2	181
SMC1A_U2AF1	LAML	WithSecondM	1	1	1	4
SMC1A_U2AF1	LAML	WOSecondM	1	4	2	178
SMC1A_RUNX1	LAML	WithSecondM	1	1	2	9
SMC1A_RUNX1	LAML	WOSecondM	1	4	1	173
SMC1A_PTPN11	LAML	WithSecondM	1	1	1	3
SMC1A_PTPN11	LAML	WOSecondM	1	4	2	179
SMC1A_PHF6	LAML	WithSecondM	1	1	1	4
SMC1A_PHF6	LAML	WOSecondM	1	4	2	178
SMC1A_SMC3	LAML	WithSecondM	1	1	1	1
SMC1A_SMC3	LAML	WOSecondM	1	4	2	181
SMC1A_NPM1	LAML	WithSecondM	1	1	1	9
SMC1A_NPM1	LAML	WOSecondM	1	4	2	173
SMC1A_FLT3	LAML	WithSecondM	1	1	1	7
SMC1A_FLT3	LAML	WOSecondM	1	4	2	175
SMC1A_KRAS	LAML	WithSecondM	1	2	1	6
SMC1A_KRAS	LAML	WOSecondM	1	3	2	176
WT1_SMC1A	LAML	WithSecondM	1	1	1	2
WT1_SMC1A	LAML	WOSecondM	1	5	3	180
WT1_CEBPA	LAML	WithSecondM	1	1	1	2
WT1_CEBPA	LAML	WOSecondM	1	5	3	180
WT1_DNMT3A	LAML	WithSecondM	1	2	1	9
WT1_DNMT3A	LAML	WOSecondM	1	4	3	173
WT1_TP53	LAML	WithSecondM	1	2	1	8
WT1_TP53	LAML	WOSecondM	1	4	3	174
WT1_ASXL1	LAML	WithSecondM	1	1	1	6
WT1_ASXL1	LAML	WOSecondM	1	5	3	176
WT1_IDH2	LAML	WithSecondM	1	1	1	9
WT1_IDH2	LAML	WOSecondM	1	5	3	173
WT1_IDH1	LAML	WithSecondM	1	1	1	5
WT1_IDH1	LAML	WOSecondM	1	5	3	177
WT1_SF3B1	LAML	WithSecondM	1	1	1	4
WT1_SF3B1	LAML	WOSecondM	1	5	3	178
WT1_PTPDC1	LAML	WithSecondM	1	1	1	2
WT1_PTPDC1	LAML	WOSecondM	1	5	3	180
WT1_KIT	LAML	WithSecondM	1	1	1	2
WT1_KIT	LAML	WOSecondM	1	5	3	180
WT1_U2AF1	LAML	WithSecondM	1	1	1	4
WT1_U2AF1	LAML	WOSecondM	1	5	3	178
WT1_RUNX1	LAML	WithSecondM	1	2	1	9
WT1_RUNX1	LAML	WOSecondM	1	4	3	173
WT1_PTPN11	LAML	WithSecondM	1	1	1	4
WT1_PTPN11	LAML	WOSecondM	1	5	3	178
WT1_PHF6	LAML	WithSecondM	1	1	1	4
WT1_PHF6	LAML	WOSecondM	1	5	3	178
WT1_SMC3	LAML	WithSecondM	1	1	1	1
WT1_SMC3	LAML	WOSecondM	1	5	3	181
WT1_NPM1	LAML	WithSecondM	1	1	1	9
WT1_NPM1	LAML	WOSecondM	1	5	3	173
WT1_FLT3	LAML	WithSecondM	1	1	1	7
WT1_FLT3	LAML	WOSecondM	1	5	3	175
WT1_KRAS	LAML	WithSecondM	1	1	1	7
WT1_KRAS	LAML	WOSecondM	1	5	3	175
CEBPA_SMC1A	LAML	WithSecondM	1	1	1	2
CEBPA_SMC1A	LAML	WOSecondM	1	6	2	180
CEBPA_WT1	LAML	WithSecondM	1	1	1	3
CEBPA_WT1	LAML	WOSecondM	1	6	2	179
CEBPA_DNMT3A	LAML	WithSecondM	1	1	1	10
CEBPA_DNMT3A	LAML	WOSecondM	1	6	2	172
CEBPA_TP53	LAML	WithSecondM	1	1	1	8
CEBPA_TP53	LAML	WOSecondM	1	6	2	174
CEBPA_ASXL1	LAML	WithSecondM	1	2	1	5
CEBPA_ASXL1	LAML	WOSecondM	1	5	2	177
CEBPA_IDH2	LAML	WithSecondM	1	1	1	9
CEBPA_IDH2	LAML	WOSecondM	1	6	2	173
CEBPA_IDH1	LAML	WithSecondM	1	1	1	5
CEBPA_IDH1	LAML	WOSecondM	1	6	2	177
CEBPA_SF3B1	LAML	WithSecondM	1	1	1	4
CEBPA_SF3B1	LAML	WOSecondM	1	6	2	178
CEBPA_PTPDC1	LAML	WithSecondM	1	1	1	2
CEBPA_PTPDC1	LAML	WOSecondM	1	6	2	180
CEBPA_KIT	LAML	WithSecondM	1	1	1	2
CEBPA_KIT	LAML	WOSecondM	1	6	2	180
CEBPA_U2AF1	LAML	WithSecondM	1	1	1	4
CEBPA_U2AF1	LAML	WOSecondM	1	6	2	178
CEBPA_RUNX1	LAML	WithSecondM	1	1	1	10
CEBPA_RUNX1	LAML	WOSecondM	1	6	2	172
CEBPA_PTPN11	LAML	WithSecondM	1	1	1	4
CEBPA_PTPN11	LAML	WOSecondM	1	6	2	178
CEBPA_PHF6	LAML	WithSecondM	1	1	1	4
CEBPA_PHF6	LAML	WOSecondM	1	6	2	178
CEBPA_SMC3	LAML	WithSecondM	1	1	1	1
CEBPA_SMC3	LAML	WOSecondM	1	6	2	181
CEBPA_NPM1	LAML	WithSecondM	1	1	1	9
CEBPA_NPM1	LAML	WOSecondM	1	6	2	173
CEBPA_FLT3	LAML	WithSecondM	1	1	1	7
CEBPA_FLT3	LAML	WOSecondM	1	6	2	175
CEBPA_KRAS	LAML	WithSecondM	1	2	1	6
CEBPA_KRAS	LAML	WOSecondM	1	5	2	176
DNMT3A_SMC1A	LAML	WithSecondM	1	1	1	2
DNMT3A_SMC1A	LAML	WOSecondM	1	3	10	177
DNMT3A_WT1	LAML	WithSecondM	1	1	1	3
DNMT3A_WT1	LAML	WOSecondM	1	3	10	176
DNMT3A_CEBPA	LAML	WithSecondM	1	1	1	2
DNMT3A_CEBPA	LAML	WOSecondM	1	3	10	177
DNMT3A_TP53	LAML	WithSecondM	1	1	2	9
DNMT3A_TP53	LAML	WOSecondM	1	3	9	170
DNMT3A_ASXL1	LAML	WithSecondM	1	1	1	6
DNMT3A_ASXL1	LAML	WOSecondM	1	3	10	173
DNMT3A_IDH2	LAML	WithSecondM	1	1	2	8
DNMT3A_IDH2	LAML	WOSecondM	1	3	9	171
DNMT3A_IDH1	LAML	WithSecondM	1	1	3	3
DNMT3A_IDH1	LAML	WOSecondM	1	3	8	176
DNMT3A_SF3B1	LAML	WithSecondM	1	1	1	4
DNMT3A_SF3B1	LAML	WOSecondM	1	3	10	175
DNMT3A_PTPDC1	LAML	WithSecondM	1	1	2	1
DNMT3A_PTPDC1	LAML	WOSecondM	1	3	9	178
DNMT3A_KIT	LAML	WithSecondM	1	1	1	2
DNMT3A_KIT	LAML	WOSecondM	1	3	10	177
DNMT3A_U2AF1	LAML	WithSecondM	1	1	1	4
DNMT3A_U2AF1	LAML	WOSecondM	1	3	10	175
DNMT3A_RUNX1	LAML	WithSecondM	1	1	2	9
DNMT3A_RUNX1	LAML	WOSecondM	1	3	9	170
DNMT3A_PTPN11	LAML	WithSecondM	1	1	1	4
DNMT3A_PTPN11	LAML	WOSecondM	1	3	10	175
DNMT3A_PHF6	LAML	WithSecondM	1	1	1	4
DNMT3A_PHF6	LAML	WOSecondM	1	3	10	175
DNMT3A_SMC3	LAML	WithSecondM	1	1	1	1
DNMT3A_SMC3	LAML	WOSecondM	1	3	10	178
DNMT3A_NPM1	LAML	WithSecondM	1	1	4	6
DNMT3A_NPM1	LAML	WOSecondM	1	3	7	173
DNMT3A_FLT3	LAML	WithSecondM	1	2	3	4
DNMT3A_FLT3	LAML	WOSecondM	1	2	8	175
DNMT3A_KRAS	LAML	WithSecondM	1	1	2	6
DNMT3A_KRAS	LAML	WOSecondM	1	3	9	173
TP53_SMC1A	LAML	WithSecondM	1	1	1	2
