Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
CIC_ZCCHC12	LGG	WithSecondM	1	1	1	1
CIC_ZCCHC12	LGG	WOSecondM	1	26	1	231
CIC_FUBP1	LGG	WithSecondM	1	1	1	1
CIC_FUBP1	LGG	WOSecondM	1	26	1	231
CIC_EGFR	LGG	WithSecondM	1	9	1	23
CIC_EGFR	LGG	WOSecondM	1	18	1	209
CIC_PLCG1	LGG	WithSecondM	1	1	1	1
CIC_PLCG1	LGG	WOSecondM	1	26	1	231
CIC_SMARCA4	LGG	WithSecondM	1	1	1	8
CIC_SMARCA4	LGG	WOSecondM	1	26	1	224
CIC_PIK3CA	LGG	WithSecondM	1	3	1	11
CIC_PIK3CA	LGG	WOSecondM	1	24	1	221
CIC_NRAS	LGG	WithSecondM	1	1	1	2
CIC_NRAS	LGG	WOSecondM	1	26	1	230
CIC_NIPBL	LGG	WithSecondM	1	1	1	3
CIC_NIPBL	LGG	WOSecondM	1	26	1	229
CIC_PIK3R1	LGG	WithSecondM	1	3	1	4
CIC_PIK3R1	LGG	WOSecondM	1	24	1	228
CIC_ARID2	LGG	WithSecondM	1	2	1	4
CIC_ARID2	LGG	WOSecondM	1	25	1	228
CIC_NF1	LGG	WithSecondM	1	4	1	14
CIC_NF1	LGG	WOSecondM	1	23	1	218
CIC_IDH2	LGG	WithSecondM	1	1	1	5
CIC_IDH2	LGG	WOSecondM	1	26	1	227
CIC_IDH1	LGG	WithSecondM	1	3	1	166
CIC_IDH1	LGG	WOSecondM	1	24	1	66
CIC_ATRX	LGG	WithSecondM	1	2	1	118
CIC_ATRX	LGG	WOSecondM	1	25	1	114
CIC_SETD2	LGG	WithSecondM	1	1	1	5
CIC_SETD2	LGG	WOSecondM	1	26	1	227
CIC_TP53	LGG	WithSecondM	1	1	1	167
CIC_TP53	LGG	WOSecondM	1	26	1	65
CIC_MAX	LGG	WithSecondM	1	1	1	1
CIC_MAX	LGG	WOSecondM	1	26	1	231
CIC_PTPN11	LGG	WithSecondM	1	3	1	3
CIC_PTPN11	LGG	WOSecondM	1	24	1	229
CIC_NOTCH1	LGG	WithSecondM	1	1	1	4
CIC_NOTCH1	LGG	WOSecondM	1	26	1	228
CIC_PTEN	LGG	WithSecondM	1	8	1	13
CIC_PTEN	LGG	WOSecondM	1	19	1	219
CIC_TCF12	LGG	WithSecondM	1	1	1	9
CIC_TCF12	LGG	WOSecondM	1	26	1	223
CIC_ZBTB20	LGG	WithSecondM	1	1	1	1
CIC_ZBTB20	LGG	WOSecondM	1	26	1	231
CIC_ARID1A	LGG	WithSecondM	1	1	1	5
CIC_ARID1A	LGG	WOSecondM	1	26	1	227
ZCCHC12_CIC	LGG	WithSecondM	1	2	1	80
ZCCHC12_CIC	LGG	WOSecondM	1	39	1	302
ZCCHC12_FUBP1	LGG	WithSecondM	1	1	1	38
ZCCHC12_FUBP1	LGG	WOSecondM	1	40	1	344
ZCCHC12_EGFR	LGG	WithSecondM	1	2	1	27
ZCCHC12_EGFR	LGG	WOSecondM	1	39	1	355
ZCCHC12_PLCG1	LGG	WithSecondM	1	1	1	1
ZCCHC12_PLCG1	LGG	WOSecondM	1	40	1	381
ZCCHC12_SMARCA4	LGG	WithSecondM	1	2	1	8
ZCCHC12_SMARCA4	LGG	WOSecondM	1	39	1	374
ZCCHC12_PIK3CA	LGG	WithSecondM	1	2	1	31
ZCCHC12_PIK3CA	LGG	WOSecondM	1	39	1	351
ZCCHC12_NRAS	LGG	WithSecondM	1	1	1	5
ZCCHC12_NRAS	LGG	WOSecondM	1	40	1	377
ZCCHC12_NIPBL	LGG	WithSecondM	1	1	1	12
ZCCHC12_NIPBL	LGG	WOSecondM	1	40	1	370
ZCCHC12_PIK3R1	LGG	WithSecondM	1	1	1	14
ZCCHC12_PIK3R1	LGG	WOSecondM	1	40	1	368
ZCCHC12_ARID2	LGG	WithSecondM	1	2	1	6
ZCCHC12_ARID2	LGG	WOSecondM	1	39	1	376
ZCCHC12_NF1	LGG	WithSecondM	1	3	1	17
ZCCHC12_NF1	LGG	WOSecondM	1	38	1	365
ZCCHC12_IDH2	LGG	WithSecondM	1	2	1	19
ZCCHC12_IDH2	LGG	WOSecondM	1	39	1	363
ZCCHC12_IDH1	LGG	WithSecondM	1	35	1	285
ZCCHC12_IDH1	LGG	WOSecondM	1	6	1	97
ZCCHC12_ATRX	LGG	WithSecondM	1	29	1	113
ZCCHC12_ATRX	LGG	WOSecondM	1	12	1	269
ZCCHC12_SETD2	LGG	WithSecondM	1	1	1	6
ZCCHC12_SETD2	LGG	WOSecondM	1	40	1	376
ZCCHC12_TP53	LGG	WithSecondM	1	34	1	166
ZCCHC12_TP53	LGG	WOSecondM	1	7	1	216
ZCCHC12_MAX	LGG	WithSecondM	1	1	1	4
ZCCHC12_MAX	LGG	WOSecondM	1	40	1	378
ZCCHC12_PTPN11	LGG	WithSecondM	1	2	1	5
ZCCHC12_PTPN11	LGG	WOSecondM	1	39	1	377
ZCCHC12_NOTCH1	LGG	WithSecondM	1	1	1	25
ZCCHC12_NOTCH1	LGG	WOSecondM	1	40	1	357
ZCCHC12_PTEN	LGG	WithSecondM	1	2	1	18
ZCCHC12_PTEN	LGG	WOSecondM	1	39	1	364
ZCCHC12_TCF12	LGG	WithSecondM	1	1	1	14
ZCCHC12_TCF12	LGG	WOSecondM	1	40	1	368
ZCCHC12_ZBTB20	LGG	WithSecondM	1	3	1	2
ZCCHC12_ZBTB20	LGG	WOSecondM	1	38	1	380
ZCCHC12_ARID1A	LGG	WithSecondM	1	1	1	11
ZCCHC12_ARID1A	LGG	WOSecondM	1	40	1	371
FUBP1_CIC	LGG	WithSecondM	1	1	1	1
FUBP1_CIC	LGG	WOSecondM	1	15	1	301
FUBP1_ZCCHC12	LGG	WithSecondM	1	1	1	1
FUBP1_ZCCHC12	LGG	WOSecondM	1	15	1	301
FUBP1_EGFR	LGG	WithSecondM	1	3	1	27
FUBP1_EGFR	LGG	WOSecondM	1	13	1	275
FUBP1_PLCG1	LGG	WithSecondM	1	1	1	1
FUBP1_PLCG1	LGG	WOSecondM	1	15	1	301
FUBP1_SMARCA4	LGG	WithSecondM	1	1	1	9
FUBP1_SMARCA4	LGG	WOSecondM	1	15	1	293
FUBP1_PIK3CA	LGG	WithSecondM	1	4	1	11
FUBP1_PIK3CA	LGG	WOSecondM	1	12	1	291
FUBP1_NRAS	LGG	WithSecondM	1	1	1	2
FUBP1_NRAS	LGG	WOSecondM	1	15	1	300
FUBP1_NIPBL	LGG	WithSecondM	1	1	1	3
FUBP1_NIPBL	LGG	WOSecondM	1	15	1	299
FUBP1_PIK3R1	LGG	WithSecondM	1	1	1	9
FUBP1_PIK3R1	LGG	WOSecondM	1	15	1	293
FUBP1_ARID2	LGG	WithSecondM	1	1	1	7
FUBP1_ARID2	LGG	WOSecondM	1	15	1	295
FUBP1_NF1	LGG	WithSecondM	1	2	1	17
FUBP1_NF1	LGG	WOSecondM	1	14	1	285
FUBP1_IDH2	LGG	WithSecondM	1	1	1	4
FUBP1_IDH2	LGG	WOSecondM	1	15	1	298
FUBP1_IDH1	LGG	WithSecondM	1	6	1	218
FUBP1_IDH1	LGG	WOSecondM	1	10	1	84
FUBP1_ATRX	LGG	WithSecondM	1	4	1	153
FUBP1_ATRX	LGG	WOSecondM	1	12	1	149
FUBP1_SETD2	LGG	WithSecondM	1	1	1	6
FUBP1_SETD2	LGG	WOSecondM	1	15	1	296
FUBP1_TP53	LGG	WithSecondM	1	10	1	216
FUBP1_TP53	LGG	WOSecondM	1	6	1	86
FUBP1_MAX	LGG	WithSecondM	1	1	1	1
FUBP1_MAX	LGG	WOSecondM	1	15	1	301
FUBP1_PTPN11	LGG	WithSecondM	1	1	1	6
FUBP1_PTPN11	LGG	WOSecondM	1	15	1	296
FUBP1_NOTCH1	LGG	WithSecondM	1	1	1	5
FUBP1_NOTCH1	LGG	WOSecondM	1	15	1	297
FUBP1_PTEN	LGG	WithSecondM	1	2	1	19
FUBP1_PTEN	LGG	WOSecondM	1	14	1	283
FUBP1_TCF12	LGG	WithSecondM	1	1	1	9
FUBP1_TCF12	LGG	WOSecondM	1	15	1	293
FUBP1_ZBTB20	LGG	WithSecondM	1	1	1	3
FUBP1_ZBTB20	LGG	WOSecondM	1	15	1	299
FUBP1_ARID1A	LGG	WithSecondM	1	1	1	7
FUBP1_ARID1A	LGG	WOSecondM	1	15	1	295
EGFR_CIC	LGG	WithSecondM	1	8	1	91
EGFR_CIC	LGG	WOSecondM	28	88	5	277
EGFR_ZCCHC12	LGG	WithSecondM	1	1	1	1
EGFR_ZCCHC12	LGG	WOSecondM	28	95	5	367
EGFR_FUBP1	LGG	WithSecondM	1	2	1	42
EGFR_FUBP1	LGG	WOSecondM	28	94	5	326
EGFR_PLCG1	LGG	WithSecondM	1	1	1	1
EGFR_PLCG1	LGG	WOSecondM	28	95	5	367
EGFR_SMARCA4	LGG	WithSecondM	1	3	1	12
EGFR_SMARCA4	LGG	WOSecondM	28	93	5	356
EGFR_PIK3CA	LGG	WithSecondM	5	10	2	22
EGFR_PIK3CA	LGG	WOSecondM	24	86	4	346
EGFR_NRAS	LGG	WithSecondM	1	2	1	4
EGFR_NRAS	LGG	WOSecondM	28	94	5	364
EGFR_NIPBL	LGG	WithSecondM	1	1	1	14
EGFR_NIPBL	LGG	WOSecondM	28	95	5	354
EGFR_PIK3R1	LGG	WithSecondM	1	5	1	16
EGFR_PIK3R1	LGG	WOSecondM	28	91	5	352
EGFR_ARID2	LGG	WithSecondM	1	2	1	7
EGFR_ARID2	LGG	WOSecondM	28	94	5	361
EGFR_NF1	LGG	WithSecondM	2	9	2	14
EGFR_NF1	LGG	WOSecondM	27	87	4	354
EGFR_IDH2	LGG	WithSecondM	1	4	1	18
EGFR_IDH2	LGG	WOSecondM	28	92	5	350
EGFR_IDH1	LGG	WithSecondM	1	52	2	328
EGFR_IDH1	LGG	WOSecondM	28	44	4	40
EGFR_ATRX	LGG	WithSecondM	1	33	1	129
EGFR_ATRX	LGG	WOSecondM	28	63	5	239
EGFR_SETD2	LGG	WithSecondM	2	3	1	4
EGFR_SETD2	LGG	WOSecondM	27	93	5	364
EGFR_TP53	LGG	WithSecondM	4	48	1	186
EGFR_TP53	LGG	WOSecondM	25	48	5	182
EGFR_MAX	LGG	WithSecondM	1	1	1	4
EGFR_MAX	LGG	WOSecondM	28	95	5	364
EGFR_PTPN11	LGG	WithSecondM	1	3	1	5
EGFR_PTPN11	LGG	WOSecondM	28	93	5	363
EGFR_NOTCH1	LGG	WithSecondM	1	4	1	28
EGFR_NOTCH1	LGG	WOSecondM	28	92	5	340
EGFR_PTEN	LGG	WithSecondM	6	11	3	5
EGFR_PTEN	LGG	WOSecondM	23	85	3	363
EGFR_TCF12	LGG	WithSecondM	1	3	1	13
EGFR_TCF12	LGG	WOSecondM	28	93	5	355
EGFR_ZBTB20	LGG	WithSecondM	1	2	1	3
EGFR_ZBTB20	LGG	WOSecondM	28	94	5	365
EGFR_ARID1A	LGG	WithSecondM	1	4	1	12
EGFR_ARID1A	LGG	WOSecondM	28	92	5	356
PLCG1_CIC	LGG	WithSecondM	1	5	1	94
PLCG1_CIC	LGG	WOSecondM	1	42	1	355
PLCG1_ZCCHC12	LGG	WithSecondM	1	1	1	1
PLCG1_ZCCHC12	LGG	WOSecondM	1	46	1	448
PLCG1_FUBP1	LGG	WithSecondM	1	1	1	43
PLCG1_FUBP1	LGG	WOSecondM	1	46	1	406
PLCG1_EGFR	LGG	WithSecondM	1	13	1	20
PLCG1_EGFR	LGG	WOSecondM	1	34	1	429
PLCG1_SMARCA4	LGG	WithSecondM	1	2	1	13
PLCG1_SMARCA4	LGG	WOSecondM	1	45	1	436
PLCG1_PIK3CA	LGG	WithSecondM	1	7	1	31
PLCG1_PIK3CA	LGG	WOSecondM	1	40	1	418
PLCG1_NRAS	LGG	WithSecondM	1	2	1	4
PLCG1_NRAS	LGG	WOSecondM	1	45	1	445
PLCG1_NIPBL	LGG	WithSecondM	1	1	1	14
PLCG1_NIPBL	LGG	WOSecondM	1	46	1	435
PLCG1_PIK3R1	LGG	WithSecondM	1	5	1	16
PLCG1_PIK3R1	LGG	WOSecondM	1	42	1	433
