Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
CIC_ZCCHC12	LGG	WithSecondM	4	1	1	3
CIC_ZCCHC12	LGG	WOSecondM	104	130	1	229
CIC_FUBP1	LGG	WithSecondM	34	12	1	1
CIC_FUBP1	LGG	WOSecondM	74	119	1	231
CIC_EGFR	LGG	WithSecondM	1	2	1	25
CIC_EGFR	LGG	WOSecondM	107	129	1	207
CIC_PLCG1	LGG	WithSecondM	1	2	1	3
CIC_PLCG1	LGG	WOSecondM	107	129	1	229
CIC_SMARCA4	LGG	WithSecondM	4	9	1	13
CIC_SMARCA4	LGG	WOSecondM	104	122	1	219
CIC_PIK3CA	LGG	WithSecondM	17	12	1	11
CIC_PIK3CA	LGG	WOSecondM	91	119	1	221
CIC_NRAS	LGG	WithSecondM	1	4	1	2
CIC_NRAS	LGG	WOSecondM	107	127	1	230
CIC_NIPBL	LGG	WithSecondM	9	6	1	4
CIC_NIPBL	LGG	WOSecondM	99	125	1	228
CIC_PIK3R1	LGG	WithSecondM	8	10	1	4
CIC_PIK3R1	LGG	WOSecondM	100	121	1	228
CIC_ARID2	LGG	WithSecondM	3	3	1	6
CIC_ARID2	LGG	WOSecondM	105	128	1	226
CIC_NF1	LGG	WithSecondM	2	9	1	16
CIC_NF1	LGG	WOSecondM	106	122	1	216
CIC_IDH2	LGG	WithSecondM	9	9	1	5
CIC_IDH2	LGG	WOSecondM	99	122	1	227
CIC_IDH1	LGG	WithSecondM	99	113	1	166
CIC_IDH1	LGG	WOSecondM	9	18	1	66
CIC_ATRX	LGG	WithSecondM	4	45	1	133
CIC_ATRX	LGG	WOSecondM	104	86	1	99
CIC_SETD2	LGG	WithSecondM	1	5	1	5
CIC_SETD2	LGG	WOSecondM	107	126	1	227
CIC_TP53	LGG	WithSecondM	6	62	1	167
CIC_TP53	LGG	WOSecondM	102	69	1	65
CIC_MAX	LGG	WithSecondM	4	2	1	1
CIC_MAX	LGG	WOSecondM	104	129	1	231
CIC_PTPN11	LGG	WithSecondM	2	3	1	3
CIC_PTPN11	LGG	WOSecondM	106	128	1	229
CIC_NOTCH1	LGG	WithSecondM	20	15	1	4
CIC_NOTCH1	LGG	WOSecondM	88	116	1	228
CIC_PTEN	LGG	WithSecondM	2	2	1	13
CIC_PTEN	LGG	WOSecondM	106	129	1	219
CIC_TCF12	LGG	WithSecondM	7	1	1	9
CIC_TCF12	LGG	WOSecondM	101	130	1	223
CIC_ZBTB20	LGG	WithSecondM	5	13	1	1
CIC_ZBTB20	LGG	WOSecondM	103	118	1	231
CIC_ARID1A	LGG	WithSecondM	8	6	1	5
CIC_ARID1A	LGG	WOSecondM	100	125	1	227
ZCCHC12_CIC	LGG	WithSecondM	2	19	3	85
ZCCHC12_CIC	LGG	WOSecondM	1	58	3	293
ZCCHC12_FUBP1	LGG	WithSecondM	2	6	1	39
ZCCHC12_FUBP1	LGG	WOSecondM	1	71	5	339
ZCCHC12_EGFR	LGG	WithSecondM	1	5	1	30
ZCCHC12_EGFR	LGG	WOSecondM	2	72	5	348
ZCCHC12_PLCG1	LGG	WithSecondM	1	1	1	5
ZCCHC12_PLCG1	LGG	WOSecondM	2	76	5	373
ZCCHC12_SMARCA4	LGG	WithSecondM	1	7	1	15
ZCCHC12_SMARCA4	LGG	WOSecondM	2	70	5	363
ZCCHC12_PIK3CA	LGG	WithSecondM	2	7	3	30
ZCCHC12_PIK3CA	LGG	WOSecondM	1	70	3	348
ZCCHC12_NRAS	LGG	WithSecondM	1	1	1	5
ZCCHC12_NRAS	LGG	WOSecondM	2	76	5	373
ZCCHC12_NIPBL	LGG	WithSecondM	1	3	1	16
ZCCHC12_NIPBL	LGG	WOSecondM	2	74	5	362
ZCCHC12_PIK3R1	LGG	WithSecondM	1	7	2	15
ZCCHC12_PIK3R1	LGG	WOSecondM	2	70	4	363
ZCCHC12_ARID2	LGG	WithSecondM	1	3	1	8
ZCCHC12_ARID2	LGG	WOSecondM	2	74	5	370
