Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
NUP133_ACVR2A	LIHC	WithSecondM	2	8	1	3
NUP133_ACVR2A	LIHC	WOSecondM	6	246	4	86
NUP133_EEF1A1	LIHC	WithSecondM	1	7	1	5
NUP133_EEF1A1	LIHC	WOSecondM	7	247	4	84
NUP133_CDKN1A	LIHC	WithSecondM	1	2	1	3
NUP133_CDKN1A	LIHC	WOSecondM	7	252	4	86
NUP133_IL6ST	LIHC	WithSecondM	1	5	1	6
NUP133_IL6ST	LIHC	WOSecondM	7	249	4	83
NUP133_CTNNB1	LIHC	WithSecondM	5	73	3	15
NUP133_CTNNB1	LIHC	WOSecondM	3	181	2	74
NUP133_TSC2	LIHC	WithSecondM	1	9	1	4
NUP133_TSC2	LIHC	WOSecondM	7	245	4	85
NUP133_XPO1	LIHC	WithSecondM	1	6	1	1
NUP133_XPO1	LIHC	WOSecondM	7	248	4	88
NUP133_APOB	LIHC	WithSecondM	1	22	1	10
NUP133_APOB	LIHC	WOSecondM	7	232	4	79
NUP133_AXIN1	LIHC	WithSecondM	1	21	1	6
NUP133_AXIN1	LIHC	WOSecondM	7	233	4	83
NUP133_KEAP1	LIHC	WithSecondM	1	15	1	4
NUP133_KEAP1	LIHC	WOSecondM	7	239	4	85
NUP133_NFE2L2	LIHC	WithSecondM	2	8	1	3
NUP133_NFE2L2	LIHC	WOSecondM	6	246	4	86
NUP133_NRAS	LIHC	WithSecondM	1	5	1	2
NUP133_NRAS	LIHC	WOSecondM	7	249	4	87
NUP133_RB1	LIHC	WithSecondM	1	15	1	2
NUP133_RB1	LIHC	WOSecondM	7	239	4	87
NUP133_DHX9	LIHC	WithSecondM	1	11	1	1
NUP133_DHX9	LIHC	WOSecondM	7	243	4	88
NUP133_CDKN2A	LIHC	WithSecondM	1	8	1	3
NUP133_CDKN2A	LIHC	WOSecondM	7	246	4	86
NUP133_ARID2	LIHC	WithSecondM	1	17	1	4
NUP133_ARID2	LIHC	WOSecondM	7	237	4	85
NUP133_IDH1	LIHC	WithSecondM	1	7	1	2
NUP133_IDH1	LIHC	WOSecondM	7	247	4	87
NUP133_HIST1H1E	LIHC	WithSecondM	1	5	1	1
NUP133_HIST1H1E	LIHC	WOSecondM	7	249	4	88
NUP133_BRD7	LIHC	WithSecondM	1	9	1	3
NUP133_BRD7	LIHC	WOSecondM	7	245	4	86
NUP133_KRAS	LIHC	WithSecondM	1	5	1	2
NUP133_KRAS	LIHC	WOSecondM	7	249	4	87
NUP133_RPS6KA3	LIHC	WithSecondM	1	14	1	2
NUP133_RPS6KA3	LIHC	WOSecondM	7	240	4	87
NUP133_TP53	LIHC	WithSecondM	3	70	3	27
NUP133_TP53	LIHC	WOSecondM	5	184	2	62
NUP133_GNAS	LIHC	WithSecondM	1	5	1	2
NUP133_GNAS	LIHC	WOSecondM	7	249	4	87
NUP133_WHSC1	LIHC	WithSecondM	1	7	1	1
NUP133_WHSC1	LIHC	WOSecondM	7	247	4	88
NUP133_SMARCA4	LIHC	WithSecondM	1	9	1	3
NUP133_SMARCA4	LIHC	WOSecondM	7	245	4	86
NUP133_ALB	LIHC	WithSecondM	2	32	1	13
NUP133_ALB	LIHC	WOSecondM	6	222	4	76
NUP133_CREB3L3	LIHC	WithSecondM	1	6	1	1
NUP133_CREB3L3	LIHC	WOSecondM	7	248	4	88
NUP133_PIK3CA	LIHC	WithSecondM	2	8	1	2
NUP133_PIK3CA	LIHC	WOSecondM	6	246	4	87
NUP133_BAP1	LIHC	WithSecondM	1	17	1	4
NUP133_BAP1	LIHC	WOSecondM	7	237	4	85
NUP133_LZTR1	LIHC	WithSecondM	1	9	1	5
NUP133_LZTR1	LIHC	WOSecondM	7	245	4	84
NUP133_ARID1A	LIHC	WithSecondM	1	22	2	5
NUP133_ARID1A	LIHC	WOSecondM	7	232	3	84
ACVR2A_NUP133	LIHC	WithSecondM	1	1	2	8
ACVR2A_NUP133	LIHC	WOSecondM	2	41	5	246
ACVR2A_EEF1A1	LIHC	WithSecondM	1	2	2	7
ACVR2A_EEF1A1	LIHC	WOSecondM	2	40	5	247
ACVR2A_CDKN1A	LIHC	WithSecondM	1	1	1	4
ACVR2A_CDKN1A	LIHC	WOSecondM	2	41	6	250
ACVR2A_IL6ST	LIHC	WithSecondM	1	1	1	9
ACVR2A_IL6ST	LIHC	WOSecondM	2	41	6	245
ACVR2A_CTNNB1	LIHC	WithSecondM	2	9	3	71
ACVR2A_CTNNB1	LIHC	WOSecondM	1	33	4	183
ACVR2A_TSC2	LIHC	WithSecondM	1	2	1	9
ACVR2A_TSC2	LIHC	WOSecondM	2	40	6	245
ACVR2A_XPO1	LIHC	WithSecondM	1	3	1	4
ACVR2A_XPO1	LIHC	WOSecondM	2	39	6	250
ACVR2A_APOB	LIHC	WithSecondM	1	4	1	25
ACVR2A_APOB	LIHC	WOSecondM	2	38	6	229
ACVR2A_AXIN1	LIHC	WithSecondM	1	5	1	19
ACVR2A_AXIN1	LIHC	WOSecondM	2	37	6	235
ACVR2A_KEAP1	LIHC	WithSecondM	1	4	1	13
ACVR2A_KEAP1	LIHC	WOSecondM	2	38	6	241
ACVR2A_NFE2L2	LIHC	WithSecondM	1	2	2	9
ACVR2A_NFE2L2	LIHC	WOSecondM	2	40	5	245
ACVR2A_NRAS	LIHC	WithSecondM	1	2	1	4
ACVR2A_NRAS	LIHC	WOSecondM	2	40	6	250
ACVR2A_RB1	LIHC	WithSecondM	1	2	2	10
ACVR2A_RB1	LIHC	WOSecondM	2	40	5	244
ACVR2A_DHX9	LIHC	WithSecondM	1	3	1	9
ACVR2A_DHX9	LIHC	WOSecondM	2	39	6	245
