Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
NUP133_ACVR2A	LIHC	WithSecondM	1	1	1	2
NUP133_ACVR2A	LIHC	WOSecondM	1	9	2	89
NUP133_EEF1A1	LIHC	WithSecondM	1	1	1	2
NUP133_EEF1A1	LIHC	WOSecondM	1	9	2	89
NUP133_CDKN1A	LIHC	WithSecondM	1	1	1	2
NUP133_CDKN1A	LIHC	WOSecondM	1	9	2	89
NUP133_IL6ST	LIHC	WithSecondM	1	1	1	1
NUP133_IL6ST	LIHC	WOSecondM	1	9	2	90
NUP133_CTNNB1	LIHC	WithSecondM	1	1	2	16
NUP133_CTNNB1	LIHC	WOSecondM	1	9	1	75
NUP133_TSC2	LIHC	WithSecondM	1	2	1	4
NUP133_TSC2	LIHC	WOSecondM	1	8	2	87
NUP133_XPO1	LIHC	WithSecondM	1	1	1	1
NUP133_XPO1	LIHC	WOSecondM	1	9	2	90
NUP133_APOB	LIHC	WithSecondM	1	1	1	6
NUP133_APOB	LIHC	WOSecondM	1	9	2	85
NUP133_AXIN1	LIHC	WithSecondM	1	1	1	6
NUP133_AXIN1	LIHC	WOSecondM	1	9	2	85
NUP133_KEAP1	LIHC	WithSecondM	1	2	1	3
NUP133_KEAP1	LIHC	WOSecondM	1	8	2	88
NUP133_NFE2L2	LIHC	WithSecondM	1	1	1	2
NUP133_NFE2L2	LIHC	WOSecondM	1	9	2	89
NUP133_NRAS	LIHC	WithSecondM	1	1	1	1
NUP133_NRAS	LIHC	WOSecondM	1	9	2	90
NUP133_RB1	LIHC	WithSecondM	1	3	1	2
NUP133_RB1	LIHC	WOSecondM	1	7	2	89
NUP133_DHX9	LIHC	WithSecondM	1	1	1	1
NUP133_DHX9	LIHC	WOSecondM	1	9	2	90
NUP133_CDKN2A	LIHC	WithSecondM	1	1	1	3
NUP133_CDKN2A	LIHC	WOSecondM	1	9	2	88
NUP133_ARID2	LIHC	WithSecondM	1	1	1	1
NUP133_ARID2	LIHC	WOSecondM	1	9	2	90
NUP133_IDH1	LIHC	WithSecondM	1	1	1	2
NUP133_IDH1	LIHC	WOSecondM	1	9	2	89
NUP133_HIST1H1E	LIHC	WithSecondM	1	1	1	1
NUP133_HIST1H1E	LIHC	WOSecondM	1	9	2	90
NUP133_BRD7	LIHC	WithSecondM	1	1	1	3
NUP133_BRD7	LIHC	WOSecondM	1	9	2	88
NUP133_KRAS	LIHC	WithSecondM	1	1	1	2
NUP133_KRAS	LIHC	WOSecondM	1	9	2	89
NUP133_RPS6KA3	LIHC	WithSecondM	1	1	1	1
NUP133_RPS6KA3	LIHC	WOSecondM	1	9	2	90
NUP133_TP53	LIHC	WithSecondM	1	7	2	28
NUP133_TP53	LIHC	WOSecondM	1	3	1	63
NUP133_GNAS	LIHC	WithSecondM	1	1	1	2
NUP133_GNAS	LIHC	WOSecondM	1	9	2	89
NUP133_WHSC1	LIHC	WithSecondM	1	1	1	1
NUP133_WHSC1	LIHC	WOSecondM	1	9	2	90
NUP133_SMARCA4	LIHC	WithSecondM	1	1	1	2
NUP133_SMARCA4	LIHC	WOSecondM	1	9	2	89
NUP133_ALB	LIHC	WithSecondM	1	2	1	10
NUP133_ALB	LIHC	WOSecondM	1	8	2	81
NUP133_CREB3L3	LIHC	WithSecondM	1	2	1	1
NUP133_CREB3L3	LIHC	WOSecondM	1	8	2	90
NUP133_PIK3CA	LIHC	WithSecondM	1	1	1	2
NUP133_PIK3CA	LIHC	WOSecondM	1	9	2	89
NUP133_BAP1	LIHC	WithSecondM	1	1	1	4
NUP133_BAP1	LIHC	WOSecondM	1	9	2	87
NUP133_LZTR1	LIHC	WithSecondM	1	1	1	4
NUP133_LZTR1	LIHC	WOSecondM	1	9	2	87
NUP133_ARID1A	LIHC	WithSecondM	1	2	1	5
NUP133_ARID1A	LIHC	WOSecondM	1	8	2	86
ACVR2A_NUP133	LIHC	WithSecondM	1	1	2	4
ACVR2A_NUP133	LIHC	WOSecondM	2	53	4	251
ACVR2A_EEF1A1	LIHC	WithSecondM	1	2	1	4
ACVR2A_EEF1A1	LIHC	WOSecondM	2	52	5	251
ACVR2A_CDKN1A	LIHC	WithSecondM	1	1	1	4
ACVR2A_CDKN1A	LIHC	WOSecondM	2	53	5	251
ACVR2A_IL6ST	LIHC	WithSecondM	1	1	1	2
ACVR2A_IL6ST	LIHC	WOSecondM	2	53	5	253
ACVR2A_CTNNB1	LIHC	WithSecondM	1	10	3	70
ACVR2A_CTNNB1	LIHC	WOSecondM	2	44	3	185
ACVR2A_TSC2	LIHC	WithSecondM	1	4	1	7
ACVR2A_TSC2	LIHC	WOSecondM	2	50	5	248
ACVR2A_XPO1	LIHC	WithSecondM	1	1	1	1
ACVR2A_XPO1	LIHC	WOSecondM	2	53	5	254
ACVR2A_APOB	LIHC	WithSecondM	1	3	1	12
ACVR2A_APOB	LIHC	WOSecondM	2	51	5	243
ACVR2A_AXIN1	LIHC	WithSecondM	1	4	1	17
ACVR2A_AXIN1	LIHC	WOSecondM	2	50	5	238
ACVR2A_KEAP1	LIHC	WithSecondM	1	3	1	10
ACVR2A_KEAP1	LIHC	WOSecondM	2	51	5	245
ACVR2A_NFE2L2	LIHC	WithSecondM	1	1	2	8
ACVR2A_NFE2L2	LIHC	WOSecondM	2	53	4	247
ACVR2A_NRAS	LIHC	WithSecondM	1	2	1	3
ACVR2A_NRAS	LIHC	WOSecondM	2	52	5	252
ACVR2A_RB1	LIHC	WithSecondM	1	4	1	10
ACVR2A_RB1	LIHC	WOSecondM	2	50	5	245
ACVR2A_DHX9	LIHC	WithSecondM	1	1	1	2
ACVR2A_DHX9	LIHC	WOSecondM	2	53	5	253
ACVR2A_CDKN2A	LIHC	WithSecondM	1	2	1	8
ACVR2A_CDKN2A	LIHC	WOSecondM	2	52	5	247
ACVR2A_ARID2	LIHC	WithSecondM	1	2	1	9
ACVR2A_ARID2	LIHC	WOSecondM	2	52	5	246
ACVR2A_IDH1	LIHC	WithSecondM	1	1	1	5
ACVR2A_IDH1	LIHC	WOSecondM	2	53	5	250
ACVR2A_HIST1H1E	LIHC	WithSecondM	1	1	1	3
ACVR2A_HIST1H1E	LIHC	WOSecondM	2	53	5	252
ACVR2A_BRD7	LIHC	WithSecondM	1	2	1	8
ACVR2A_BRD7	LIHC	WOSecondM	2	52	5	247
ACVR2A_KRAS	LIHC	WithSecondM	1	1	1	6
ACVR2A_KRAS	LIHC	WOSecondM	2	53	5	249
ACVR2A_RPS6KA3	LIHC	WithSecondM	1	2	1	9
ACVR2A_RPS6KA3	LIHC	WOSecondM	2	52	5	246
ACVR2A_TP53	LIHC	WithSecondM	1	26	2	71
ACVR2A_TP53	LIHC	WOSecondM	2	28	4	184
ACVR2A_GNAS	LIHC	WithSecondM	1	2	1	4
ACVR2A_GNAS	LIHC	WOSecondM	2	52	5	251
ACVR2A_WHSC1	LIHC	WithSecondM	1	1	1	1
ACVR2A_WHSC1	LIHC	WOSecondM	2	53	5	254
ACVR2A_SMARCA4	LIHC	WithSecondM	1	2	1	5
ACVR2A_SMARCA4	LIHC	WOSecondM	2	52	5	250
ACVR2A_ALB	LIHC	WithSecondM	1	3	2	21
ACVR2A_ALB	LIHC	WOSecondM	2	51	4	234
ACVR2A_CREB3L3	LIHC	WithSecondM	1	1	1	4
ACVR2A_CREB3L3	LIHC	WOSecondM	2	53	5	251
ACVR2A_PIK3CA	LIHC	WithSecondM	1	4	1	5
ACVR2A_PIK3CA	LIHC	WOSecondM	2	50	5	250
ACVR2A_BAP1	LIHC	WithSecondM	1	4	1	11
ACVR2A_BAP1	LIHC	WOSecondM	2	50	5	244
ACVR2A_LZTR1	LIHC	WithSecondM	1	2	1	8
ACVR2A_LZTR1	LIHC	WOSecondM	2	52	5	247
ACVR2A_ARID1A	LIHC	WithSecondM	1	2	1	22
ACVR2A_ARID1A	LIHC	WOSecondM	2	52	5	233
EEF1A1_NUP133	LIHC	WithSecondM	1	1	1	4
EEF1A1_NUP133	LIHC	WOSecondM	1	90	5	194
EEF1A1_ACVR2A	LIHC	WithSecondM	1	3	1	3
EEF1A1_ACVR2A	LIHC	WOSecondM	1	88	5	195
EEF1A1_CDKN1A	LIHC	WithSecondM	1	3	1	2
EEF1A1_CDKN1A	LIHC	WOSecondM	1	88	5	196
EEF1A1_IL6ST	LIHC	WithSecondM	1	2	1	1
EEF1A1_IL6ST	LIHC	WOSecondM	1	89	5	197
EEF1A1_CTNNB1	LIHC	WithSecondM	1	25	3	48
EEF1A1_CTNNB1	LIHC	WOSecondM	1	66	3	150
EEF1A1_TSC2	LIHC	WithSecondM	1	8	1	4
EEF1A1_TSC2	LIHC	WOSecondM	1	83	5	194
EEF1A1_XPO1	LIHC	WithSecondM	1	1	1	1
EEF1A1_XPO1	LIHC	WOSecondM	1	90	5	197
EEF1A1_APOB	LIHC	WithSecondM	1	4	2	10
EEF1A1_APOB	LIHC	WOSecondM	1	87	4	188
EEF1A1_AXIN1	LIHC	WithSecondM	1	9	1	12
EEF1A1_AXIN1	LIHC	WOSecondM	1	82	5	186
EEF1A1_KEAP1	LIHC	WithSecondM	1	3	1	9
EEF1A1_KEAP1	LIHC	WOSecondM	1	88	5	189
