Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
CTNNB1_MGA	LUAD	WithSecondM	1	4	1	9
CTNNB1_MGA	LUAD	WOSecondM	1	22	10	190
CTNNB1_CDKN2A	LUAD	WithSecondM	1	1	1	7
CTNNB1_CDKN2A	LUAD	WOSecondM	1	25	10	192
CTNNB1_TP53	LUAD	WithSecondM	1	13	2	73
CTNNB1_TP53	LUAD	WOSecondM	1	13	9	126
CTNNB1_KEAP1	LUAD	WithSecondM	1	5	4	33
CTNNB1_KEAP1	LUAD	WOSecondM	1	21	7	166
CTNNB1_U2AF1	LUAD	WithSecondM	1	5	1	6
CTNNB1_U2AF1	LUAD	WOSecondM	1	21	10	193
CTNNB1_PIK3CA	LUAD	WithSecondM	1	1	2	11
CTNNB1_PIK3CA	LUAD	WOSecondM	1	25	9	188
CTNNB1_ARID1A	LUAD	WithSecondM	1	1	1	10
CTNNB1_ARID1A	LUAD	WOSecondM	1	25	10	189
CTNNB1_ATM	LUAD	WithSecondM	1	7	1	11
CTNNB1_ATM	LUAD	WOSecondM	1	19	10	188
CTNNB1_EGFR	LUAD	WithSecondM	1	3	3	21
CTNNB1_EGFR	LUAD	WOSecondM	1	23	8	178
CTNNB1_RB1	LUAD	WithSecondM	1	2	1	12
CTNNB1_RB1	LUAD	WOSecondM	1	24	10	187
CTNNB1_STK11	LUAD	WithSecondM	1	2	1	26
CTNNB1_STK11	LUAD	WOSecondM	1	24	10	173
CTNNB1_MET	LUAD	WithSecondM	1	3	1	10
CTNNB1_MET	LUAD	WOSecondM	1	23	10	189
CTNNB1_RBM10	LUAD	WithSecondM	1	2	4	10
CTNNB1_RBM10	LUAD	WOSecondM	1	24	7	189
CTNNB1_BRAF	LUAD	WithSecondM	1	3	3	15
CTNNB1_BRAF	LUAD	WOSecondM	1	23	8	184
CTNNB1_NF1	LUAD	WithSecondM	1	6	1	22
CTNNB1_NF1	LUAD	WOSecondM	1	20	10	177
CTNNB1_SETD2	LUAD	WithSecondM	1	3	1	16
CTNNB1_SETD2	LUAD	WOSecondM	1	23	10	183
CTNNB1_SMARCA4	LUAD	WithSecondM	1	4	2	12
CTNNB1_SMARCA4	LUAD	WOSecondM	1	22	9	187
CTNNB1_KRAS	LUAD	WithSecondM	1	13	3	65
CTNNB1_KRAS	LUAD	WOSecondM	1	13	8	134
MGA_CTNNB1	LUAD	WithSecondM	1	1	1	10
MGA_CTNNB1	LUAD	WOSecondM	1	26	8	154
MGA_CDKN2A	LUAD	WithSecondM	1	4	1	5
MGA_CDKN2A	LUAD	WOSecondM	1	23	8	159
MGA_TP53	LUAD	WithSecondM	1	11	3	54
MGA_TP53	LUAD	WOSecondM	1	16	6	110
MGA_KEAP1	LUAD	WithSecondM	1	11	4	34
MGA_KEAP1	LUAD	WOSecondM	1	16	5	130
MGA_U2AF1	LUAD	WithSecondM	1	1	1	4
MGA_U2AF1	LUAD	WOSecondM	1	26	8	160
