Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
CTNNB1_MGA	LUAD	WithSecondM	1	7	1	6
CTNNB1_MGA	LUAD	WOSecondM	3	164	7	196
CTNNB1_CDKN2A	LUAD	WithSecondM	1	7	1	7
CTNNB1_CDKN2A	LUAD	WOSecondM	3	164	7	195
CTNNB1_TP53	LUAD	WithSecondM	2	92	2	73
CTNNB1_TP53	LUAD	WOSecondM	2	79	6	129
CTNNB1_KEAP1	LUAD	WithSecondM	2	21	3	24
CTNNB1_KEAP1	LUAD	WOSecondM	2	150	5	178
CTNNB1_U2AF1	LUAD	WithSecondM	1	5	1	5
CTNNB1_U2AF1	LUAD	WOSecondM	3	166	7	197
CTNNB1_PIK3CA	LUAD	WithSecondM	1	6	1	10
CTNNB1_PIK3CA	LUAD	WOSecondM	3	165	7	192
CTNNB1_ARID1A	LUAD	WithSecondM	1	7	1	7
CTNNB1_ARID1A	LUAD	WOSecondM	3	164	7	195
CTNNB1_ATM	LUAD	WithSecondM	1	13	1	8
CTNNB1_ATM	LUAD	WOSecondM	3	158	7	194
CTNNB1_EGFR	LUAD	WithSecondM	2	28	2	21
CTNNB1_EGFR	LUAD	WOSecondM	2	143	6	181
CTNNB1_RB1	LUAD	WithSecondM	1	8	1	7
CTNNB1_RB1	LUAD	WOSecondM	3	163	7	195
CTNNB1_STK11	LUAD	WithSecondM	2	36	1	26
CTNNB1_STK11	LUAD	WOSecondM	2	135	7	176
CTNNB1_MET	LUAD	WithSecondM	1	4	1	7
CTNNB1_MET	LUAD	WOSecondM	3	167	7	195
CTNNB1_RBM10	LUAD	WithSecondM	1	12	3	11
CTNNB1_RBM10	LUAD	WOSecondM	3	159	5	191
CTNNB1_BRAF	LUAD	WithSecondM	1	10	3	15
CTNNB1_BRAF	LUAD	WOSecondM	3	161	5	187
CTNNB1_NF1	LUAD	WithSecondM	1	9	1	17
CTNNB1_NF1	LUAD	WOSecondM	3	162	7	185
CTNNB1_SETD2	LUAD	WithSecondM	1	9	1	15
CTNNB1_SETD2	LUAD	WOSecondM	3	162	7	187
CTNNB1_SMARCA4	LUAD	WithSecondM	1	12	1	10
CTNNB1_SMARCA4	LUAD	WOSecondM	3	159	7	192
CTNNB1_KRAS	LUAD	WithSecondM	1	51	2	68
CTNNB1_KRAS	LUAD	WOSecondM	3	120	6	134
