Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
HLA-A_KEAP1	LUSC	WithSecondM	1	6	1	15
HLA-A_KEAP1	LUSC	WOSecondM	1	107	3	220
HLA-A_NFE2L2	LUSC	WithSecondM	1	11	2	30
HLA-A_NFE2L2	LUSC	WOSecondM	1	102	2	205
HLA-A_RB1	LUSC	WithSecondM	1	14	1	12
HLA-A_RB1	LUSC	WOSecondM	1	99	3	223
HLA-A_KLF5	LUSC	WithSecondM	1	1	1	1
HLA-A_KLF5	LUSC	WOSecondM	1	112	3	234
HLA-A_KDM6A	LUSC	WithSecondM	1	4	1	8
HLA-A_KDM6A	LUSC	WOSecondM	1	109	3	227
HLA-A_NF1	LUSC	WithSecondM	1	8	1	12
HLA-A_NF1	LUSC	WOSecondM	1	105	3	223
HLA-A_HRAS	LUSC	WithSecondM	1	2	1	6
HLA-A_HRAS	LUSC	WOSecondM	1	111	3	229
HLA-A_CUL3	LUSC	WithSecondM	1	2	1	6
HLA-A_CUL3	LUSC	WOSecondM	1	111	3	229
HLA-A_CDKN2A	LUSC	WithSecondM	1	13	1	30
HLA-A_CDKN2A	LUSC	WOSecondM	1	100	3	205
HLA-A_KMT2D	LUSC	WithSecondM	1	17	1	29
HLA-A_KMT2D	LUSC	WOSecondM	1	96	3	206
HLA-A_EP300	LUSC	WithSecondM	1	6	1	4
HLA-A_EP300	LUSC	WOSecondM	1	107	3	231
HLA-A_FGFR2	LUSC	WithSecondM	1	3	1	4
HLA-A_FGFR2	LUSC	WOSecondM	1	110	3	231
HLA-A_RASA1	LUSC	WithSecondM	1	8	1	8
HLA-A_RASA1	LUSC	WOSecondM	1	105	3	227
HLA-A_TP53	LUSC	WithSecondM	1	94	3	180
HLA-A_TP53	LUSC	WOSecondM	1	19	1	55
HLA-A_ARID1A	LUSC	WithSecondM	1	6	1	11
HLA-A_ARID1A	LUSC	WOSecondM	1	107	3	224
HLA-A_NOTCH1	LUSC	WithSecondM	1	8	1	10
HLA-A_NOTCH1	LUSC	WOSecondM	1	105	3	225
HLA-A_PTEN	LUSC	WithSecondM	1	12	1	26
HLA-A_PTEN	LUSC	WOSecondM	1	101	3	209
HLA-A_FAT1	LUSC	WithSecondM	1	10	2	17
HLA-A_FAT1	LUSC	WOSecondM	1	103	2	218
HLA-A_ARHGAP35	LUSC	WithSecondM	1	5	1	6
HLA-A_ARHGAP35	LUSC	WOSecondM	1	108	3	229
