Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HLA-A_KEAP1	LUSC	WithSecondM	1	13	1	27
HLA-A_KEAP1	LUSC	WOSecondM	3	107	4	207
HLA-A_NFE2L2	LUSC	WithSecondM	1	27	2	32
HLA-A_NFE2L2	LUSC	WOSecondM	3	93	3	202
HLA-A_RB1	LUSC	WithSecondM	1	6	1	12
HLA-A_RB1	LUSC	WOSecondM	3	114	4	222
HLA-A_KLF5	LUSC	WithSecondM	1	3	1	6
HLA-A_KLF5	LUSC	WOSecondM	3	117	4	228
HLA-A_KDM6A	LUSC	WithSecondM	1	7	1	10
HLA-A_KDM6A	LUSC	WOSecondM	3	113	4	224
HLA-A_NF1	LUSC	WithSecondM	1	16	1	21
HLA-A_NF1	LUSC	WOSecondM	3	104	4	213
HLA-A_HRAS	LUSC	WithSecondM	1	2	1	6
HLA-A_HRAS	LUSC	WOSecondM	3	118	4	228
HLA-A_CUL3	LUSC	WithSecondM	1	9	1	8
HLA-A_CUL3	LUSC	WOSecondM	3	111	4	226
HLA-A_CDKN2A	LUSC	WithSecondM	2	25	1	31
HLA-A_CDKN2A	LUSC	WOSecondM	2	95	4	203
HLA-A_KMT2D	LUSC	WithSecondM	1	27	1	41
HLA-A_KMT2D	LUSC	WOSecondM	3	93	4	193
HLA-A_EP300	LUSC	WithSecondM	1	2	1	6
HLA-A_EP300	LUSC	WOSecondM	3	118	4	228
HLA-A_FGFR2	LUSC	WithSecondM	1	4	2	6
HLA-A_FGFR2	LUSC	WOSecondM	3	116	3	228
HLA-A_RASA1	LUSC	WithSecondM	1	5	1	13
HLA-A_RASA1	LUSC	WOSecondM	3	115	4	221
HLA-A_TP53	LUSC	WithSecondM	3	103	4	179
HLA-A_TP53	LUSC	WOSecondM	1	17	1	55
HLA-A_ARID1A	LUSC	WithSecondM	1	8	1	15
HLA-A_ARID1A	LUSC	WOSecondM	3	112	4	219
HLA-A_NOTCH1	LUSC	WithSecondM	1	12	2	16
HLA-A_NOTCH1	LUSC	WOSecondM	3	108	3	218
HLA-A_PTEN	LUSC	WithSecondM	1	14	2	26
HLA-A_PTEN	LUSC	WOSecondM	3	106	3	208
HLA-A_FAT1	LUSC	WithSecondM	1	17	2	24
HLA-A_FAT1	LUSC	WOSecondM	3	103	3	210
HLA-A_ARHGAP35	LUSC	WithSecondM	1	6	1	13
HLA-A_ARHGAP35	LUSC	WOSecondM	3	114	4	221
HLA-A_PIK3CA	LUSC	WithSecondM	2	11	2	31
HLA-A_PIK3CA	LUSC	WOSecondM	2	109	3	203
HLA-A_FBXW7	LUSC	WithSecondM	1	10	1	8
HLA-A_FBXW7	LUSC	WOSecondM	3	110	4	226
KEAP1_HLA-A	LUSC	WithSecondM	1	3	1	3
KEAP1_HLA-A	LUSC	WOSecondM	35	144	6	184
KEAP1_NFE2L2	LUSC	WithSecondM	4	18	1	26
KEAP1_NFE2L2	LUSC	WOSecondM	32	129	6	161
KEAP1_RB1	LUSC	WithSecondM	5	11	2	10
KEAP1_RB1	LUSC	WOSecondM	31	136	5	177
KEAP1_KLF5	LUSC	WithSecondM	2	5	1	6
KEAP1_KLF5	LUSC	WOSecondM	34	142	6	181
KEAP1_KDM6A	LUSC	WithSecondM	1	7	1	11
KEAP1_KDM6A	LUSC	WOSecondM	35	140	6	176
KEAP1_NF1	LUSC	WithSecondM	4	25	1	10
KEAP1_NF1	LUSC	WOSecondM	32	122	6	177
KEAP1_HRAS	LUSC	WithSecondM	2	3	1	4
KEAP1_HRAS	LUSC	WOSecondM	34	144	6	183
KEAP1_CUL3	LUSC	WithSecondM	2	9	1	4
KEAP1_CUL3	LUSC	WOSecondM	34	138	6	183
KEAP1_CDKN2A	LUSC	WithSecondM	4	18	2	25
KEAP1_CDKN2A	LUSC	WOSecondM	32	129	5	162
KEAP1_KMT2D	LUSC	WithSecondM	9	31	2	37
KEAP1_KMT2D	LUSC	WOSecondM	27	116	5	150
KEAP1_EP300	LUSC	WithSecondM	4	4	1	9
KEAP1_EP300	LUSC	WOSecondM	32	143	6	178
KEAP1_FGFR2	LUSC	WithSecondM	1	5	2	8
KEAP1_FGFR2	LUSC	WOSecondM	35	142	5	179
KEAP1_RASA1	LUSC	WithSecondM	3	9	1	13
KEAP1_RASA1	LUSC	WOSecondM	33	138	6	174
KEAP1_TP53	LUSC	WithSecondM	30	115	6	146
KEAP1_TP53	LUSC	WOSecondM	6	32	1	41
KEAP1_ARID1A	LUSC	WithSecondM	5	11	1	11
KEAP1_ARID1A	LUSC	WOSecondM	31	136	6	176
KEAP1_NOTCH1	LUSC	WithSecondM	2	18	1	15
KEAP1_NOTCH1	LUSC	WOSecondM	34	129	6	172
KEAP1_PTEN	LUSC	WithSecondM	2	22	4	18
KEAP1_PTEN	LUSC	WOSecondM	34	125	3	169
KEAP1_FAT1	LUSC	WithSecondM	2	25	1	22
KEAP1_FAT1	LUSC	WOSecondM	34	122	6	165
KEAP1_ARHGAP35	LUSC	WithSecondM	1	10	1	11
KEAP1_ARHGAP35	LUSC	WOSecondM	35	137	6	176
KEAP1_PIK3CA	LUSC	WithSecondM	2	12	2	24
KEAP1_PIK3CA	LUSC	WOSecondM	34	135	5	163
KEAP1_FBXW7	LUSC	WithSecondM	6	5	1	9
KEAP1_FBXW7	LUSC	WOSecondM	30	142	6	178
NFE2L2_HLA-A	LUSC	WithSecondM	1	1	1	5
NFE2L2_HLA-A	LUSC	WOSecondM	8	40	31	230
NFE2L2_KEAP1	LUSC	WithSecondM	2	5	1	18
NFE2L2_KEAP1	LUSC	WOSecondM	7	36	31	217
NFE2L2_RB1	LUSC	WithSecondM	1	4	3	15
NFE2L2_RB1	LUSC	WOSecondM	8	37	29	220
NFE2L2_KLF5	LUSC	WithSecondM	1	1	3	5
NFE2L2_KLF5	LUSC	WOSecondM	8	40	29	230
NFE2L2_KDM6A	LUSC	WithSecondM	2	3	4	7
NFE2L2_KDM6A	LUSC	WOSecondM	7	38	28	228
NFE2L2_NF1	LUSC	WithSecondM	2	5	1	21
NFE2L2_NF1	LUSC	WOSecondM	7	36	31	214
NFE2L2_HRAS	LUSC	WithSecondM	1	2	1	5
NFE2L2_HRAS	LUSC	WOSecondM	8	39	31	230
NFE2L2_CUL3	LUSC	WithSecondM	1	3	3	5
NFE2L2_CUL3	LUSC	WOSecondM	8	38	29	230
NFE2L2_CDKN2A	LUSC	WithSecondM	3	5	9	30
NFE2L2_CDKN2A	LUSC	WOSecondM	6	36	23	205
NFE2L2_KMT2D	LUSC	WithSecondM	2	16	6	43
NFE2L2_KMT2D	LUSC	WOSecondM	7	25	26	192
NFE2L2_EP300	LUSC	WithSecondM	4	6	1	5
NFE2L2_EP300	LUSC	WOSecondM	5	35	31	230
NFE2L2_FGFR2	LUSC	WithSecondM	1	3	3	7
NFE2L2_FGFR2	LUSC	WOSecondM	8	38	29	228
NFE2L2_RASA1	LUSC	WithSecondM	1	2	2	18
NFE2L2_RASA1	LUSC	WOSecondM	8	39	30	217
NFE2L2_TP53	LUSC	WithSecondM	8	35	27	179
NFE2L2_TP53	LUSC	WOSecondM	1	6	5	56
NFE2L2_ARID1A	LUSC	WithSecondM	2	4	3	15
NFE2L2_ARID1A	LUSC	WOSecondM	7	37	29	220
NFE2L2_NOTCH1	LUSC	WithSecondM	2	3	4	20
NFE2L2_NOTCH1	LUSC	WOSecondM	7	38	28	215
NFE2L2_PTEN	LUSC	WithSecondM	1	4	2	27
NFE2L2_PTEN	LUSC	WOSecondM	8	37	30	208
NFE2L2_FAT1	LUSC	WithSecondM	4	5	4	27
NFE2L2_FAT1	LUSC	WOSecondM	5	36	28	208
NFE2L2_ARHGAP35	LUSC	WithSecondM	2	4	3	14
NFE2L2_ARHGAP35	LUSC	WOSecondM	7	37	29	221
NFE2L2_PIK3CA	LUSC	WithSecondM	2	5	7	23
NFE2L2_PIK3CA	LUSC	WOSecondM	7	36	25	212
NFE2L2_FBXW7	LUSC	WithSecondM	2	4	2	9
NFE2L2_FBXW7	LUSC	WOSecondM	7	37	30	226
RB1_HLA-A	LUSC	WithSecondM	1	4	1	2
RB1_HLA-A	LUSC	WOSecondM	24	282	6	106
RB1_KEAP1	LUSC	WithSecondM	6	28	1	6
RB1_KEAP1	LUSC	WOSecondM	19	258	6	102
RB1_NFE2L2	LUSC	WithSecondM	2	47	3	16
RB1_NFE2L2	LUSC	WOSecondM	23	239	4	92
RB1_KLF5	LUSC	WithSecondM	3	8	1	2
RB1_KLF5	LUSC	WOSecondM	22	278	6	106
RB1_KDM6A	LUSC	WithSecondM	1	14	1	7
RB1_KDM6A	LUSC	WOSecondM	24	272	6	101
RB1_NF1	LUSC	WithSecondM	4	36	1	5
RB1_NF1	LUSC	WOSecondM	21	250	6	103
RB1_HRAS	LUSC	WithSecondM	1	4	2	4
RB1_HRAS	LUSC	WOSecondM	24	282	5	104
RB1_CUL3	LUSC	WithSecondM	1	12	1	4
