Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
ZMYM3_TP53	PRAD	WithSecondM	1	4	2	45
ZMYM3_TP53	PRAD	WOSecondM	1	8	6	310
ZMYM3_KMT2D	PRAD	WithSecondM	1	2	2	20
ZMYM3_KMT2D	PRAD	WOSecondM	1	10	6	335
ZMYM3_SPOP	PRAD	WithSecondM	1	3	2	39
ZMYM3_SPOP	PRAD	WOSecondM	1	9	6	316
ZMYM3_PIK3CA	PRAD	WithSecondM	1	2	1	5
ZMYM3_PIK3CA	PRAD	WOSecondM	1	10	7	350
ZMYM3_IDH1	PRAD	WithSecondM	1	1	1	4
ZMYM3_IDH1	PRAD	WOSecondM	1	11	7	351
ZMYM3_FOXA1	PRAD	WithSecondM	1	2	1	18
ZMYM3_FOXA1	PRAD	WOSecondM	1	10	7	337
ZMYM3_PTEN	PRAD	WithSecondM	1	1	2	14
ZMYM3_PTEN	PRAD	WOSecondM	1	11	6	341
ZMYM3_MED12	PRAD	WithSecondM	1	1	1	6
ZMYM3_MED12	PRAD	WOSecondM	1	11	7	349
ZMYM3_AKT1	PRAD	WithSecondM	1	1	1	4
ZMYM3_AKT1	PRAD	WOSecondM	1	11	7	351
ZMYM3_BRAF	PRAD	WithSecondM	1	1	1	6
ZMYM3_BRAF	PRAD	WOSecondM	1	11	7	349
ZMYM3_APC	PRAD	WithSecondM	1	3	1	6
ZMYM3_APC	PRAD	WOSecondM	1	9	7	349
ZMYM3_KDM6A	PRAD	WithSecondM	1	1	1	8
ZMYM3_KDM6A	PRAD	WOSecondM	1	11	7	347
ZMYM3_HRAS	PRAD	WithSecondM	1	1	1	5
ZMYM3_HRAS	PRAD	WOSecondM	1	11	7	350
ZMYM3_CTNNB1	PRAD	WithSecondM	1	2	1	7
ZMYM3_CTNNB1	PRAD	WOSecondM	1	10	7	348
TP53_ZMYM3	PRAD	WithSecondM	1	1	1	3
TP53_ZMYM3	PRAD	WOSecondM	1	1	8	247
TP53_KMT2D	PRAD	WithSecondM	1	1	1	14
TP53_KMT2D	PRAD	WOSecondM	1	1	8	236
TP53_SPOP	PRAD	WithSecondM	1	1	3	40
TP53_SPOP	PRAD	WOSecondM	1	1	6	210
TP53_PIK3CA	PRAD	WithSecondM	1	1	1	4
TP53_PIK3CA	PRAD	WOSecondM	1	1	8	246
TP53_IDH1	PRAD	WithSecondM	1	1	1	4
TP53_IDH1	PRAD	WOSecondM	1	1	8	246
TP53_FOXA1	PRAD	WithSecondM	1	1	2	15
TP53_FOXA1	PRAD	WOSecondM	1	1	7	235
TP53_PTEN	PRAD	WithSecondM	1	1	1	9
TP53_PTEN	PRAD	WOSecondM	1	1	8	241
TP53_MED12	PRAD	WithSecondM	1	1	1	5
TP53_MED12	PRAD	WOSecondM	1	1	8	245
