Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
ZMYM3_TP53	PRAD	WithSecondM	1	5	1	46
ZMYM3_TP53	PRAD	WOSecondM	1	23	4	312
ZMYM3_KMT2D	PRAD	WithSecondM	1	1	1	16
ZMYM3_KMT2D	PRAD	WOSecondM	1	27	4	342
ZMYM3_SPOP	PRAD	WithSecondM	1	5	1	40
ZMYM3_SPOP	PRAD	WOSecondM	1	23	4	318
ZMYM3_PIK3CA	PRAD	WithSecondM	1	1	1	5
ZMYM3_PIK3CA	PRAD	WOSecondM	1	27	4	353
ZMYM3_IDH1	PRAD	WithSecondM	1	1	1	4
ZMYM3_IDH1	PRAD	WOSecondM	1	27	4	354
ZMYM3_FOXA1	PRAD	WithSecondM	1	2	1	13
ZMYM3_FOXA1	PRAD	WOSecondM	1	26	4	345
ZMYM3_PTEN	PRAD	WithSecondM	1	2	1	14
ZMYM3_PTEN	PRAD	WOSecondM	1	26	4	344
ZMYM3_MED12	PRAD	WithSecondM	1	1	1	6
ZMYM3_MED12	PRAD	WOSecondM	1	27	4	352
ZMYM3_AKT1	PRAD	WithSecondM	1	1	1	4
ZMYM3_AKT1	PRAD	WOSecondM	1	27	4	354
ZMYM3_BRAF	PRAD	WithSecondM	1	1	1	6
ZMYM3_BRAF	PRAD	WOSecondM	1	27	4	352
ZMYM3_APC	PRAD	WithSecondM	1	1	1	4
ZMYM3_APC	PRAD	WOSecondM	1	27	4	354
ZMYM3_KDM6A	PRAD	WithSecondM	1	1	1	7
ZMYM3_KDM6A	PRAD	WOSecondM	1	27	4	351
ZMYM3_HRAS	PRAD	WithSecondM	1	1	1	5
ZMYM3_HRAS	PRAD	WOSecondM	1	27	4	353
ZMYM3_CTNNB1	PRAD	WithSecondM	1	1	1	7
ZMYM3_CTNNB1	PRAD	WOSecondM	1	27	4	351
TP53_ZMYM3	PRAD	WithSecondM	1	1	1	3
TP53_ZMYM3	PRAD	WOSecondM	44	82	8	247
TP53_KMT2D	PRAD	WithSecondM	5	2	1	11
TP53_KMT2D	PRAD	WOSecondM	40	81	8	239
TP53_SPOP	PRAD	WithSecondM	3	3	3	40
TP53_SPOP	PRAD	WOSecondM	42	80	6	210
TP53_PIK3CA	PRAD	WithSecondM	3	2	1	3
TP53_PIK3CA	PRAD	WOSecondM	42	81	8	247
TP53_IDH1	PRAD	WithSecondM	1	1	1	4
TP53_IDH1	PRAD	WOSecondM	44	82	8	246
TP53_FOXA1	PRAD	WithSecondM	1	3	2	12
TP53_FOXA1	PRAD	WOSecondM	44	80	7	238
TP53_PTEN	PRAD	WithSecondM	2	7	1	8
TP53_PTEN	PRAD	WOSecondM	43	76	8	242
TP53_MED12	PRAD	WithSecondM	2	1	1	5
TP53_MED12	PRAD	WOSecondM	43	82	8	245
TP53_AKT1	PRAD	WithSecondM	1	1	1	3
TP53_AKT1	PRAD	WOSecondM	44	82	8	247
TP53_BRAF	PRAD	WithSecondM	2	1	1	5
TP53_BRAF	PRAD	WOSecondM	43	82	8	245
TP53_APC	PRAD	WithSecondM	1	2	1	5
TP53_APC	PRAD	WOSecondM	44	81	8	245
TP53_KDM6A	PRAD	WithSecondM	2	3	1	4
TP53_KDM6A	PRAD	WOSecondM	43	80	8	246
TP53_HRAS	PRAD	WithSecondM	1	2	1	4
TP53_HRAS	PRAD	WOSecondM	44	81	8	246
TP53_CTNNB1	PRAD	WithSecondM	3	2	1	5
TP53_CTNNB1	PRAD	WOSecondM	42	81	8	245
KMT2D_ZMYM3	PRAD	WithSecondM	1	1	1	4
KMT2D_ZMYM3	PRAD	WOSecondM	2	21	13	347
KMT2D_TP53	PRAD	WithSecondM	2	9	3	38
KMT2D_TP53	PRAD	WOSecondM	1	13	11	313
KMT2D_SPOP	PRAD	WithSecondM	1	1	2	42
KMT2D_SPOP	PRAD	WOSecondM	2	21	12	309
KMT2D_PIK3CA	PRAD	WithSecondM	1	1	1	5
KMT2D_PIK3CA	PRAD	WOSecondM	2	21	13	346
KMT2D_IDH1	PRAD	WithSecondM	1	1	1	4
KMT2D_IDH1	PRAD	WOSecondM	2	21	13	347
KMT2D_FOXA1	PRAD	WithSecondM	1	2	1	14
KMT2D_FOXA1	PRAD	WOSecondM	2	20	13	337
KMT2D_PTEN	PRAD	WithSecondM	1	4	1	12
KMT2D_PTEN	PRAD	WOSecondM	2	18	13	339
KMT2D_MED12	PRAD	WithSecondM	1	1	1	5
KMT2D_MED12	PRAD	WOSecondM	2	21	13	346
KMT2D_AKT1	PRAD	WithSecondM	1	2	1	3
KMT2D_AKT1	PRAD	WOSecondM	2	20	13	348
KMT2D_BRAF	PRAD	WithSecondM	1	1	1	6
KMT2D_BRAF	PRAD	WOSecondM	2	21	13	345
KMT2D_APC	PRAD	WithSecondM	1	1	1	5
KMT2D_APC	PRAD	WOSecondM	2	21	13	346
KMT2D_KDM6A	PRAD	WithSecondM	1	2	1	6
KMT2D_KDM6A	PRAD	WOSecondM	2	20	13	345
KMT2D_HRAS	PRAD	WithSecondM	1	2	1	4
KMT2D_HRAS	PRAD	WOSecondM	2	20	13	347
KMT2D_CTNNB1	PRAD	WithSecondM	1	1	1	7
KMT2D_CTNNB1	PRAD	WOSecondM	2	21	13	344
SPOP_ZMYM3	PRAD	WithSecondM	1	1	1	4
SPOP_ZMYM3	PRAD	WOSecondM	1	19	46	312
SPOP_TP53	PRAD	WithSecondM	1	6	5	37
SPOP_TP53	PRAD	WOSecondM	1	14	42	279
SPOP_KMT2D	PRAD	WithSecondM	1	2	3	13
SPOP_KMT2D	PRAD	WOSecondM	1	18	44	303
SPOP_PIK3CA	PRAD	WithSecondM	1	1	2	5
SPOP_PIK3CA	PRAD	WOSecondM	1	19	45	311
SPOP_IDH1	PRAD	WithSecondM	1	1	1	4
SPOP_IDH1	PRAD	WOSecondM	1	19	46	312
SPOP_FOXA1	PRAD	WithSecondM	1	2	4	11
SPOP_FOXA1	PRAD	WOSecondM	1	18	43	305
SPOP_PTEN	PRAD	WithSecondM	1	1	2	12
SPOP_PTEN	PRAD	WOSecondM	1	19	45	304
SPOP_MED12	PRAD	WithSecondM	1	1	1	5
SPOP_MED12	PRAD	WOSecondM	1	19	46	311
SPOP_AKT1	PRAD	WithSecondM	1	1	1	4
SPOP_AKT1	PRAD	WOSecondM	1	19	46	312
SPOP_BRAF	PRAD	WithSecondM	1	1	4	3
SPOP_BRAF	PRAD	WOSecondM	1	19	43	313
SPOP_APC	PRAD	WithSecondM	1	1	4	2
SPOP_APC	PRAD	WOSecondM	1	19	43	314
SPOP_KDM6A	PRAD	WithSecondM	1	2	1	6
SPOP_KDM6A	PRAD	WOSecondM	1	18	46	310
SPOP_HRAS	PRAD	WithSecondM	1	1	1	5
SPOP_HRAS	PRAD	WOSecondM	1	19	46	311
SPOP_CTNNB1	PRAD	WithSecondM	1	1	2	7
SPOP_CTNNB1	PRAD	WOSecondM	1	19	45	309
PIK3CA_ZMYM3	PRAD	WithSecondM	1	1	1	4
PIK3CA_ZMYM3	PRAD	WOSecondM	1	7	5	314
PIK3CA_TP53	PRAD	WithSecondM	1	2	3	35
PIK3CA_TP53	PRAD	WOSecondM	1	6	3	283
PIK3CA_KMT2D	PRAD	WithSecondM	1	2	1	13
PIK3CA_KMT2D	PRAD	WOSecondM	1	6	5	305
PIK3CA_SPOP	PRAD	WithSecondM	1	1	1	33
PIK3CA_SPOP	PRAD	WOSecondM	1	7	5	285
PIK3CA_IDH1	PRAD	WithSecondM	1	2	1	3
