Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
HRAS_CTNNB1	SKCM	WithSecondM	1	3	1	8
HRAS_CTNNB1	SKCM	WOSecondM	2	36	2	183
HRAS_MAP2K1	SKCM	WithSecondM	1	5	1	7
HRAS_MAP2K1	SKCM	WOSecondM	2	34	2	184
HRAS_MECOM	SKCM	WithSecondM	1	2	1	3
HRAS_MECOM	SKCM	WOSecondM	2	37	2	188
HRAS_NRAS	SKCM	WithSecondM	1	12	2	56
HRAS_NRAS	SKCM	WOSecondM	2	27	1	135
HRAS_RB1	SKCM	WithSecondM	1	2	1	10
HRAS_RB1	SKCM	WOSecondM	2	37	2	181
HRAS_PPP6C	SKCM	WithSecondM	1	2	1	9
HRAS_PPP6C	SKCM	WOSecondM	2	37	2	182
HRAS_NF1	SKCM	WithSecondM	2	2	1	13
HRAS_NF1	SKCM	WOSecondM	1	37	2	178
HRAS_CDKN2A	SKCM	WithSecondM	2	5	1	19
HRAS_CDKN2A	SKCM	WOSecondM	1	34	2	172
HRAS_DDX3X	SKCM	WithSecondM	1	3	1	13
HRAS_DDX3X	SKCM	WOSecondM	2	36	2	178
HRAS_RQCD1	SKCM	WithSecondM	1	1	1	7
HRAS_RQCD1	SKCM	WOSecondM	2	38	2	184
HRAS_RAC1	SKCM	WithSecondM	1	2	1	11
HRAS_RAC1	SKCM	WOSecondM	2	37	2	180
HRAS_ARID2	SKCM	WithSecondM	1	4	1	17
HRAS_ARID2	SKCM	WOSecondM	2	35	2	174
HRAS_IDH1	SKCM	WithSecondM	1	3	1	9
HRAS_IDH1	SKCM	WOSecondM	2	36	2	182
HRAS_COL5A1	SKCM	WithSecondM	1	1	1	6
HRAS_COL5A1	SKCM	WOSecondM	2	38	2	185
HRAS_DACH1	SKCM	WithSecondM	1	2	1	3
HRAS_DACH1	SKCM	WOSecondM	2	37	2	188
HRAS_BRD7	SKCM	WithSecondM	1	2	1	3
HRAS_BRD7	SKCM	WOSecondM	2	37	2	188
HRAS_KRAS	SKCM	WithSecondM	1	1	1	5
HRAS_KRAS	SKCM	WOSecondM	2	38	2	186
HRAS_TP53	SKCM	WithSecondM	1	4	1	19
HRAS_TP53	SKCM	WOSecondM	2	35	2	172
HRAS_KIT	SKCM	WithSecondM	1	2	1	8
HRAS_KIT	SKCM	WOSecondM	2	37	2	183
HRAS_PTEN	SKCM	WithSecondM	1	6	1	17
HRAS_PTEN	SKCM	WOSecondM	2	33	2	174
HRAS_CDK4	SKCM	WithSecondM	1	1	1	10
HRAS_CDK4	SKCM	WOSecondM	2	38	2	181
HRAS_BRAF	SKCM	WithSecondM	1	23	1	98
HRAS_BRAF	SKCM	WOSecondM	2	16	2	93
HRAS_GNA11	SKCM	WithSecondM	1	2	1	4
HRAS_GNA11	SKCM	WOSecondM	2	37	2	187
CTNNB1_HRAS	SKCM	WithSecondM	1	2	1	1
CTNNB1_HRAS	SKCM	WOSecondM	3	53	10	199
CTNNB1_MAP2K1	SKCM	WithSecondM	1	9	2	7
CTNNB1_MAP2K1	SKCM	WOSecondM	3	46	9	193
CTNNB1_MECOM	SKCM	WithSecondM	1	1	1	3
CTNNB1_MECOM	SKCM	WOSecondM	3	54	10	197
CTNNB1_NRAS	SKCM	WithSecondM	1	21	4	68
CTNNB1_NRAS	SKCM	WOSecondM	3	34	7	132
