Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HRAS_CTNNB1	SKCM	WithSecondM	1	7	1	9
HRAS_CTNNB1	SKCM	WOSecondM	1	93	2	182
HRAS_MAP2K1	SKCM	WithSecondM	1	9	1	7
HRAS_MAP2K1	SKCM	WOSecondM	1	91	2	184
HRAS_MECOM	SKCM	WithSecondM	1	14	1	38
HRAS_MECOM	SKCM	WOSecondM	1	86	2	153
HRAS_NRAS	SKCM	WithSecondM	1	35	2	55
HRAS_NRAS	SKCM	WOSecondM	1	65	1	136
HRAS_RB1	SKCM	WithSecondM	1	2	1	9
HRAS_RB1	SKCM	WOSecondM	1	98	2	182
HRAS_PPP6C	SKCM	WithSecondM	1	10	1	11
HRAS_PPP6C	SKCM	WOSecondM	1	90	2	180
HRAS_NF1	SKCM	WithSecondM	1	9	1	21
HRAS_NF1	SKCM	WOSecondM	1	91	2	170
HRAS_CDKN2A	SKCM	WithSecondM	1	18	1	19
HRAS_CDKN2A	SKCM	WOSecondM	1	82	2	172
HRAS_DDX3X	SKCM	WithSecondM	1	5	1	15
HRAS_DDX3X	SKCM	WOSecondM	1	95	2	176
HRAS_RQCD1	SKCM	WithSecondM	1	5	1	7
HRAS_RQCD1	SKCM	WOSecondM	1	95	2	184
HRAS_RAC1	SKCM	WithSecondM	1	6	1	11
HRAS_RAC1	SKCM	WOSecondM	1	94	2	180
HRAS_ARID2	SKCM	WithSecondM	1	10	1	22
HRAS_ARID2	SKCM	WOSecondM	1	90	2	169
HRAS_IDH1	SKCM	WithSecondM	1	6	1	9
HRAS_IDH1	SKCM	WOSecondM	1	94	2	182
HRAS_COL5A1	SKCM	WithSecondM	1	11	1	35
HRAS_COL5A1	SKCM	WOSecondM	1	89	2	156
HRAS_DACH1	SKCM	WithSecondM	1	7	1	14
HRAS_DACH1	SKCM	WOSecondM	1	93	2	177
HRAS_BRD7	SKCM	WithSecondM	1	3	1	4
HRAS_BRD7	SKCM	WOSecondM	1	97	2	187
HRAS_KRAS	SKCM	WithSecondM	1	2	1	5
HRAS_KRAS	SKCM	WOSecondM	1	98	2	186
HRAS_TP53	SKCM	WithSecondM	1	19	1	20
HRAS_TP53	SKCM	WOSecondM	1	81	2	171
HRAS_KIT	SKCM	WithSecondM	1	6	1	6
HRAS_KIT	SKCM	WOSecondM	1	94	2	185
HRAS_PTEN	SKCM	WithSecondM	1	9	1	18
HRAS_PTEN	SKCM	WOSecondM	1	91	2	173
HRAS_CDK4	SKCM	WithSecondM	1	3	1	8
HRAS_CDK4	SKCM	WOSecondM	1	97	2	183
HRAS_BRAF	SKCM	WithSecondM	1	48	1	97
HRAS_BRAF	SKCM	WOSecondM	1	52	2	94
HRAS_GNA11	SKCM	WithSecondM	1	4	1	4
HRAS_GNA11	SKCM	WOSecondM	1	96	2	187
CTNNB1_HRAS	SKCM	WithSecondM	1	2	1	1
CTNNB1_HRAS	SKCM	WOSecondM	5	60	11	198
