Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
DMD_SMAD4	STAD	WithSecondM	1	3	3	16
DMD_SMAD4	STAD	WOSecondM	2	51	3	191
DMD_SMAD2	STAD	WithSecondM	1	2	1	4
DMD_SMAD2	STAD	WOSecondM	2	52	5	203
DMD_CTNNB1	STAD	WithSecondM	1	7	1	6
DMD_CTNNB1	STAD	WOSecondM	2	47	5	201
DMD_FAM46D	STAD	WithSecondM	1	1	1	1
DMD_FAM46D	STAD	WOSecondM	2	53	5	206
DMD_PIK3CA	STAD	WithSecondM	1	5	3	26
DMD_PIK3CA	STAD	WOSecondM	2	49	3	181
DMD_CDH1	STAD	WithSecondM	1	4	1	20
DMD_CDH1	STAD	WOSecondM	2	50	5	187
DMD_FBXW7	STAD	WithSecondM	2	2	1	5
DMD_FBXW7	STAD	WOSecondM	1	52	5	202
DMD_ERBB2	STAD	WithSecondM	1	2	1	7
DMD_ERBB2	STAD	WOSecondM	2	52	5	200
DMD_CDKN2A	STAD	WithSecondM	1	3	1	7
DMD_CDKN2A	STAD	WOSecondM	2	51	5	200
DMD_ERBB4	STAD	WithSecondM	1	1	1	6
DMD_ERBB4	STAD	WOSecondM	2	53	5	201
DMD_ARID2	STAD	WithSecondM	1	3	1	11
DMD_ARID2	STAD	WOSecondM	2	51	5	196
DMD_RNF43	STAD	WithSecondM	1	2	1	10
DMD_RNF43	STAD	WOSecondM	2	52	5	197
DMD_MUC6	STAD	WithSecondM	1	1	1	6
DMD_MUC6	STAD	WOSecondM	2	53	5	201
DMD_BCOR	STAD	WithSecondM	1	1	1	12
DMD_BCOR	STAD	WOSecondM	2	53	5	195
DMD_RHOA	STAD	WithSecondM	1	3	2	17
DMD_RHOA	STAD	WOSecondM	2	51	4	190
DMD_RASA1	STAD	WithSecondM	1	2	1	4
DMD_RASA1	STAD	WOSecondM	2	52	5	203
DMD_KRAS	STAD	WithSecondM	1	5	1	14
DMD_KRAS	STAD	WOSecondM	2	49	5	193
DMD_TP53	STAD	WithSecondM	1	33	2	91
DMD_TP53	STAD	WOSecondM	2	21	4	116
DMD_ARID1A	STAD	WithSecondM	1	6	3	37
DMD_ARID1A	STAD	WOSecondM	2	48	3	170
DMD_CASP8	STAD	WithSecondM	1	2	1	6
DMD_CASP8	STAD	WOSecondM	2	52	5	201
DMD_PTEN	STAD	WithSecondM	1	4	1	9
DMD_PTEN	STAD	WOSecondM	2	50	5	198
DMD_CNBD1	STAD	WithSecondM	1	1	1	1
DMD_CNBD1	STAD	WOSecondM	2	53	5	206
DMD_APC	STAD	WithSecondM	1	4	1	11
DMD_APC	STAD	WOSecondM	2	50	5	196
SMAD4_DMD	STAD	WithSecondM	2	4	2	3
SMAD4_DMD	STAD	WOSecondM	22	146	2	128
SMAD4_SMAD2	STAD	WithSecondM	1	3	1	3
SMAD4_SMAD2	STAD	WOSecondM	23	147	3	128
SMAD4_CTNNB1	STAD	WithSecondM	3	5	1	8
SMAD4_CTNNB1	STAD	WOSecondM	21	145	3	123
SMAD4_FAM46D	STAD	WithSecondM	1	1	1	1
SMAD4_FAM46D	STAD	WOSecondM	23	149	3	130
SMAD4_PIK3CA	STAD	WithSecondM	3	15	1	15
SMAD4_PIK3CA	STAD	WOSecondM	21	135	3	116
SMAD4_CDH1	STAD	WithSecondM	3	7	1	16
SMAD4_CDH1	STAD	WOSecondM	21	143	3	115
SMAD4_FBXW7	STAD	WithSecondM	1	2	1	5
SMAD4_FBXW7	STAD	WOSecondM	23	148	3	126
SMAD4_ERBB2	STAD	WithSecondM	2	6	1	4
SMAD4_ERBB2	STAD	WOSecondM	22	144	3	127
SMAD4_CDKN2A	STAD	WithSecondM	2	7	1	5
SMAD4_CDKN2A	STAD	WOSecondM	22	143	3	126
SMAD4_ERBB4	STAD	WithSecondM	1	3	1	6
SMAD4_ERBB4	STAD	WOSecondM	23	147	3	125
SMAD4_ARID2	STAD	WithSecondM	4	5	1	5
SMAD4_ARID2	STAD	WOSecondM	20	145	3	126
SMAD4_RNF43	STAD	WithSecondM	2	5	1	8
SMAD4_RNF43	STAD	WOSecondM	22	145	3	123
SMAD4_MUC6	STAD	WithSecondM	1	4	1	3
SMAD4_MUC6	STAD	WOSecondM	23	146	3	128
SMAD4_BCOR	STAD	WithSecondM	2	4	1	9
SMAD4_BCOR	STAD	WOSecondM	22	146	3	122
SMAD4_RHOA	STAD	WithSecondM	3	4	1	15
SMAD4_RHOA	STAD	WOSecondM	21	146	3	116
SMAD4_RASA1	STAD	WithSecondM	2	4	1	2
SMAD4_RASA1	STAD	WOSecondM	22	146	3	129
SMAD4_KRAS	STAD	WithSecondM	5	8	1	11
SMAD4_KRAS	STAD	WOSecondM	19	142	3	120
SMAD4_TP53	STAD	WithSecondM	12	95	2	40
SMAD4_TP53	STAD	WOSecondM	12	55	2	91
SMAD4_ARID1A	STAD	WithSecondM	5	23	2	24
SMAD4_ARID1A	STAD	WOSecondM	19	127	2	107
SMAD4_CASP8	STAD	WithSecondM	1	1	1	7
SMAD4_CASP8	STAD	WOSecondM	23	149	3	124
SMAD4_PTEN	STAD	WithSecondM	1	6	1	6
SMAD4_PTEN	STAD	WOSecondM	23	144	3	125
SMAD4_CNBD1	STAD	WithSecondM	1	1	1	1
SMAD4_CNBD1	STAD	WOSecondM	23	149	3	130
SMAD4_APC	STAD	WithSecondM	3	7	1	8
SMAD4_APC	STAD	WOSecondM	21	143	3	123
SMAD2_DMD	STAD	WithSecondM	1	5	1	4
SMAD2_DMD	STAD	WOSecondM	3	176	4	134
SMAD2_SMAD4	STAD	WithSecondM	1	23	1	4
SMAD2_SMAD4	STAD	WOSecondM	3	158	4	134
SMAD2_CTNNB1	STAD	WithSecondM	1	7	1	8
SMAD2_CTNNB1	STAD	WOSecondM	3	174	4	130
SMAD2_FAM46D	STAD	WithSecondM	1	1	1	1
SMAD2_FAM46D	STAD	WOSecondM	3	180	4	137
SMAD2_PIK3CA	STAD	WithSecondM	1	17	2	15
SMAD2_PIK3CA	STAD	WOSecondM	3	164	3	123
SMAD2_CDH1	STAD	WithSecondM	1	9	1	16
SMAD2_CDH1	STAD	WOSecondM	3	172	4	122
SMAD2_FBXW7	STAD	WithSecondM	1	5	3	4
SMAD2_FBXW7	STAD	WOSecondM	3	176	2	134
SMAD2_ERBB2	STAD	WithSecondM	1	7	1	4
SMAD2_ERBB2	STAD	WOSecondM	3	174	4	134
SMAD2_CDKN2A	STAD	WithSecondM	1	9	1	5
SMAD2_CDKN2A	STAD	WOSecondM	3	172	4	133
SMAD2_ERBB4	STAD	WithSecondM	1	3	1	6
SMAD2_ERBB4	STAD	WOSecondM	3	178	4	132
SMAD2_ARID2	STAD	WithSecondM	1	9	1	5
SMAD2_ARID2	STAD	WOSecondM	3	172	4	133
SMAD2_RNF43	STAD	WithSecondM	1	6	1	8
SMAD2_RNF43	STAD	WOSecondM	3	175	4	130
SMAD2_MUC6	STAD	WithSecondM	1	4	1	3
SMAD2_MUC6	STAD	WOSecondM	3	177	4	135
SMAD2_BCOR	STAD	WithSecondM	1	5	2	8
SMAD2_BCOR	STAD	WOSecondM	3	176	3	130
SMAD2_RHOA	STAD	WithSecondM	1	5	2	15
SMAD2_RHOA	STAD	WOSecondM	3	176	3	123
SMAD2_RASA1	STAD	WithSecondM	1	6	1	2
SMAD2_RASA1	STAD	WOSecondM	3	175	4	136
SMAD2_KRAS	STAD	WithSecondM	1	12	1	10
SMAD2_KRAS	STAD	WOSecondM	3	169	4	128
SMAD2_TP53	STAD	WithSecondM	3	111	1	45
SMAD2_TP53	STAD	WOSecondM	1	70	4	93
SMAD2_ARID1A	STAD	WithSecondM	1	26	2	25
SMAD2_ARID1A	STAD	WOSecondM	3	155	3	113
SMAD2_CASP8	STAD	WithSecondM	1	1	2	6
SMAD2_CASP8	STAD	WOSecondM	3	180	3	132
SMAD2_PTEN	STAD	WithSecondM	1	8	1	6
SMAD2_PTEN	STAD	WOSecondM	3	173	4	132
SMAD2_CNBD1	STAD	WithSecondM	1	1	1	1
SMAD2_CNBD1	STAD	WOSecondM	3	180	4	137
SMAD2_APC	STAD	WithSecondM	2	7	1	9
SMAD2_APC	STAD	WOSecondM	2	174	4	129
CTNNB1_DMD	STAD	WithSecondM	1	6	1	5
CTNNB1_DMD	STAD	WOSecondM	3	125	11	187
CTNNB1_SMAD4	STAD	WithSecondM	1	9	3	16
CTNNB1_SMAD4	STAD	WOSecondM	3	122	9	176
CTNNB1_SMAD2	STAD	WithSecondM	1	2	1	4
CTNNB1_SMAD2	STAD	WOSecondM	3	129	11	188
CTNNB1_FAM46D	STAD	WithSecondM	1	1	1	1
CTNNB1_FAM46D	STAD	WOSecondM	3	130	11	191
CTNNB1_PIK3CA	STAD	WithSecondM	1	9	5	22
CTNNB1_PIK3CA	STAD	WOSecondM	3	122	7	170
CTNNB1_CDH1	STAD	WithSecondM	1	7	2	19
CTNNB1_CDH1	STAD	WOSecondM	3	124	10	173
CTNNB1_FBXW7	STAD	WithSecondM	1	5	1	6
CTNNB1_FBXW7	STAD	WOSecondM	3	126	11	186
CTNNB1_ERBB2	STAD	WithSecondM	1	4	2	4
CTNNB1_ERBB2	STAD	WOSecondM	3	127	10	188
CTNNB1_CDKN2A	STAD	WithSecondM	1	8	1	5
CTNNB1_CDKN2A	STAD	WOSecondM	3	123	11	187
CTNNB1_ERBB4	STAD	WithSecondM	1	4	1	6
CTNNB1_ERBB4	STAD	WOSecondM	3	127	11	186
CTNNB1_ARID2	STAD	WithSecondM	1	4	2	9
CTNNB1_ARID2	STAD	WOSecondM	3	127	10	183
CTNNB1_RNF43	STAD	WithSecondM	1	3	2	9
CTNNB1_RNF43	STAD	WOSecondM	3	128	10	183
CTNNB1_MUC6	STAD	WithSecondM	1	4	1	5
CTNNB1_MUC6	STAD	WOSecondM	3	127	11	187
CTNNB1_BCOR	STAD	WithSecondM	1	4	1	9
CTNNB1_BCOR	STAD	WOSecondM	3	127	11	183
CTNNB1_RHOA	STAD	WithSecondM	1	4	2	13
CTNNB1_RHOA	STAD	WOSecondM	3	127	10	179
CTNNB1_RASA1	STAD	WithSecondM	1	3	1	3
CTNNB1_RASA1	STAD	WOSecondM	3	128	11	189
CTNNB1_KRAS	STAD	WithSecondM	1	5	2	16
CTNNB1_KRAS	STAD	WOSecondM	3	126	10	176
CTNNB1_TP53	STAD	WithSecondM	2	97	2	71
CTNNB1_TP53	STAD	WOSecondM	2	34	10	121
CTNNB1_ARID1A	STAD	WithSecondM	2	20	6	24
CTNNB1_ARID1A	STAD	WOSecondM	2	111	6	168
CTNNB1_CASP8	STAD	WithSecondM	1	2	1	5
CTNNB1_CASP8	STAD	WOSecondM	3	129	11	187
CTNNB1_PTEN	STAD	WithSecondM	1	4	1	11
CTNNB1_PTEN	STAD	WOSecondM	3	127	11	181
CTNNB1_CNBD1	STAD	WithSecondM	1	2	1	1
CTNNB1_CNBD1	STAD	WOSecondM	3	129	11	191
CTNNB1_APC	STAD	WithSecondM	1	9	1	13
CTNNB1_APC	STAD	WOSecondM	3	122	11	179
FAM46D_DMD	STAD	WithSecondM	1	4	1	7
FAM46D_DMD	STAD	WOSecondM	1	50	1	254
FAM46D_SMAD4	STAD	WithSecondM	1	5	1	21
FAM46D_SMAD4	STAD	WOSecondM	1	49	1	240
FAM46D_SMAD2	STAD	WithSecondM	1	3	1	3
FAM46D_SMAD2	STAD	WOSecondM	1	51	1	258
FAM46D_CTNNB1	STAD	WithSecondM	1	4	1	9
FAM46D_CTNNB1	STAD	WOSecondM	1	50	1	252
FAM46D_PIK3CA	STAD	WithSecondM	1	6	1	30
FAM46D_PIK3CA	STAD	WOSecondM	1	48	1	231
FAM46D_CDH1	STAD	WithSecondM	1	3	1	22
FAM46D_CDH1	STAD	WOSecondM	1	51	1	239
FAM46D_FBXW7	STAD	WithSecondM	1	4	1	7
FAM46D_FBXW7	STAD	WOSecondM	1	50	1	254
FAM46D_ERBB2	STAD	WithSecondM	1	2	1	8
FAM46D_ERBB2	STAD	WOSecondM	1	52	1	253
FAM46D_CDKN2A	STAD	WithSecondM	1	2	1	11
FAM46D_CDKN2A	STAD	WOSecondM	1	52	1	250
FAM46D_ERBB4	STAD	WithSecondM	1	4	1	6
FAM46D_ERBB4	STAD	WOSecondM	1	50	1	255
FAM46D_ARID2	STAD	WithSecondM	1	2	1	13
FAM46D_ARID2	STAD	WOSecondM	1	52	1	248
FAM46D_RNF43	STAD	WithSecondM	1	2	1	11
FAM46D_RNF43	STAD	WOSecondM	1	52	1	250
FAM46D_MUC6	STAD	WithSecondM	1	1	1	7
FAM46D_MUC6	STAD	WOSecondM	1	53	1	254
FAM46D_BCOR	STAD	WithSecondM	1	1	1	13
FAM46D_BCOR	STAD	WOSecondM	1	53	1	248
FAM46D_RHOA	STAD	WithSecondM	1	1	1	20
FAM46D_RHOA	STAD	WOSecondM	1	53	1	241
FAM46D_RASA1	STAD	WithSecondM	1	2	1	6
FAM46D_RASA1	STAD	WOSecondM	1	52	1	255
FAM46D_KRAS	STAD	WithSecondM	1	5	1	17
FAM46D_KRAS	STAD	WOSecondM	1	49	1	244
FAM46D_TP53	STAD	WithSecondM	1	31	1	120
FAM46D_TP53	STAD	WOSecondM	1	23	1	141
FAM46D_ARID1A	STAD	WithSecondM	1	7	1	46
FAM46D_ARID1A	STAD	WOSecondM	1	47	1	215
FAM46D_CASP8	STAD	WithSecondM	1	1	1	6
FAM46D_CASP8	STAD	WOSecondM	1	53	1	255
FAM46D_PTEN	STAD	WithSecondM	1	4	1	10
FAM46D_PTEN	STAD	WOSecondM	1	50	1	251
FAM46D_CNBD1	STAD	WithSecondM	1	1	1	1
FAM46D_CNBD1	STAD	WOSecondM	1	53	1	260
FAM46D_APC	STAD	WithSecondM	1	6	1	13
FAM46D_APC	STAD	WOSecondM	1	48	1	248
PIK3CA_DMD	STAD	WithSecondM	1	1	1	4
PIK3CA_DMD	STAD	WOSecondM	3	30	19	164
PIK3CA_SMAD4	STAD	WithSecondM	1	2	3	9
PIK3CA_SMAD4	STAD	WOSecondM	3	29	17	159
PIK3CA_SMAD2	STAD	WithSecondM	1	1	2	3
PIK3CA_SMAD2	STAD	WOSecondM	3	30	18	165
PIK3CA_CTNNB1	STAD	WithSecondM	1	2	4	10
PIK3CA_CTNNB1	STAD	WOSecondM	3	29	16	158
PIK3CA_FAM46D	STAD	WithSecondM	1	1	1	1
PIK3CA_FAM46D	STAD	WOSecondM	3	30	19	167
PIK3CA_CDH1	STAD	WithSecondM	1	1	3	20
PIK3CA_CDH1	STAD	WOSecondM	3	30	17	148
PIK3CA_FBXW7	STAD	WithSecondM	1	3	2	5
PIK3CA_FBXW7	STAD	WOSecondM	3	28	18	163
PIK3CA_ERBB2	STAD	WithSecondM	1	1	1	6
PIK3CA_ERBB2	STAD	WOSecondM	3	30	19	162
PIK3CA_CDKN2A	STAD	WithSecondM	1	1	1	6
PIK3CA_CDKN2A	STAD	WOSecondM	3	30	19	162
PIK3CA_ERBB4	STAD	WithSecondM	1	1	1	5
PIK3CA_ERBB4	STAD	WOSecondM	3	30	19	163
PIK3CA_ARID2	STAD	WithSecondM	1	1	3	7
PIK3CA_ARID2	STAD	WOSecondM	3	30	17	161
PIK3CA_RNF43	STAD	WithSecondM	1	1	2	9
PIK3CA_RNF43	STAD	WOSecondM	3	30	18	159
PIK3CA_MUC6	STAD	WithSecondM	1	1	2	3
PIK3CA_MUC6	STAD	WOSecondM	3	30	18	165
PIK3CA_BCOR	STAD	WithSecondM	1	1	5	4
PIK3CA_BCOR	STAD	WOSecondM	3	30	15	164
PIK3CA_RHOA	STAD	WithSecondM	1	1	2	13
PIK3CA_RHOA	STAD	WOSecondM	3	30	18	155
PIK3CA_RASA1	STAD	WithSecondM	1	1	2	3
PIK3CA_RASA1	STAD	WOSecondM	3	30	18	165
PIK3CA_KRAS	STAD	WithSecondM	1	1	4	11
PIK3CA_KRAS	STAD	WOSecondM	3	30	16	157
PIK3CA_TP53	STAD	WithSecondM	3	26	2	73
PIK3CA_TP53	STAD	WOSecondM	1	5	18	95
PIK3CA_ARID1A	STAD	WithSecondM	1	3	9	16
PIK3CA_ARID1A	STAD	WOSecondM	3	28	11	152
PIK3CA_CASP8	STAD	WithSecondM	1	1	1	5
PIK3CA_CASP8	STAD	WOSecondM	3	30	19	163
PIK3CA_PTEN	STAD	WithSecondM	1	1	3	4
PIK3CA_PTEN	STAD	WOSecondM	3	30	17	164
PIK3CA_CNBD1	STAD	WithSecondM	1	1	1	1
PIK3CA_CNBD1	STAD	WOSecondM	3	30	19	167
PIK3CA_APC	STAD	WithSecondM	1	2	1	13
PIK3CA_APC	STAD	WOSecondM	3	29	19	155
CDH1_DMD	STAD	WithSecondM	1	6	1	3
CDH1_DMD	STAD	WOSecondM	3	111	23	165
CDH1_SMAD4	STAD	WithSecondM	2	8	3	16
CDH1_SMAD4	STAD	WOSecondM	2	109	21	152
CDH1_SMAD2	STAD	WithSecondM	1	3	1	3
CDH1_SMAD2	STAD	WOSecondM	3	114	23	165
CDH1_CTNNB1	STAD	WithSecondM	1	4	2	10
CDH1_CTNNB1	STAD	WOSecondM	3	113	22	158
CDH1_FAM46D	STAD	WithSecondM	1	1	1	1
CDH1_FAM46D	STAD	WOSecondM	3	116	23	167
CDH1_PIK3CA	STAD	WithSecondM	1	5	3	25
CDH1_PIK3CA	STAD	WOSecondM	3	112	21	143
CDH1_FBXW7	STAD	WithSecondM	1	7	1	5
CDH1_FBXW7	STAD	WOSecondM	3	110	23	163
CDH1_ERBB2	STAD	WithSecondM	1	2	1	8
CDH1_ERBB2	STAD	WOSecondM	3	115	23	160
CDH1_CDKN2A	STAD	WithSecondM	1	3	2	7
CDH1_CDKN2A	STAD	WOSecondM	3	114	22	161
CDH1_ERBB4	STAD	WithSecondM	1	4	1	5
CDH1_ERBB4	STAD	WOSecondM	3	113	23	163
CDH1_ARID2	STAD	WithSecondM	1	2	2	10
CDH1_ARID2	STAD	WOSecondM	3	115	22	158
CDH1_RNF43	STAD	WithSecondM	1	4	2	9
CDH1_RNF43	STAD	WOSecondM	3	113	22	159
CDH1_MUC6	STAD	WithSecondM	1	1	1	6
CDH1_MUC6	STAD	WOSecondM	3	116	23	162
CDH1_BCOR	STAD	WithSecondM	1	3	1	11
CDH1_BCOR	STAD	WOSecondM	3	114	23	157
CDH1_RHOA	STAD	WithSecondM	1	1	7	13
CDH1_RHOA	STAD	WOSecondM	3	116	17	155
CDH1_RASA1	STAD	WithSecondM	1	2	1	6
CDH1_RASA1	STAD	WOSecondM	3	115	23	162
CDH1_KRAS	STAD	WithSecondM	1	5	2	18
CDH1_KRAS	STAD	WOSecondM	3	112	22	150
CDH1_TP53	STAD	WithSecondM	2	77	5	71
CDH1_TP53	STAD	WOSecondM	2	40	19	97
CDH1_ARID1A	STAD	WithSecondM	2	11	6	31
CDH1_ARID1A	STAD	WOSecondM	2	106	18	137
CDH1_CASP8	STAD	WithSecondM	1	1	1	7
CDH1_CASP8	STAD	WOSecondM	3	116	23	161
CDH1_PTEN	STAD	WithSecondM	2	4	1	10
CDH1_PTEN	STAD	WOSecondM	2	113	23	158
CDH1_CNBD1	STAD	WithSecondM	1	2	1	1
CDH1_CNBD1	STAD	WOSecondM	3	115	23	167
CDH1_APC	STAD	WithSecondM	1	8	1	10
CDH1_APC	STAD	WOSecondM	3	109	23	158
FBXW7_DMD	STAD	WithSecondM	1	6	2	4
FBXW7_DMD	STAD	WOSecondM	4	163	6	152
FBXW7_SMAD4	STAD	WithSecondM	1	13	1	15
FBXW7_SMAD4	STAD	WOSecondM	4	156	7	141
FBXW7_SMAD2	STAD	WithSecondM	1	3	3	2
FBXW7_SMAD2	STAD	WOSecondM	4	166	5	154
FBXW7_CTNNB1	STAD	WithSecondM	1	7	1	10
FBXW7_CTNNB1	STAD	WOSecondM	4	162	7	146
FBXW7_FAM46D	STAD	WithSecondM	1	1	1	1
FBXW7_FAM46D	STAD	WOSecondM	4	168	7	155
FBXW7_PIK3CA	STAD	WithSecondM	1	8	2	26
FBXW7_PIK3CA	STAD	WOSecondM	4	161	6	130
FBXW7_CDH1	STAD	WithSecondM	1	9	1	18
FBXW7_CDH1	STAD	WOSecondM	4	160	7	138
FBXW7_ERBB2	STAD	WithSecondM	1	6	1	5
FBXW7_ERBB2	STAD	WOSecondM	4	163	7	151
FBXW7_CDKN2A	STAD	WithSecondM	1	12	1	2
FBXW7_CDKN2A	STAD	WOSecondM	4	157	7	154
FBXW7_ERBB4	STAD	WithSecondM	1	3	1	7
FBXW7_ERBB4	STAD	WOSecondM	4	166	7	149
FBXW7_ARID2	STAD	WithSecondM	2	5	1	9
FBXW7_ARID2	STAD	WOSecondM	3	164	7	147
FBXW7_RNF43	STAD	WithSecondM	1	6	1	8
FBXW7_RNF43	STAD	WOSecondM	4	163	7	148
FBXW7_MUC6	STAD	WithSecondM	1	3	1	4
FBXW7_MUC6	STAD	WOSecondM	4	166	7	152
FBXW7_BCOR	STAD	WithSecondM	1	2	2	11
FBXW7_BCOR	STAD	WOSecondM	4	167	6	145
FBXW7_RHOA	STAD	WithSecondM	1	3	2	16
FBXW7_RHOA	STAD	WOSecondM	4	166	6	140
FBXW7_RASA1	STAD	WithSecondM	1	3	1	3
FBXW7_RASA1	STAD	WOSecondM	4	166	7	153
FBXW7_KRAS	STAD	WithSecondM	1	10	2	13
FBXW7_KRAS	STAD	WOSecondM	4	159	6	143
FBXW7_TP53	STAD	WithSecondM	3	111	2	55
FBXW7_TP53	STAD	WOSecondM	2	58	6	101
FBXW7_ARID1A	STAD	WithSecondM	1	15	3	38
FBXW7_ARID1A	STAD	WOSecondM	4	154	5	118
FBXW7_CASP8	STAD	WithSecondM	1	2	2	5
FBXW7_CASP8	STAD	WOSecondM	4	167	6	151
FBXW7_PTEN	STAD	WithSecondM	2	7	1	7
FBXW7_PTEN	STAD	WOSecondM	3	162	7	149
FBXW7_CNBD1	STAD	WithSecondM	1	2	1	1
FBXW7_CNBD1	STAD	WOSecondM	4	167	7	155
FBXW7_APC	STAD	WithSecondM	1	12	2	9
FBXW7_APC	STAD	WOSecondM	4	157	6	147
ERBB2_DMD	STAD	WithSecondM	1	2	1	4
ERBB2_DMD	STAD	WOSecondM	2	36	7	174
ERBB2_SMAD4	STAD	WithSecondM	1	2	2	18
ERBB2_SMAD4	STAD	WOSecondM	2	36	6	160
ERBB2_SMAD2	STAD	WithSecondM	1	1	1	4
ERBB2_SMAD2	STAD	WOSecondM	2	37	7	174
ERBB2_CTNNB1	STAD	WithSecondM	1	3	2	10
ERBB2_CTNNB1	STAD	WOSecondM	2	35	6	168
