Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
PIK3CA_KRAS	TGCT	WithSecondM	1	2	2	9
PIK3CA_KRAS	TGCT	WOSecondM	2	43	2	71
PIK3CA_NRAS	TGCT	WithSecondM	1	2	1	4
PIK3CA_NRAS	TGCT	WOSecondM	2	43	3	76
PIK3CA_PTMA	TGCT	WithSecondM	1	5	1	3
PIK3CA_PTMA	TGCT	WOSecondM	2	40	3	77
PIK3CA_KIT	TGCT	WithSecondM	1	2	1	13
PIK3CA_KIT	TGCT	WOSecondM	2	43	3	67
KRAS_PIK3CA	TGCT	WithSecondM	2	3	1	1
KRAS_PIK3CA	TGCT	WOSecondM	11	128	2	3
KRAS_NRAS	TGCT	WithSecondM	1	6	1	1
KRAS_NRAS	TGCT	WOSecondM	12	125	2	3
KRAS_PTMA	TGCT	WithSecondM	1	8	1	1
KRAS_PTMA	TGCT	WOSecondM	12	123	2	3
KRAS_KIT	TGCT	WithSecondM	3	17	1	2
KRAS_KIT	TGCT	WOSecondM	10	114	2	2
NRAS_PIK3CA	TGCT	WithSecondM	1	2	1	3
NRAS_PIK3CA	TGCT	WOSecondM	2	43	5	78
NRAS_KRAS	TGCT	WithSecondM	1	4	1	7
NRAS_KRAS	TGCT	WOSecondM	2	41	5	74
NRAS_PTMA	TGCT	WithSecondM	1	5	1	4
NRAS_PTMA	TGCT	WOSecondM	2	40	5	77
NRAS_KIT	TGCT	WithSecondM	1	5	3	13
NRAS_KIT	TGCT	WOSecondM	2	40	3	68
PTMA_PIK3CA	TGCT	WithSecondM	1	1	1	3
PTMA_PIK3CA	TGCT	WOSecondM	5	32	4	94
PTMA_KRAS	TGCT	WithSecondM	1	3	1	10
PTMA_KRAS	TGCT	WOSecondM	5	30	4	87
PTMA_NRAS	TGCT	WithSecondM	1	2	1	5
PTMA_NRAS	TGCT	WOSecondM	5	31	4	92
PTMA_KIT	TGCT	WithSecondM	1	8	1	13
PTMA_KIT	TGCT	WOSecondM	5	25	4	84
KIT_PIK3CA	TGCT	WithSecondM	1	1	1	3
KIT_PIK3CA	TGCT	WOSecondM	4	16	9	37
KIT_KRAS	TGCT	WithSecondM	1	2	2	4
KIT_KRAS	TGCT	WOSecondM	4	15	8	36
KIT_NRAS	TGCT	WithSecondM	1	1	3	3
KIT_NRAS	TGCT	WOSecondM	4	16	7	37
KIT_PTMA	TGCT	WithSecondM	1	3	1	3
KIT_PTMA	TGCT	WOSecondM	4	14	9	37
