Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
PIK3CA_KRAS	TGCT	WithSecondM	1	3	2	9
PIK3CA_KRAS	TGCT	WOSecondM	1	18	2	71
PIK3CA_NRAS	TGCT	WithSecondM	1	2	1	4
PIK3CA_NRAS	TGCT	WOSecondM	1	19	3	76
PIK3CA_PTMA	TGCT	WithSecondM	1	2	1	3
PIK3CA_PTMA	TGCT	WOSecondM	1	19	3	77
PIK3CA_KIT	TGCT	WithSecondM	1	7	1	13
PIK3CA_KIT	TGCT	WOSecondM	1	14	3	67
KRAS_PIK3CA	TGCT	WithSecondM	1	1	1	1
KRAS_PIK3CA	TGCT	WOSecondM	1	1	2	3
KRAS_NRAS	TGCT	WithSecondM	1	1	1	1
KRAS_NRAS	TGCT	WOSecondM	1	1	2	3
KRAS_PTMA	TGCT	WithSecondM	1	1	1	1
KRAS_PTMA	TGCT	WOSecondM	1	1	2	3
KRAS_KIT	TGCT	WithSecondM	1	1	1	2
KRAS_KIT	TGCT	WOSecondM	1	1	2	2
NRAS_PIK3CA	TGCT	WithSecondM	1	1	1	3
NRAS_PIK3CA	TGCT	WOSecondM	1	17	5	78
NRAS_KRAS	TGCT	WithSecondM	1	4	1	7
NRAS_KRAS	TGCT	WOSecondM	1	14	5	74
NRAS_PTMA	TGCT	WithSecondM	1	1	1	4
NRAS_PTMA	TGCT	WOSecondM	1	17	5	77
NRAS_KIT	TGCT	WithSecondM	1	2	3	13
NRAS_KIT	TGCT	WOSecondM	1	16	3	68
PTMA_PIK3CA	TGCT	WithSecondM	1	2	1	3
PTMA_PIK3CA	TGCT	WOSecondM	1	10	4	94
PTMA_KRAS	TGCT	WithSecondM	1	2	1	10
PTMA_KRAS	TGCT	WOSecondM	1	10	4	87
PTMA_NRAS	TGCT	WithSecondM	1	1	1	5
PTMA_NRAS	TGCT	WOSecondM	1	11	4	92
PTMA_KIT	TGCT	WithSecondM	1	1	1	13
PTMA_KIT	TGCT	WOSecondM	1	11	4	84
KIT_PIK3CA	TGCT	WithSecondM	1	2	1	3
KIT_PIK3CA	TGCT	WOSecondM	9	71	9	37
KIT_KRAS	TGCT	WithSecondM	2	7	2	4
KIT_KRAS	TGCT	WOSecondM	8	66	8	36
KIT_NRAS	TGCT	WithSecondM	1	2	3	3
KIT_NRAS	TGCT	WOSecondM	9	71	7	37
KIT_PTMA	TGCT	WithSecondM	1	4	1	4
KIT_PTMA	TGCT	WOSecondM	9	69	9	36
