Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
PPP2R1A_ACVR1	UCEC	WithSecondM	1	1	6	14
PPP2R1A_ACVR1	UCEC	WOSecondM	19	37	23	252
PPP2R1A_ERBB3	UCEC	WithSecondM	4	2	2	21
PPP2R1A_ERBB3	UCEC	WOSecondM	16	36	27	245
PPP2R1A_ATM	UCEC	WithSecondM	2	1	5	30
PPP2R1A_ATM	UCEC	WOSecondM	18	37	24	236
PPP2R1A_ZFHX3	UCEC	WithSecondM	1	3	3	50
PPP2R1A_ZFHX3	UCEC	WOSecondM	19	35	26	216
PPP2R1A_PDS5B	UCEC	WithSecondM	1	1	2	15
PPP2R1A_PDS5B	UCEC	WOSecondM	19	37	27	251
PPP2R1A_CTNNB1	UCEC	WithSecondM	1	2	3	72
PPP2R1A_CTNNB1	UCEC	WOSecondM	19	36	26	194
PPP2R1A_AKT1	UCEC	WithSecondM	1	1	1	12
PPP2R1A_AKT1	UCEC	WOSecondM	19	37	28	254
PPP2R1A_PIK3CA	UCEC	WithSecondM	13	12	9	131
PPP2R1A_PIK3CA	UCEC	WOSecondM	7	26	20	135
PPP2R1A_ATR	UCEC	WithSecondM	1	1	2	18
PPP2R1A_ATR	UCEC	WOSecondM	19	37	27	248
PPP2R1A_CTNND1	UCEC	WithSecondM	1	2	2	17
PPP2R1A_CTNND1	UCEC	WOSecondM	19	36	27	249
PPP2R1A_MYCN	UCEC	WithSecondM	2	1	1	11
PPP2R1A_MYCN	UCEC	WOSecondM	18	37	28	255
PPP2R1A_KANSL1	UCEC	WithSecondM	1	1	4	26
PPP2R1A_KANSL1	UCEC	WOSecondM	19	37	25	240
PPP2R1A_CHD4	UCEC	WithSecondM	4	7	7	41
PPP2R1A_CHD4	UCEC	WOSecondM	16	31	22	225
PPP2R1A_INPPL1	UCEC	WithSecondM	1	2	2	36
PPP2R1A_INPPL1	UCEC	WOSecondM	19	36	27	230
PPP2R1A_PTEN	UCEC	WithSecondM	1	9	11	201
PPP2R1A_PTEN	UCEC	WOSecondM	19	29	18	65
PPP2R1A_U2AF1	UCEC	WithSecondM	1	3	1	5
PPP2R1A_U2AF1	UCEC	WOSecondM	19	35	28	261
PPP2R1A_NFE2L2	UCEC	WithSecondM	2	2	2	18
PPP2R1A_NFE2L2	UCEC	WOSecondM	18	36	27	248
PPP2R1A_MAP3K1	UCEC	WithSecondM	1	3	3	20
PPP2R1A_MAP3K1	UCEC	WOSecondM	19	35	26	246
PPP2R1A_NRAS	UCEC	WithSecondM	1	1	1	9
PPP2R1A_NRAS	UCEC	WOSecondM	19	37	28	257
PPP2R1A_RB1	UCEC	WithSecondM	2	4	1	17
PPP2R1A_RB1	UCEC	WOSecondM	18	34	28	249
PPP2R1A_SOX17	UCEC	WithSecondM	1	1	1	18
PPP2R1A_SOX17	UCEC	WOSecondM	19	37	28	248
PPP2R1A_PIK3R2	UCEC	WithSecondM	2	1	2	12
PPP2R1A_PIK3R2	UCEC	WOSecondM	18	37	27	254
PPP2R1A_PIK3R1	UCEC	WithSecondM	2	10	4	84
PPP2R1A_PIK3R1	UCEC	WOSecondM	18	28	25	182
PPP2R1A_ATF7IP	UCEC	WithSecondM	1	1	4	14
PPP2R1A_ATF7IP	UCEC	WOSecondM	19	37	25	252
PPP2R1A_SIN3A	UCEC	WithSecondM	2	2	3	22
PPP2R1A_SIN3A	UCEC	WOSecondM	18	36	26	244
PPP2R1A_SMC1A	UCEC	WithSecondM	1	3	1	14
PPP2R1A_SMC1A	UCEC	WOSecondM	19	35	28	252
PPP2R1A_KMT2B	UCEC	WithSecondM	1	2	5	61
PPP2R1A_KMT2B	UCEC	WOSecondM	19	36	24	205
PPP2R1A_RRAS2	UCEC	WithSecondM	1	2	1	6
PPP2R1A_RRAS2	UCEC	WOSecondM	19	36	28	260
PPP2R1A_SPOP	UCEC	WithSecondM	2	6	5	19
PPP2R1A_SPOP	UCEC	WOSecondM	18	32	24	247
PPP2R1A_CHD3	UCEC	WithSecondM	2	1	1	39
PPP2R1A_CHD3	UCEC	WOSecondM	18	37	28	227
PPP2R1A_SCAF4	UCEC	WithSecondM	1	1	2	31
PPP2R1A_SCAF4	UCEC	WOSecondM	19	37	27	235
PPP2R1A_MSH6	UCEC	WithSecondM	2	1	3	14
PPP2R1A_MSH6	UCEC	WOSecondM	18	37	26	252
PPP2R1A_BCOR	UCEC	WithSecondM	1	2	3	39
PPP2R1A_BCOR	UCEC	WOSecondM	19	36	26	227
PPP2R1A_TP53	UCEC	WithSecondM	19	29	18	47
PPP2R1A_TP53	UCEC	WOSecondM	1	9	11	219
PPP2R1A_EP300	UCEC	WithSecondM	3	2	2	25
PPP2R1A_EP300	UCEC	WOSecondM	17	36	27	241
PPP2R1A_FGFR2	UCEC	WithSecondM	1	3	4	34
PPP2R1A_FGFR2	UCEC	WOSecondM	19	35	25	232
PPP2R1A_KRAS	UCEC	WithSecondM	1	1	5	64
PPP2R1A_KRAS	UCEC	WOSecondM	19	37	24	202
PPP2R1A_ZMYM2	UCEC	WithSecondM	1	2	2	21
PPP2R1A_ZMYM2	UCEC	WOSecondM	19	36	27	245
PPP2R1A_DICER1	UCEC	WithSecondM	2	1	1	17
PPP2R1A_DICER1	UCEC	WOSecondM	18	37	28	249
PPP2R1A_ARID5B	UCEC	WithSecondM	2	2	2	32
PPP2R1A_ARID5B	UCEC	WOSecondM	18	36	27	234
PPP2R1A_SOS1	UCEC	WithSecondM	4	1	2	12
PPP2R1A_SOS1	UCEC	WOSecondM	16	37	27	254
PPP2R1A_CCND1	UCEC	WithSecondM	1	1	1	24
PPP2R1A_CCND1	UCEC	WOSecondM	19	37	28	242
PPP2R1A_MAX	UCEC	WithSecondM	1	1	1	9
PPP2R1A_MAX	UCEC	WOSecondM	19	37	28	257
PPP2R1A_ARID1A	UCEC	WithSecondM	2	3	8	136
PPP2R1A_ARID1A	UCEC	WOSecondM	18	35	21	130
PPP2R1A_ERBB2	UCEC	WithSecondM	1	2	3	12
PPP2R1A_ERBB2	UCEC	WOSecondM	19	36	26	254
PPP2R1A_TAF1	UCEC	WithSecondM	2	4	5	36
PPP2R1A_TAF1	UCEC	WOSecondM	18	34	24	230
PPP2R1A_FAT1	UCEC	WithSecondM	3	1	3	37
PPP2R1A_FAT1	UCEC	WOSecondM	17	37	26	229
PPP2R1A_FOXA2	UCEC	WithSecondM	3	1	2	14
PPP2R1A_FOXA2	UCEC	WOSecondM	17	37	27	252
PPP2R1A_KMT2C	UCEC	WithSecondM	1	4	1	37
PPP2R1A_KMT2C	UCEC	WOSecondM	19	34	28	229
PPP2R1A_ARHGAP35	UCEC	WithSecondM	4	8	6	32
PPP2R1A_ARHGAP35	UCEC	WOSecondM	16	30	23	234
PPP2R1A_PBRM1	UCEC	WithSecondM	2	2	2	15
PPP2R1A_PBRM1	UCEC	WOSecondM	18	36	27	251
PPP2R1A_FBXW7	UCEC	WithSecondM	2	6	2	34
PPP2R1A_FBXW7	UCEC	WOSecondM	18	32	27	232
PPP2R1A_CTCF	UCEC	WithSecondM	1	2	5	63
PPP2R1A_CTCF	UCEC	WOSecondM	19	36	24	203
ACVR1_PPP2R1A	UCEC	WithSecondM	2	20	5	27
ACVR1_PPP2R1A	UCEC	WOSecondM	2	53	13	262
ACVR1_ERBB3	UCEC	WithSecondM	1	5	5	18
ACVR1_ERBB3	UCEC	WOSecondM	3	68	13	271
ACVR1_ATM	UCEC	WithSecondM	1	3	4	30
ACVR1_ATM	UCEC	WOSecondM	3	70	14	259
ACVR1_ZFHX3	UCEC	WithSecondM	2	5	4	48
ACVR1_ZFHX3	UCEC	WOSecondM	2	68	14	241
ACVR1_PDS5B	UCEC	WithSecondM	1	2	2	14
ACVR1_PDS5B	UCEC	WOSecondM	3	71	16	275
ACVR1_CTNNB1	UCEC	WithSecondM	1	9	7	63
ACVR1_CTNNB1	UCEC	WOSecondM	3	64	11	226
ACVR1_AKT1	UCEC	WithSecondM	1	2	1	11
ACVR1_AKT1	UCEC	WOSecondM	3	71	17	278
ACVR1_PIK3CA	UCEC	WithSecondM	1	29	11	130
ACVR1_PIK3CA	UCEC	WOSecondM	3	44	7	159
ACVR1_ATR	UCEC	WithSecondM	1	1	2	19
ACVR1_ATR	UCEC	WOSecondM	3	72	16	270
ACVR1_CTNND1	UCEC	WithSecondM	1	2	4	15
ACVR1_CTNND1	UCEC	WOSecondM	3	71	14	274
ACVR1_MYCN	UCEC	WithSecondM	1	1	1	12
ACVR1_MYCN	UCEC	WOSecondM	3	72	17	277
ACVR1_KANSL1	UCEC	WithSecondM	1	3	4	25
ACVR1_KANSL1	UCEC	WOSecondM	3	70	14	264
ACVR1_CHD4	UCEC	WithSecondM	2	11	4	47
ACVR1_CHD4	UCEC	WOSecondM	2	62	14	242
ACVR1_INPPL1	UCEC	WithSecondM	1	3	2	35
ACVR1_INPPL1	UCEC	WOSecondM	3	70	16	254
ACVR1_PTEN	UCEC	WithSecondM	2	15	13	197
ACVR1_PTEN	UCEC	WOSecondM	2	58	5	92
ACVR1_U2AF1	UCEC	WithSecondM	1	4	1	4
ACVR1_U2AF1	UCEC	WOSecondM	3	69	17	285
ACVR1_NFE2L2	UCEC	WithSecondM	1	3	2	18
ACVR1_NFE2L2	UCEC	WOSecondM	3	70	16	271
ACVR1_MAP3K1	UCEC	WithSecondM	1	3	3	20
ACVR1_MAP3K1	UCEC	WOSecondM	3	70	15	269
ACVR1_NRAS	UCEC	WithSecondM	1	1	1	9
ACVR1_NRAS	UCEC	WOSecondM	3	72	17	280
ACVR1_RB1	UCEC	WithSecondM	1	2	3	19
ACVR1_RB1	UCEC	WOSecondM	3	71	15	270
ACVR1_SOX17	UCEC	WithSecondM	1	2	3	15
ACVR1_SOX17	UCEC	WOSecondM	3	71	15	274
ACVR1_PIK3R2	UCEC	WithSecondM	1	1	1	14
ACVR1_PIK3R2	UCEC	WOSecondM	3	72	17	275
ACVR1_PIK3R1	UCEC	WithSecondM	2	9	5	87
ACVR1_PIK3R1	UCEC	WOSecondM	2	64	13	202
ACVR1_ATF7IP	UCEC	WithSecondM	1	3	3	13
ACVR1_ATF7IP	UCEC	WOSecondM	3	70	15	276
ACVR1_SIN3A	UCEC	WithSecondM	1	3	5	20
ACVR1_SIN3A	UCEC	WOSecondM	3	70	13	269
ACVR1_SMC1A	UCEC	WithSecondM	1	2	2	16
ACVR1_SMC1A	UCEC	WOSecondM	3	71	16	273
ACVR1_KMT2B	UCEC	WithSecondM	1	2	3	63
ACVR1_KMT2B	UCEC	WOSecondM	3	71	15	226
ACVR1_RRAS2	UCEC	WithSecondM	1	2	2	5
ACVR1_RRAS2	UCEC	WOSecondM	3	71	16	284
ACVR1_SPOP	UCEC	WithSecondM	2	11	2	17
ACVR1_SPOP	UCEC	WOSecondM	2	62	16	272
ACVR1_CHD3	UCEC	WithSecondM	1	3	2	37
ACVR1_CHD3	UCEC	WOSecondM	3	70	16	252
ACVR1_SCAF4	UCEC	WithSecondM	1	5	3	26
ACVR1_SCAF4	UCEC	WOSecondM	3	68	15	263
ACVR1_MSH6	UCEC	WithSecondM	1	1	3	15
ACVR1_MSH6	UCEC	WOSecondM	3	72	15	274
ACVR1_BCOR	UCEC	WithSecondM	1	4	2	38
ACVR1_BCOR	UCEC	WOSecondM	3	69	16	251
ACVR1_TP53	UCEC	WithSecondM	1	54	6	79
ACVR1_TP53	UCEC	WOSecondM	3	19	12	210
ACVR1_EP300	UCEC	WithSecondM	1	3	2	25
ACVR1_EP300	UCEC	WOSecondM	3	70	16	264
ACVR1_FGFR2	UCEC	WithSecondM	2	5	6	32
ACVR1_FGFR2	UCEC	WOSecondM	2	68	12	257
ACVR1_KRAS	UCEC	WithSecondM	1	8	4	60
ACVR1_KRAS	UCEC	WOSecondM	3	65	14	229
ACVR1_ZMYM2	UCEC	WithSecondM	1	1	3	22
ACVR1_ZMYM2	UCEC	WOSecondM	3	72	15	267
ACVR1_DICER1	UCEC	WithSecondM	1	2	3	16
ACVR1_DICER1	UCEC	WOSecondM	3	71	15	273
ACVR1_ARID5B	UCEC	WithSecondM	1	5	2	29
ACVR1_ARID5B	UCEC	WOSecondM	3	68	16	260
ACVR1_SOS1	UCEC	WithSecondM	1	2	1	14
ACVR1_SOS1	UCEC	WOSecondM	3	71	17	275
ACVR1_CCND1	UCEC	WithSecondM	1	2	1	23
ACVR1_CCND1	UCEC	WOSecondM	3	71	17	266
ACVR1_MAX	UCEC	WithSecondM	1	1	1	9
ACVR1_MAX	UCEC	WOSecondM	3	72	17	280
ACVR1_ARID1A	UCEC	WithSecondM	1	12	11	128
ACVR1_ARID1A	UCEC	WOSecondM	3	61	7	161
ACVR1_ERBB2	UCEC	WithSecondM	1	1	2	14
ACVR1_ERBB2	UCEC	WOSecondM	3	72	16	275
ACVR1_TAF1	UCEC	WithSecondM	1	7	5	35
ACVR1_TAF1	UCEC	WOSecondM	3	66	13	254
ACVR1_FAT1	UCEC	WithSecondM	1	5	3	34
ACVR1_FAT1	UCEC	WOSecondM	3	68	15	255
ACVR1_FOXA2	UCEC	WithSecondM	1	6	2	15
ACVR1_FOXA2	UCEC	WOSecondM	3	67	16	274
ACVR1_KMT2C	UCEC	WithSecondM	1	8	3	33
ACVR1_KMT2C	UCEC	WOSecondM	3	65	15	256
ACVR1_ARHGAP35	UCEC	WithSecondM	1	9	3	39
ACVR1_ARHGAP35	UCEC	WOSecondM	3	64	15	250
ACVR1_PBRM1	UCEC	WithSecondM	1	3	1	16
ACVR1_PBRM1	UCEC	WOSecondM	3	70	17	273
ACVR1_FBXW7	UCEC	WithSecondM	1	14	7	33
ACVR1_FBXW7	UCEC	WOSecondM	3	59	11	256
ACVR1_CTCF	UCEC	WithSecondM	1	3	9	58
ACVR1_CTCF	UCEC	WOSecondM	3	70	9	231
ERBB3_PPP2R1A	UCEC	WithSecondM	4	19	2	27
ERBB3_PPP2R1A	UCEC	WOSecondM	6	55	17	249
ERBB3_ACVR1	UCEC	WithSecondM	1	2	5	13
ERBB3_ACVR1	UCEC	WOSecondM	9	72	14	263
ERBB3_ATM	UCEC	WithSecondM	3	4	4	26
ERBB3_ATM	UCEC	WOSecondM	7	70	15	250
ERBB3_ZFHX3	UCEC	WithSecondM	1	6	7	44
ERBB3_ZFHX3	UCEC	WOSecondM	9	68	12	232
ERBB3_PDS5B	UCEC	WithSecondM	2	1	3	12
ERBB3_PDS5B	UCEC	WOSecondM	8	73	16	264
ERBB3_CTNNB1	UCEC	WithSecondM	4	3	5	68
ERBB3_CTNNB1	UCEC	WOSecondM	6	71	14	208
ERBB3_AKT1	UCEC	WithSecondM	2	1	2	10
ERBB3_AKT1	UCEC	WOSecondM	8	73	17	266
ERBB3_PIK3CA	UCEC	WithSecondM	7	23	15	123
