Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
PPP2R1A_TP53	UCS	WithSecondM	6	24	5	10
PPP2R1A_TP53	UCS	WOSecondM	1	2	2	2
PPP2R1A_CHD4	UCS	WithSecondM	1	4	2	3
PPP2R1A_CHD4	UCS	WOSecondM	6	22	5	9
PPP2R1A_ZBTB7B	UCS	WithSecondM	1	1	1	1
PPP2R1A_ZBTB7B	UCS	WOSecondM	6	25	6	11
PPP2R1A_PIK3CA	UCS	WithSecondM	1	9	3	7
PPP2R1A_PIK3CA	UCS	WOSecondM	6	17	4	5
PPP2R1A_ARID1A	UCS	WithSecondM	2	2	2	3
PPP2R1A_ARID1A	UCS	WOSecondM	5	24	5	9
PPP2R1A_RFC1	UCS	WithSecondM	1	2	2	1
PPP2R1A_RFC1	UCS	WOSecondM	6	24	5	11
PPP2R1A_MAP3K4	UCS	WithSecondM	2	2	1	1
PPP2R1A_MAP3K4	UCS	WOSecondM	5	24	6	11
PPP2R1A_PTEN	UCS	WithSecondM	3	2	3	5
PPP2R1A_PTEN	UCS	WOSecondM	4	24	4	7
PPP2R1A_RB1	UCS	WithSecondM	1	3	1	2
PPP2R1A_RB1	UCS	WOSecondM	6	23	6	10
PPP2R1A_PIK3R1	UCS	WithSecondM	2	3	2	3
PPP2R1A_PIK3R1	UCS	WOSecondM	5	23	5	9
PPP2R1A_KRAS	UCS	WithSecondM	3	3	2	2
PPP2R1A_KRAS	UCS	WOSecondM	4	23	5	10
PPP2R1A_FBXW7	UCS	WithSecondM	2	8	4	7
PPP2R1A_FBXW7	UCS	WOSecondM	5	18	3	5
TP53_PPP2R1A	UCS	WithSecondM	3	1	2	2
TP53_PPP2R1A	UCS	WOSecondM	4	1	5	2
TP53_CHD4	UCS	WithSecondM	2	1	1	1
TP53_CHD4	UCS	WOSecondM	5	1	6	3
TP53_ZBTB7B	UCS	WithSecondM	1	1	1	1
TP53_ZBTB7B	UCS	WOSecondM	6	1	6	3
TP53_PIK3CA	UCS	WithSecondM	2	1	2	3
TP53_PIK3CA	UCS	WOSecondM	5	1	5	1
TP53_ARID1A	UCS	WithSecondM	1	1	1	1
TP53_ARID1A	UCS	WOSecondM	6	1	6	3
TP53_RFC1	UCS	WithSecondM	2	1	1	1
TP53_RFC1	UCS	WOSecondM	5	1	6	3
TP53_MAP3K4	UCS	WithSecondM	1	1	1	1
TP53_MAP3K4	UCS	WOSecondM	6	1	6	3
TP53_PTEN	UCS	WithSecondM	3	1	1	3
TP53_PTEN	UCS	WOSecondM	4	1	6	1
TP53_RB1	UCS	WithSecondM	1	1	1	2
TP53_RB1	UCS	WOSecondM	6	1	6	2
TP53_PIK3R1	UCS	WithSecondM	2	1	3	1
TP53_PIK3R1	UCS	WOSecondM	5	1	4	3
TP53_KRAS	UCS	WithSecondM	3	1	2	1
TP53_KRAS	UCS	WOSecondM	4	1	5	3
TP53_FBXW7	UCS	WithSecondM	4	1	3	2
TP53_FBXW7	UCS	WOSecondM	3	1	4	2
CHD4_PPP2R1A	UCS	WithSecondM	1	5	3	5
CHD4_PPP2R1A	UCS	WOSecondM	5	15	1	14
CHD4_TP53	UCS	WithSecondM	5	19	2	15
CHD4_TP53	UCS	WOSecondM	1	1	2	4
CHD4_ZBTB7B	UCS	WithSecondM	1	1	1	2
CHD4_ZBTB7B	UCS	WOSecondM	5	19	3	17
CHD4_PIK3CA	UCS	WithSecondM	3	6	3	9
CHD4_PIK3CA	UCS	WOSecondM	3	14	1	10
CHD4_ARID1A	UCS	WithSecondM	1	2	2	3
CHD4_ARID1A	UCS	WOSecondM	5	18	2	16
CHD4_RFC1	UCS	WithSecondM	1	3	1	1
CHD4_RFC1	UCS	WOSecondM	5	17	3	18
CHD4_MAP3K4	UCS	WithSecondM	1	1	1	3
CHD4_MAP3K4	UCS	WOSecondM	5	19	3	16
CHD4_PTEN	UCS	WithSecondM	1	1	2	7
CHD4_PTEN	UCS	WOSecondM	5	19	2	12
CHD4_RB1	UCS	WithSecondM	1	1	1	3
CHD4_RB1	UCS	WOSecondM	5	19	3	16
CHD4_PIK3R1	UCS	WithSecondM	2	2	1	2
CHD4_PIK3R1	UCS	WOSecondM	4	18	3	17
CHD4_KRAS	UCS	WithSecondM	1	7	2	1
CHD4_KRAS	UCS	WOSecondM	5	13	2	18
CHD4_FBXW7	UCS	WithSecondM	5	7	2	7
CHD4_FBXW7	UCS	WOSecondM	1	13	2	12
ZBTB7B_PPP2R1A	UCS	WithSecondM	1	12	1	4
ZBTB7B_PPP2R1A	UCS	WOSecondM	2	28	1	8
ZBTB7B_TP53	UCS	WithSecondM	2	37	1	9
ZBTB7B_TP53	UCS	WOSecondM	1	3	1	3
ZBTB7B_CHD4	UCS	WithSecondM	1	7	1	2
ZBTB7B_CHD4	UCS	WOSecondM	2	33	1	10
ZBTB7B_PIK3CA	UCS	WithSecondM	1	13	1	6
ZBTB7B_PIK3CA	UCS	WOSecondM	2	27	1	6
ZBTB7B_ARID1A	UCS	WithSecondM	1	5	1	2
ZBTB7B_ARID1A	UCS	WOSecondM	2	35	1	10
ZBTB7B_RFC1	UCS	WithSecondM	1	2	1	1
ZBTB7B_RFC1	UCS	WOSecondM	2	38	1	11
ZBTB7B_MAP3K4	UCS	WithSecondM	1	2	1	2
