Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
PPP2R1A_TP53	UCS	WithSecondM	4	7	6	9
PPP2R1A_TP53	UCS	WOSecondM	2	1	2	2
PPP2R1A_CHD4	UCS	WithSecondM	2	2	2	3
PPP2R1A_CHD4	UCS	WOSecondM	4	6	6	8
PPP2R1A_ZBTB7B	UCS	WithSecondM	1	3	1	2
PPP2R1A_ZBTB7B	UCS	WOSecondM	5	5	7	9
PPP2R1A_PIK3CA	UCS	WithSecondM	2	2	3	7
PPP2R1A_PIK3CA	UCS	WOSecondM	4	6	5	4
PPP2R1A_ARID1A	UCS	WithSecondM	1	1	2	3
PPP2R1A_ARID1A	UCS	WOSecondM	5	7	6	8
PPP2R1A_RFC1	UCS	WithSecondM	1	1	2	1
PPP2R1A_RFC1	UCS	WOSecondM	5	7	6	10
PPP2R1A_MAP3K4	UCS	WithSecondM	1	1	1	1
PPP2R1A_MAP3K4	UCS	WOSecondM	5	7	7	10
PPP2R1A_PTEN	UCS	WithSecondM	1	1	3	5
PPP2R1A_PTEN	UCS	WOSecondM	5	7	5	6
PPP2R1A_RB1	UCS	WithSecondM	1	1	2	2
PPP2R1A_RB1	UCS	WOSecondM	5	7	6	9
PPP2R1A_PIK3R1	UCS	WithSecondM	1	1	2	3
PPP2R1A_PIK3R1	UCS	WOSecondM	5	7	6	8
PPP2R1A_KRAS	UCS	WithSecondM	1	2	2	2
PPP2R1A_KRAS	UCS	WOSecondM	5	6	6	9
PPP2R1A_FBXW7	UCS	WithSecondM	2	4	5	6
PPP2R1A_FBXW7	UCS	WOSecondM	4	4	3	5
TP53_PPP2R1A	UCS	WithSecondM	11	2	2	2
TP53_PPP2R1A	UCS	WOSecondM	31	2	5	2
TP53_CHD4	UCS	WithSecondM	7	2	1	1
TP53_CHD4	UCS	WOSecondM	35	2	6	3
TP53_ZBTB7B	UCS	WithSecondM	4	1	2	2
TP53_ZBTB7B	UCS	WOSecondM	38	3	5	2
TP53_PIK3CA	UCS	WithSecondM	14	2	2	3
TP53_PIK3CA	UCS	WOSecondM	28	2	5	1
TP53_ARID1A	UCS	WithSecondM	6	1	1	1
TP53_ARID1A	UCS	WOSecondM	36	3	6	3
TP53_RFC1	UCS	WithSecondM	2	1	1	1
TP53_RFC1	UCS	WOSecondM	40	3	6	3
TP53_MAP3K4	UCS	WithSecondM	4	1	1	1
TP53_MAP3K4	UCS	WOSecondM	38	3	6	3
TP53_PTEN	UCS	WithSecondM	6	1	1	3
TP53_PTEN	UCS	WOSecondM	36	3	6	1
TP53_RB1	UCS	WithSecondM	4	1	1	2
TP53_RB1	UCS	WOSecondM	38	3	6	2
TP53_PIK3R1	UCS	WithSecondM	4	1	3	1
TP53_PIK3R1	UCS	WOSecondM	38	3	4	3
TP53_KRAS	UCS	WithSecondM	5	1	2	1
TP53_KRAS	UCS	WOSecondM	37	3	5	3
TP53_FBXW7	UCS	WithSecondM	15	2	3	2
TP53_FBXW7	UCS	WOSecondM	27	2	4	2
CHD4_PPP2R1A	UCS	WithSecondM	1	5	3	6
CHD4_PPP2R1A	UCS	WOSecondM	3	8	1	13
CHD4_TP53	UCS	WithSecondM	3	12	2	15
CHD4_TP53	UCS	WOSecondM	1	1	2	4
CHD4_ZBTB7B	UCS	WithSecondM	1	1	1	4
CHD4_ZBTB7B	UCS	WOSecondM	3	12	3	15
CHD4_PIK3CA	UCS	WithSecondM	1	2	3	9
CHD4_PIK3CA	UCS	WOSecondM	3	11	1	10
CHD4_ARID1A	UCS	WithSecondM	1	2	2	3
CHD4_ARID1A	UCS	WOSecondM	3	11	2	16
CHD4_RFC1	UCS	WithSecondM	1	1	1	1
CHD4_RFC1	UCS	WOSecondM	3	12	3	18
CHD4_MAP3K4	UCS	WithSecondM	1	2	1	3
CHD4_MAP3K4	UCS	WOSecondM	3	11	3	16
CHD4_PTEN	UCS	WithSecondM	2	2	2	7
CHD4_PTEN	UCS	WOSecondM	2	11	2	12
